Provençal	Emilian	probability
ˈɔ	ˈɔː	1.0
ˈỹ	ˈo	1.0
ˈu_j	ˈɔ_ʧ	1.0
ˈĩ	ˈe	1.0
ˈe_ʀ	r_t	1.0
ˈe_j	ʧ	1.0
ˈã_m	ˈaː_m	1.0
ˈa_w	ˈɔː	1.0
ˈa_j	ˈaː	1.0
ʧ	t	1.0
ʤ_e	d_i	1.0
ɾ_ɔ	r_a	1.0
ɲ	ɲ	1.0
ɥ_ˈe	ˈɔ	1.0
ɥ	-	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ŋ_d	n_d	1.0
y	u	1.0
w_t	t	1.0
ũ	u	1.0
t_ɔ	t_a	1.0
p	p	1.0
mː	t_m	1.0
lː	z	1.0
k_l	ʧ	1.0
k	k	1.0
ĩ	i	1.0
f	f	1.0
ẽ	i	1.0
e_s	s	1.0
ã	a	1.0
ɔ	a	0.93
m	m	0.923
v	v	0.915
a	a	0.903
t	t	0.889
n	n	0.873
ˈã	ˈa	0.871
u	u	0.748
ʀ	r	0.74
d	d	0.721
z	z	0.711
ŋ	ŋ	0.706
s	s	0.704
i	i	0.682
ɾ	r	0.669
ˈa	ˈɛ	0.656
j_ɾ	d_e	0.656
l	l	0.649
ʤ	ð	0.647
e	-	0.644
b	b	0.621
w_ˈe	ˈɔː	0.596
ˈy	ˈo	0.55
ˈũ	ˈʌ	0.531
j	-	0.526
ˈɛ	ˈɛ	0.507
ˈu	ˈʌu̯	0.474
j	j	0.474
ˈũ	ˈo	0.469
ˈẽ	ˈæ	0.467
ˈy	ˈuː	0.45
j_ˈe	ˈiː	0.426
ˈi	ˈe	0.415
b	v	0.379
ʤ	-	0.353
l	j	0.351
j_ˈe	ˈɛ	0.351
ˈi	ˈiː	0.346
j_ɾ	d	0.344
ɾ	e	0.331
ˈu	ˈuː	0.324
i	e	0.318
w_ˈe	ˈɔ	0.303
z	d	0.289
d	t	0.279
w	ˈɔː	0.27
e	e	0.269
ʀ	r_e	0.26
ˈa	ˈaː	0.255
u	-	0.252
ŋ	ŋ_t	0.243
w	-	0.23
j_ˈe	ˈi	0.223
ˈe	ˈa	0.221
ˈu	ˈʌ	0.202
ˈẽ	ˈa	0.2
ˈẽ	-	0.2
w	l	0.191
ˈi	-	0.187
w	ˈo	0.17
ˈɛ	ˈɛː	0.161
s	z	0.153
ˈɛ	ˈa	0.15
ˈe	ˈe	0.146
s	θ	0.143
w	v	0.14
ˈɛ	ˈiː	0.138
ˈe	ˈa_j	0.137
ˈẽ	ˈaː	0.133
ˈã	ˈaː	0.129
n	ŋ_n	0.127
ˈe	ˈɔː	0.125
ˈe	ˈuː	0.123
t	θ	0.111
w_ˈe	ˈuː	0.101
a	u	0.097
e	ˈɛ	0.087
v	-	0.085
ˈe	ˈiː	0.082
m	ŋ	0.077
ˈe	r	0.068
ˈa	w_ˈaː	0.058
ɔ	l_a	0.056
ˈi	r	0.052
ŋ	n	0.051
