Macedonian	Proto-Balto-Slavic	probability
ʧ	k	1.0
ʣ	zʲ	1.0
ʒ̊	ɡ_j	1.0
ʒ	ɡ	1.0
ʃ	k	1.0
ɾ	r	1.0
ɡ̊	ɡ_a	1.0
ɡ	ɡ	1.0
ɟ	d	1.0
ɔ	a	1.0
z̥	-	1.0
x	ʃ_u	1.0
u_m	t	1.0
p	p	1.0
m	m	1.0
l	l	1.0
j	-	1.0
e	eː_ˀ	1.0
d̥	d	1.0
c	k_t	1.0
b̥	m_b	1.0
b	b	1.0
z	zʲ	0.92
r	r	0.88
k	k	0.877
ɫ	l	0.867
v	w	0.852
n	n	0.644
r̩	r	0.609
f	s	0.603
d	d	0.573
ʦ	k	0.571
s	sʲ	0.543
t	t	0.54
a	aː	0.504
i	uː_́ˀ	0.468
ʦ	-	0.429
f	ʃ_a	0.397
u	au̯	0.396
r̩	i_r	0.391
o	a	0.369
u	j_au̯	0.34
ɛ	e_́	0.287
u	-	0.264
d	n	0.253
s	s	0.252
o	a_́	0.25
ɛ	e	0.239
ɛ	ai̯	0.236
i	ei̯	0.215
s	n_s	0.205
n	s	0.192
ɛ	i	0.19
i	iː	0.177
d	-	0.174
v	ʃ	0.148
i	e_s	0.139
a	a_́	0.134
a	-	0.134
ɫ	l_a	0.133
t	n_t	0.133
t	n	0.133
k	-	0.123
r	r_a	0.12
o	u_́	0.117
o	́ˀ_l	0.113
t	m_t	0.111
n	-	0.103
t	-	0.082
z	z	0.08
o	i	0.078
a	oː	0.077
a	oː_́ˀ	0.076
a	a_ŋ	0.076
o	i_́	0.073
n	n_a	0.061
