Old Norse	West Frisian	probability
a	ə	0.743
a	-	0.257
b	b	0.981
c	k	0.932
c	-	0.068
cʰ	k	1.0
cː	k	1.0
d	d	0.681
d	-	0.161
d	t	0.158
f	f	0.946
h	h	1.0
i	ə	0.716
i	-	0.271
j	-	0.474
j	ˈɪə̯	0.209
j	j	0.194
j	ˈoə̯	0.066
j	ˈeː	0.057
k	k	0.887
k	-	0.113
kʰ	k	1.0
kː	k	1.0
l	l	0.956
lː	l	0.808
lː	ˈɔu̯	0.192
l̥	j	1.0
m	m	1.0
mː	f	0.799
mː	m	0.201
n	n	0.929
n	-	0.053
nː	n	0.828
nː	-	0.125
p	p	1.0
pː	p	1.0
r	-	0.601
r	r	0.352
rː	r	0.882
rː	χ	0.118
r̥	r	0.907
r̥	h	0.093
s	s	0.916
sː	s	1.0
t	t	1.0
tʰ	t	0.706
tʰ	ʦ	0.15
tʰ	b	0.144
tː	χ	0.89
tː	t	0.11
u	ə	0.433
u	-	0.246
u	ˈiə̯	0.178
u	ɪ	0.143
v	v	0.494
v	ʋ	0.222
v	-	0.153
v	f	0.073
v	s	0.051
w	-	0.65
w	ˈiə̯	0.203
w	ʋ	0.147
x	v	0.639
x	-	0.229
x	f	0.132
ç	h	0.913
ç	f	0.087
ð	t	0.423
ð	-	0.39
ð	d	0.187
ŋ	ŋ	0.884
ŋ	n	0.065
ŋ	-	0.052
ɑ	ə	0.868
ɑ	j_ə	0.106
ɑː	ɪ	1.0
ɟ	ɡ	0.484
ɟ	ɣ	0.415
ɟ	-	0.101
ɟː	ɣ	1.0
ɡ	-	0.482
ɡ	ɡ	0.386
ɡ	k	0.074
ɡː	j	0.47
ɡː	ɣ	0.47
ɡː	χ	0.059
ɣ	-	0.457
ɣ	χ	0.449
ɣ	ɣ	0.059
ɾ	-	1.0
ʝː	z	1.0
ʦ	s	1.0
ˈa	ˈɔː	0.705
ˈa	ˈa	0.15
ˈa	ˈaː	0.145
ˈe	ˈa	0.269
ˈe	ˈɛi̯	0.164
ˈe	ˈɪ	0.16
ˈe	ˈɛ	0.145
ˈe	ˈø	0.116
ˈe	ˈi	0.093
ˈe	ˈaː	0.053
ˈeː	ˈɪ	0.606
ˈeː	ˈi	0.175
ˈeː	ˈɪə̯	0.09
ˈeː	ˈɔ	0.077
ˈeː	-	0.051
ˈi	ˈɪ	0.536
ˈi	ˈiː	0.335
ˈi	ˈi	0.094
ˈiː	ˈi	0.379
ˈiː	ˈiː	0.282
ˈiː	ˈɛ	0.167
ˈiː	ˈuː	0.08
ˈiː	-	0.073
ˈo	ˈoə̯	0.578
ˈo	ˈuə̯	0.141
ˈo	ˈɔ	0.066
ˈo	ˈeː	0.054
ˈoː	ˈuə̯	0.38
ˈoː	ˈiə̯	0.207
ˈoː	ˈɪə̯	0.104
ˈoː	-	0.091
ˈoː	ˈɔ	0.072
ˈoː	ˈa	0.053
ˈoː	ˈɔu̯	0.053
ˈu	ˈu	0.298
ˈu	ˈuː	0.21
ˈu	ˈɔ	0.178
ˈu	ˈɪ	0.12
ˈu	ˈy	0.079
ˈuː	ˈuə̯	0.227
ˈuː	-	0.222
ˈuː	ˈuː	0.202
ˈuː	ˈoː	0.115
ˈuː	ˈɪ	0.101
ˈuː	ˈiː	0.099
ˈy	ˈoə̯	0.357
ˈy	ˈɔ	0.313
ˈy	ˈɛː	0.133
ˈy	ˈy	0.101
ˈy	ˈø	0.072
ˈyː	j	0.347
ˈyː	ˈoː	0.259
ˈyː	ˈɛ	0.183
ˈyː	ˈiə̯	0.163
ˈøy̯	ˈɪə̯	1.0
ˈøː	ˈiə̯	0.622
ˈøː	ˈɪ	0.235
ˈøː	ˈɵ	0.073
ˈøː	ˈi	0.07
ˈɑ	ˈa	0.254
ˈɑ	ˈɛ	0.179
ˈɑ	ˈɛː	0.175
ˈɑ	ˈɪə̯	0.145
ˈɑ	ˈɔː	0.09
ˈɑ	ˈaː	0.078
ˈɑu̯	ˈɪə̯	0.717
ˈɑu̯	ˈɔː	0.15
ˈɑu̯	ˈɛ	0.132
ˈɑː	ˈiə̯	0.275
ˈɑː	ˈoə̯	0.265
ˈɑː	ˈa	0.148
ˈɑː	ˈeː	0.085
ˈɑː	ˈɪə̯	0.062
ˈɑː	ˈaː	0.058
ˈɒu̯	-	0.704
ˈɒu̯	ˈɪə̯	0.296
ˈɔ	-	0.376
ˈɔ	ˈiə̯	0.289
ˈɔ	ˈɔ	0.105
ˈɔ	ˈiː	0.082
ˈɔ	ˈi	0.059
ˈɔː	ˈoː	1.0
ˈɛ	ˈaː	0.367
ˈɛ	ˈɛ	0.225
ˈɛ	ˈɪ	0.175
ˈɛ	ˈøə̯	0.114
ˈɛ	ˈa	0.075
ˈɛi̯	ˈiə̯	0.676
ˈɛi̯	ˈiː	0.084
ˈɛi̯	ˈi	0.071
ˈɛi̯	ˈɪ	0.071
ˈɛi̯	ˈaː	0.07
ˈɛː	ˈiə̯	0.716
ˈɛː	ˈeː	0.195
ˈɛː	ˈa	0.09
θ	t	0.415
θ	d	0.381
θ	ʦ	0.203
