Hessian	East Franconian	probability
ˈɛ̃ː	ˈiː_n	1.0
ˈɔ	ˈɔ	1.0
ˈɑ̃i̯	ˈaɪ̯	1.0
ˈæː	-	1.0
ˈæ_ɐ	ˈɘ	1.0
ˈæ	ˈɛ	1.0
ˈuː	ˈuː	1.0
ˈõː	ˈuː	1.0
ˈoi̯	ˈaɪ̯	1.0
ˈoĩ̯	ˈaɪ̯	1.0
ˈĩː	ˈiː_n	1.0
ˈiː	ˈiː	1.0
ˈẽː	ˈeː	1.0
ˈe	ˈɛ	1.0
ˈãː	ˈaː	1.0
ˈau̯	ˈaʊ̯	1.0
ˈai̯	ˈaɪ̯	1.0
ʦ	ʦ	1.0
ʣ̥	-	1.0
ʒ̊_ə	ŋ	1.0
ɣ̊_ə	ŋ	1.0
ɡ̊	ɡ̊	1.0
ɛː	eː	1.0
ɑ	a	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
æ̆	ɐ	1.0
z̥	z̥	1.0
v̥	v̥	1.0
v_ə	m	1.0
s_t	ʃ_d̥	1.0
pʰ	b̥͡v̥	1.0
p	b̥	1.0
oː	ˈuː	1.0
n	n	1.0
m	m	1.0
kʰ	kʰ	1.0
k	ɡ̊	1.0
j_ə	ŋ	1.0
j	j	1.0
h	h	1.0
f	f	1.0
l	l	0.94
ˈa	ˈɒ	0.93
ʀ	r	0.918
ˈaː	ˈaː	0.888
b̥	b̥	0.888
t	d̥	0.873
ˈu	ˈʊ	0.871
ˈi	ˈɪ	0.845
d̥	d̥	0.811
ɣ̊	ɣ̊	0.8
ˈɑː	ˈoː	0.777
v	v	0.77
i	-	0.75
ˈɛ	ˈɛ	0.727
s	s	0.719
ˈɑ	ˈɒ	0.697
ə	n	0.691
x	x	0.669
ʒ̊	-	0.656
ˈeː	ˈiː	0.599
ˈoː	ˈuː	0.559
ˈo	ˈɔ	0.515
ˈɛː	ˈeː	0.506
ʃ	ʃ	0.501
ˈɛː	-	0.494
ˈo	ˈʊ	0.485
ˈoː	ˈoː	0.441
ˈeː	-	0.401
ʃ	ç	0.349
ʒ̊	ʃ	0.344
x	ɣ̊	0.331
ə	a	0.309
ˈɛ	ˈeː	0.273
ˈɑ	-	0.265
i	ɪ	0.25
v	β	0.23
ˈɑː	ɐ	0.223
s	z̥	0.207
ɣ̊	ɣ	0.2
d̥	ɾ	0.189
ˈi	ˈiː	0.155
ʃ	-	0.15
ˈu	-	0.129
t	d̥_r	0.127
ˈaː	ˈɒ	0.112
b̥	-	0.112
ʀ	ˈɛː	0.082
s	ʃ	0.074
ˈa	ˈɒː	0.07
l	l_d̥	0.06
