Standard Croatian	Kajkavian	probability
̌	ˈ	1.0
ʨ	ʧ	1.0
ʧ	ʧ_l	1.0
ʒ	ʒ	1.0
ʎ	ʎ	1.0
ʋ	v	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
z	z	1.0
x	h	1.0
uː_̂	o	1.0
u	u	1.0
t	t	1.0
s	s	1.0
r̩ː	ɛ_r	1.0
r	r	1.0
p	p	1.0
oː_̂	o_w	1.0
oː	u̯o	1.0
n	n	1.0
m	m	1.0
l	l	1.0
j_eː	e	1.0
iː	iː	1.0
eː	æ	1.0
e_̌	æ_ˈ	1.0
d	d	1.0
b	b	1.0
aː	aː	1.0
a_k	æ_k	1.0
k	k	0.956
̂	ˈ	0.7
uː	o	0.684
i	i	0.638
o	u̯o	0.624
ʦ	ʦ	0.556
e	e	0.503
j	-	0.501
j	j	0.499
e	æ	0.497
a	æ	0.494
ʦ	ʦː	0.444
a	ɒ	0.422
i	-	0.362
uː	uː	0.316
̂	-	0.3
o	ɔ	0.258
o	l	0.118
a	a	0.084
