Neapolitan	Neapolitan	probability
ˈɛ_#>	ˈe_#>	1.0
ˈu_ɾ	ˈy	1.0
ˈo_ɾ	ˈu	1.0
ˈi_#>	ˈi_#>	1.0
ˈa_ɾ	ˈa	1.0
ˈa_#>	ˈa_#>	1.0
ʧ	ˈe_z	1.0
ʦː_ə	s	1.0
ʦː	-	1.0
ʦ_ə	s_ɔ	1.0
ʤː	-	1.0
ʎː	j	1.0
ɾ_ə	e	1.0
ɾ_t	ˈe_ʀ	1.0
ɾ_n	ʀ	1.0
ɲː	ɲ	1.0
ɲ	ɲ	1.0
ɡ_ə	k	1.0
ɡ	ɡ	1.0
ə_n	e	1.0
ŋ	ŋ	1.0
z	z	1.0
v_ə	w	1.0
t_ɾ	j_ɾ	1.0
sː	s	1.0
s	s	1.0
rː	ʀ	1.0
p_ˈe	p_ˈe	1.0
p_ə_#>	#>	1.0
n_t	ŋ	1.0
mː	m	1.0
m	m	1.0
l_ˈi	l_ˈe	1.0
l_ə	w	1.0
l	l	1.0
kː_ə	k_ɔ	1.0
kː_j	j	1.0
k_ɾ	k_ɾ	1.0
k_ə_#>	k_#>	1.0
k_j	p_l	1.0
j_ˈɛ	ˈɛ	1.0
fː	f	1.0
f	f	1.0
dː	-	1.0
d_ə_#>	#>	1.0
d	d	1.0
bː	b	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_ɥ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_j	<#_ʤ	1.0
<#_a	<#_a	1.0
#>	j_#>	1.0
ə_#>	#>	0.949
k	k	0.893
w	w	0.882
a	a	0.867
p	p	0.852
v	v	0.778
ʤ	ʤ	0.75
r	ɾ	0.75
u	u	0.667
nː	ŋ	0.667
k_w	k_w	0.667
lː	w	0.636
ə	ɔ	0.605
ˈa	ˈa	0.6
o	-	0.6
e	e	0.6
ʃ	s	0.586
n	ŋ	0.575
ˈu	ˈu	0.528
t	d	0.524
ˈi	ˈi	0.5
ʃː	j_s	0.5
ə_ɾ	ɾ	0.5
ə_ɾ	d_ɾ	0.5
<#	<#_w	0.5
<#	<#_a	0.5
ˈɔ	ˈe	0.486
ˈɛ	ˈɛ	0.478
t	t	0.476
i	e	0.438
j	j	0.417
o	u	0.4
e	-	0.4
ɾ	ɾ	0.39
tː	-	0.385
i	-	0.375
ɾ	ʀ	0.366
lː	l	0.364
ˈa	ˈã	0.356
n	n	0.35
ˈo	ˈu	0.333
ˈe	ˈɛ	0.333
ˈe	ˈe	0.333
nː	-	0.333
k_w	k	0.333
j	l	0.333
tː	ʧ	0.308
tː	t	0.308
ˈɛ	ˈẽ	0.304
ə	e	0.302
ˈo	ˈũ	0.25
ˈo	w	0.25
ʤ	-	0.25
ʃː	s	0.25
ʃː	-	0.25
u	-	0.25
r	ʀ	0.25
j	-	0.25
ɾ	-	0.244
ʃ	e_s	0.241
ˈi	ˈe	0.233
ˈɛ	ˈe	0.217
ˈe	ˈẽ	0.2
ˈu	ˈy	0.194
ʃ	-	0.172
ˈo	-	0.167
ˈi	ˈĩ	0.167
v	b	0.148
p	b	0.148
ˈe	-	0.133
a	ɔ	0.133
i	i	0.125
w	-	0.118
ˈu	ˈỹ	0.111
ˈu	ˈũ	0.111
ˈɔ	w	0.108
k	ɡ	0.107
ˈi	j_ˈe	0.1
u	ũ	0.083
ˈɔ	ˈɔ	0.081
ˈɔ	ˈẽ	0.081
ˈɔ	ˈa_w	0.081
ˈɔ	ɥ_ˈe	0.081
ˈɔ	w_ˈe	0.081
n	-	0.075
v	w	0.074
i	ĩ	0.062
ˈu	-	0.056
