Swedish	West Flemish	probability
a	ə	0.503
a	n	0.373
a	-	0.121
b	b	1.0
d	t	0.672
d	d	0.213
d	-	0.101
e	-	1.0
f	v	1.0
h	-	0.834
h	z	0.064
h	k	0.062
h	ɦ	0.061
j	-	0.549
j	ɦ	0.208
j	ˈæ	0.116
j	ˈɛː	0.066
j	j	0.047
jː	ɦ	0.512
k	k	0.471
k	-	0.37
k	h	0.123
kʰ	k	0.818
kʰ	-	0.176
kː	k	1.0
l	l	0.817
l	-	0.119
l	w	0.055
lː	l	0.683
lː	t	0.231
m	m	1.0
mː	m	1.0
n	n	0.828
n	-	0.17
nː	n	0.506
nː	n_d	0.301
nː	ˈu	0.173
p	p	1.0
pʰ	p	0.512
r	ɾ	0.913
r	-	0.083
rː	ˈoː	0.388
rː	ɾ	0.199
s	s	0.537
s	z	0.403
sː	s	0.512
t	t	0.925
t	d	0.075
tʰ	d	0.561
tʰ	t	0.416
tː	t	0.54
tː	h	0.409
v	ʋ	0.594
v	f	0.169
v	v	0.147
v	p	0.081
v_ɛ	v	1.0
ŋ	-	0.268
ŋ	ɪ	0.203
ŋ	v	0.203
ŋ	ŋ	0.137
ŋ	n	0.137
ŋː	ŋ	1.0
ɕ	k	0.74
ɕ	d	0.147
ɖ	t	0.446
ɖ	d	0.117
ɛ	-	0.661
ɛ	ə	0.273
ɛ	ɾ	0.067
ɡ	ɦ	0.676
ɡ	h	0.173
ɡ	-	0.064
ɡ	ç	0.063
ɡ	k	0.046
ɡː	ɦ	0.723
ɡː	-	0.213
ɧ	z	0.502
ɧ	s	0.224
ɧ	ʃ	0.148
ɪ	-	0.402
ɪ	ə	0.265
ɳ	ɾ	1.0
ɳː	n	0.512
ɵ	-	0.411
ɵ	m	0.183
ʈː	ɾ_t	1.0
ʊ	ə	0.388
ʊ	ˈeː	0.102
ˈa	ˈɑ	0.577
ˈa	ˈɒː	0.183
ˈa	ˈu	0.109
ˈa	ˈæ	0.064
ˈa	ˈɔ	0.06
ˈeː	ˈɛː	0.433
ˈeː	ˈiə̯	0.296
ˈeː	ˈɛ	0.115
ˈeː	ˈeː	0.084
ˈeː	ˈɪ	0.048
ˈiː	ˈi	0.649
ˈiː	ˈiə̯	0.171
ˈiː	ˈɛ	0.09
ˈiː	-	0.06
ˈoː	ˈɒː	0.495
ˈoː	ˈɑ	0.2
ˈoː	ˈøː	0.132
ˈoː	ˈɛː	0.131
ˈuː	ˈuə̯	0.743
ˈuː	ˈoː	0.202
ˈuː	ɾ	0.057
ˈyː	ˈiə̯	1.0
ˈæ	ˈæ	0.512
ˈæː	ˈæ	0.338
ˈæː	ˈɒː	0.338
ˈøː	ˈoː	0.674
ˈøː	ˈɛː	0.174
ˈøː	ˈuə̯	0.131
ˈœ	ˈɔ	0.398
ˈœ	ˈoː	0.263
ˈœ	w	0.162
ˈœ	ˈuə̯	0.105
ˈœː	ˈoː	1.0
ˈɑː	ˈɒː	0.484
ˈɑː	ˈɑ	0.447
ˈɑː	ə	0.061
ˈɔ	ˈɔ	0.577
ˈɔ	ɾ	0.148
ˈɔ	ˈoː	0.101
ˈɔ	ˈɑ	0.096
ˈɛ	ˈɛ	0.238
ˈɛ	ˈeː	0.162
ˈɛ	ˈɛː	0.141
ˈɛ	ˈɑ	0.141
ˈɛ	ˈæ	0.127
ˈɛː	ˈeː	0.402
ˈɛː	ˈøː	0.181
ˈɛː	ˈæ	0.181
ˈɛː	ˈɑ	0.116
ˈɛː	ˈiə̯	0.082
ˈɪ	ˈɪ	0.539
ˈɪ	ˈɛ	0.207
ˈɪ	ɾ	0.11
ˈɪ	-	0.087
ˈɪ	ˈæ	0.054
ˈɵ	ˈu	0.262
ˈɵ	ˈoː	0.205
ˈɵ	ˈœ	0.179
ˈɵ	ˈɪ	0.179
ˈɵ	-	0.083
ˈʉː	ˈyː	0.403
ˈʉː	d_ˈiə̯	0.187
ˈʉː	ˈiə̯	0.123
ˈʉː	ˈɔ	0.113
ˈʉː	ˈoː	0.076
ˈʊ	ˈu	0.561
ˈʊ	ˈuə̯	0.425
ˈʏ	ˈœ	0.351
ˈʏ	ˈyː	0.202
ˈʏ	ˈæ	0.143
ˈʏ	ˈiə̯	0.136
ˈʏ	ˈʏ	0.096
