Asturian	Asturian	probability
θ_e	k_i	1.0
β_e	ɛ	1.0
ˈe_ʎ	ɖː	1.0
ˈe_s	s	1.0
ʧ	t	1.0
ʎ_ˈa	ɾ_ˈa	1.0
ɾ_β	ɾ_b	1.0
ɾ_n	r	1.0
ɾ_a	ɾ_a	1.0
ɟ͡ʝ	-	1.0
ŋ_ɡ	m	1.0
t_ˈa	ð_ɛ	1.0
t_e	t_ɛ	1.0
t	t	1.0
s_#>	ɔ_z_ɔ̆_#>	1.0
r	r	1.0
p	p	1.0
o_ɾ	ɾ	1.0
m_u	m_u	1.0
m	m	1.0
f	f	1.0
b_e	b_ˈi	1.0
b	b	1.0
a_#>	#>	1.0
<#_θ	<#_k	1.0
<#_ˈe	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_ʣ	1.0
<#_ɡ_w	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_k	<#	1.0
<#_e	<#_i	1.0
<#_a	<#_a	1.0
#>	ɛ_#>	0.964
ˈa	ˈa	0.958
k	k	0.944
a	a	0.899
u	u	0.893
ˈu	ˈu	0.889
ʎ	l	0.846
d	d	0.846
ɾ	ɾ	0.836
ˈe_ɾ	ɛ_ɾ	0.818
n	n	0.791
ˈi	ˈi	0.75
ð	t	0.733
θ	k	0.714
ɡ	ɡ	0.714
w_ˈe	ˈɔ	0.714
ʃ	ɡ	0.667
ɾ_u	ɾ_u	0.667
ɣ	k	0.667
ŋ	n_ɛ	0.667
i	i	0.667
s	s	0.633
β	β	0.619
l	l	0.619
j_ˈe	ˈe	0.533
ɲ	n_ʣ	0.5
<#	<#_i	0.5
<#	<#_a	0.5
e	ɛ	0.474
j_ˈe	ˈɛ	0.467
w	ˈo	0.417
o	ɔ	0.4
ɲ	nː	0.375
s	z	0.367
ʝ	ʣ	0.357
j	ˈɛ	0.357
ˈo	ˈɔ	0.349
ˈe	ˈi	0.34
ʃ	s	0.333
ɾ_u	u	0.333
ɣ	ɣ	0.333
w	-	0.333
i	-	0.333
ˈo	ˈu	0.326
o	o	0.3
β	p	0.286
ɡ	-	0.286
w_ˈe	ˈo	0.286
ˈe	ˈɛ	0.277
w	ˈu	0.25
ʝ	k_ɾ	0.214
ʝ	k	0.214
ʝ	-	0.214
j	-	0.214
o	ˈɔ	0.2
l	ɾ	0.19
ˈo	ˈo	0.186
ˈe_ɾ	ɾ	0.182
ŋ	m	0.167
ŋ	-	0.167
n	nː	0.163
d	-	0.154
ˈe	ˈe	0.149
θ	ʦ	0.143
θ	z	0.143
j	ˈe	0.143
j	ɣ	0.143
j	j	0.143
ð	ð	0.133
ð	-	0.133
e	a	0.132
ɲ	ɲ	0.125
ˈu	-	0.111
ˈi	ˈi_ʣ	0.107
e	ˈɛ	0.105
o	ɛ	0.1
β	ɣ	0.095
l	ɛ	0.095
l	-	0.095
ˈo	ˈa	0.093
ˈe	ˈa	0.085
e	-	0.079
ʎ	ɖː	0.077
ʎ	p	0.077
ˈi	ɛ	0.071
ˈi	-	0.071
ɾ	ɛ_ɾ	0.066
ɾ	-	0.066
ˈe	ɛ	0.064
k	-	0.056
e	u	0.053
e	i_n	0.053
e	i	0.053
e	e	0.053
