Slovak	Old Prussian	probability
ʧ	k	1.0
ʦ	-	1.0
ʒ	ɡ	1.0
ʎ	l	1.0
ʊ̯ɔ	a_l	1.0
ɫ̩	l	1.0
ɫ	-	1.0
ɪ̯ɛ	-	1.0
ɪ̯a	-	1.0
ɡ̊	ɡ_e	1.0
ɟ	d	1.0
æ	n	1.0
z̥	-	1.0
z	z	1.0
x	s	1.0
v	n	1.0
uː	au̯	1.0
t	t	1.0
s	s	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l̩	l	1.0
k	k	1.0
j	ai̯	1.0
iː	a	1.0
f	b_i	1.0
eː	u_k	1.0
e	e	1.0
d	d	1.0
b	b	1.0
r	r	0.885
u	u	0.655
c	t	0.6
ɲ	aː	0.522
ʋ	v	0.479
ɲ	n	0.478
ɛ	e	0.412
c	t_o	0.4
i	-	0.367
i	u	0.355
ɔ	a	0.351
ʋ	v_i	0.344
a	o	0.344
a	a	0.343
ɛ	a	0.337
ɔ	-	0.227
i	uː	0.207
a	e	0.207
ɔ	o	0.191
u	ŋ	0.187
ʋ	w	0.178
u	aːu̯	0.158
ɛ	n	0.145
ɔ	e	0.142
r	r_i	0.115
ɛ	-	0.107
a	-	0.105
ɔ	u	0.089
i	oːu̯	0.071
