Romansch	Romansch	probability
ˈɛ_w	ɡ_u	1.0
ˈɛ_r	ˈɛː_r	1.0
ˈu_s	w_ˈiː	1.0
ˈo	ˈø	1.0
ˈiː_r	ˈiː	1.0
ˈiə̯	-	1.0
ˈaː_r	ˈaː	1.0
ˈa_j	ˈe	1.0
ʨ_#>	t_u_#>	1.0
ʦ	-	1.0
ʎ	ʤ	1.0
ɲ	ɲ	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ə_s	e	1.0
ə_l	j	1.0
ŋ	ŋ	1.0
z	-	1.0
u_r	w	1.0
u_d	ɥ	1.0
s_ə	a	1.0
s	s	1.0
r_n	r_n	1.0
r_#>	#>	1.0
p_l	ʧ	1.0
p	p	1.0
o	u	1.0
n_#>	ŋ_#>	1.0
m_#>	m_e_#>	1.0
l_ə	a	1.0
l_#>	#>	1.0
k_r	k_r	1.0
k_#>	ɡ_u_#>	1.0
k	k	1.0
j_r	j	1.0
f_l	ʃ	1.0
f_#>	v_u_#>	1.0
e_r	e_r	1.0
e	-	1.0
b	b	1.0
<#_ʒ_ɡ	<#_ʒ	1.0
<#_ʎ	<#_l	1.0
<#_ɡ	<#_ɡ	1.0
<#_ə	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k_l	<#_ʧ	1.0
<#	<#_a	1.0
v	v	0.931
ʨ	k	0.9
m	m	0.88
f	f	0.85
i	e	0.8
ə	a	0.79
ə_r	e	0.75
t	t	0.735
ʧ	s	0.733
n	ŋ	0.649
r	r	0.625
d	d	0.615
#>	u_#>	0.594
l	l	0.571
ˈaː	ˈaː	0.556
s_#>	s_u_#>	0.556
ˈuː	ˈuː	0.545
ˈɛː	ˈe_l	0.5
ˈɔː	ˈɔː	0.5
ˈu	ˈu	0.5
ˈiː	ˈi	0.5
ˈe	ˈe	0.5
ˈa_w	ˈa	0.5
w	w	0.5
w	-	0.5
ˈi	ˈi	0.462
ˈuː	ˈu	0.455
ˈɛ	ˈe	0.45
j	-	0.45
ˈaː	ˈa	0.444
s_#>	#>	0.444
u	u	0.429
ʃ	ʒ	0.423
ˈa	ˈa	0.405
j	j	0.4
d	-	0.385
ˈeː	ˈeː	0.375
ˈeː	-	0.375
ˈa_w	ˈɔː	0.357
ˈɛ	ˈeː	0.35
ˈe	-	0.333
ʥ	z	0.333
#>	e_#>	0.319
ˈɔ	ˈøː	0.312
ˈɔ	ˈa	0.312
ʃ	s	0.308
ˈɔː	ˈøː	0.3
n	n	0.297
u	w	0.286
u	-	0.286
ˈa	ˈe	0.27
ˈɛː	ˈɛː	0.25
ˈɛː	l	0.25
ˈɔ	ˈɔ	0.25
ˈiː	-	0.25
ˈeː	ˈe	0.25
ə_r	r_u	0.25
ˈi	ˈyː	0.231
ʥ	ʤ	0.222
ʥ	ɡ	0.222
ʥ	-	0.222
l	ˈeː	0.214
l	-	0.214
ˈɔː	-	0.2
ˈu	ˈuː	0.2
r	u	0.2
i	y	0.2
ˈu	ˈy	0.167
ˈe	l	0.167
ˈa	ˈaː	0.162
ˈi	ˈy	0.154
ˈi	ˈiː	0.154
ʃ	z	0.154
ˈiː	ˈiː	0.15
j	ˈøː	0.15
f	v	0.15
ˈa_w	ˈaː	0.143
ˈu	-	0.133
ʧ	ʒ	0.133
ʧ	-	0.133
ˈɔ	-	0.125
m	ŋ	0.12
t	-	0.118
ʃ	ʃ	0.115
ˈa	ˈɛː	0.108
ˈɛ	ˈø	0.1
ˈɛ	-	0.1
ˈiː	ˈy	0.1
ʨ	t	0.1
t	d_u	0.088
r	j	0.075
ə	e	0.074
ə	-	0.074
v	ˈeː	0.069
ə	j	0.062
t	d_e	0.059
#>	a_#>	0.058
ˈa	-	0.054
n	-	0.054
