English	German	probability
b	b	0.972
d	t	0.598
d	tʰ	0.276
d	d	0.095
f	f	0.781
f	p	0.14
h	h	0.982
j	j	0.365
j	ˈɔʏ̯	0.284
j	ɡ	0.276
j	ˈiː	0.076
k	k	0.468
k	x	0.332
k	ç	0.173
kʰ	kʰ	0.89
kʰ	ʁ	0.11
l	l	1.0
m	m	1.0
n	n	0.945
p	f	0.822
p	p͡f	0.095
p	p	0.083
pʰ	p͡f	1.0
s	z	0.475
s	s	0.303
s	ʃ	0.204
t	s	0.431
t	t	0.169
t	ʦ	0.151
t	ç_t	0.128
t	x_t	0.109
tʰ	ʦ	0.888
tʰ	b	0.112
v	b	0.522
v	f	0.478
w	v	0.906
w	-	0.081
z	z	0.618
z	ʁ	0.382
ð	d	0.556
ð	t	0.444
ŋ	ŋ	0.958
ə	ɐ	0.827
ə	ə	0.105
əʊ̯	ə	0.503
əʊ̯	-	0.249
əʊ̯	ɐ	0.249
ɜː	ˈaɪ̯	1.0
ɡ	ɡ	0.77
ɡ	-	0.23
ɪ	ɪ	0.569
ɪ	ə	0.197
ɪ	-	0.163
ɪ	ˈɛ	0.071
ɫ	l	0.868
ɫ	-	0.087
ɹ	ʁ	0.951
ʃ	ʃ	1.0
ʤ	k	1.0
ʧ	kʰ	0.512
ʧ	ç	0.251
ʧ	x	0.194
ˈaɪ̯	ˈaɪ̯	0.313
ˈaɪ̯	ˈɪ	0.282
ˈaɪ̯	ˈiː	0.112
ˈaɪ̯	ˈɔʏ̯	0.093
ˈaʊ̯	ˈaʊ̯	0.607
ˈaʊ̯	ˈuː	0.141
ˈaʊ̯	ˈʊ	0.131
ˈaʊ̯	ˈɔʏ̯	0.088
ˈe	ˈɛ	0.297
ˈe	ˈaɪ̯	0.098
ˈe	ˈoː	0.093
ˈe	ˈeː	0.092
ˈe	ˈa	0.082
ˈe	ˈɔʏ̯	0.079
ˈeɪ̯	ˈaː	0.471
ˈeɪ̯	ˈa	0.326
ˈeɪ̯	ˈeː	0.129
ˈeɪ̯	ˈoː	0.074
ˈiː	ˈaʊ̯	0.224
ˈiː	ˈiː	0.17
ˈiː	ˈyː	0.121
ˈiː	ˈaː	0.097
ˈiː	ˈɪ	0.053
ˈiː	eː	0.051
ˈuː	ˈuː	0.345
ˈuː	-	0.223
ˈuː	ɐ	0.117
ˈuː	ˈa	0.102
ˈuː	ˈoː	0.069
ˈæ	ˈa	0.923
ˈæ	ˈɛ	0.059
ˈɐ	ˈʊ	0.4
ˈɐ	ˈoː	0.235
ˈɐ	ˈɔ	0.189
ˈɐ	-	0.056
ˈɐ	ˈaʊ̯	0.053
ˈɑː	ˈa	0.571
ˈɑː	ˈaː	0.279
ˈɑː	ˈɛ	0.15
ˈɒ	ˈa	0.371
ˈɒ	ˈɔ	0.3
ˈɒ	ˈoː	0.122
ˈɒ	ˈʊ	0.118
ˈɒ	ˈaɪ̯	0.089
ˈɔː	ˈɔ	0.389
ˈɔː	ɐ	0.239
ˈɔː	ˈa_ɐ	0.187
ˈɔː	ˈa	0.066
ˈɔː	ˈyː	0.065
ˈɔː	ˈɛ_ɐ	0.055
ˈəʊ̯	ˈaɪ̯	0.558
ˈəʊ̯	ˈeː	0.215
ˈəʊ̯	ˈɔ	0.08
ˈɛ	ˈeː	0.433
ˈɛ	ˈaː	0.345
ˈɛ	ˈɛː	0.138
ˈɛ	ˈɛ	0.085
ˈɜː	ɐ	1.0
ˈɪ	ˈɪ	0.522
ˈɪ	ˈʏ	0.136
ˈɪ	ˈiː	0.079
ˈʊ	ˈɔ	0.514
ˈʊ	ˈuː	0.486
θ	d	0.611
θ	t	0.252
θ	-	0.083
θ	tʰ	0.054
