Campidanese	Campidanese	probability
ˈɛ_ɾ	ˈɛ_r	1.0
ˈɔ_ɾ	ˈɔ_r	1.0
ˈa_i_#>	ˈa_#>	1.0
ˈa	ˈa	1.0
ʧ	ʧ	1.0
ʒ	ʧ	1.0
ɾ_ˈu	ˈu_l	1.0
ɾ_ˈo	ˈɔ_l	1.0
ɾ_u	t	1.0
ɾ_t	l_t	1.0
ɾ_i_#>	#>	1.0
ɾ_i	r_u	1.0
ɭː	ɖː	1.0
ɡ	ɡ	1.0
ɖː	ɖː	1.0
ɔ̆	-	1.0
ŋ	ŋ	1.0
w	-	1.0
ŭ_#>	#>	1.0
u_#>	#>	1.0
t_ˈa	t	1.0
t_ɛ	l	1.0
n_ʤ	ɲː	1.0
n_u	n_u	1.0
l_i	l_i	1.0
l_a	l_a	1.0
l	l	1.0
k_ɾ	c	1.0
j	j	1.0
ĭ_#>	#>	1.0
i_ɾ	ˈi	1.0
i_n	u	1.0
e	-	1.0
d	d	1.0
a_n	a_n	1.0
a_l	a_l	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_d	<#	1.0
<#_a_r	<#_r	1.0
<#_a	<#_a	1.0
<#	<#_ɟ	1.0
#>	ˈe_#>	1.0
a	a	0.952
f	f	0.95
k	k	0.943
p	p	0.938
u	u	0.887
n	n	0.878
i_#>	#>	0.875
m	m	0.818
i	i	0.811
ˈi	ˈi	0.795
ˈu	ˈu	0.794
s	s	0.784
ð	t	0.733
z	-	0.714
r	rː	0.714
ʃ	ʃː	0.667
nː	nː	0.667
ɾ	r	0.658
ˈɔ	ˈɔ	0.643
ʤ	ɟ	0.636
ŭ	i	0.6
ɛ	a	0.571
ɔ	u	0.571
ˈɛ	ˈɛ	0.548
ˈe	ˈɛ	0.526
t	t	0.515
b	b	0.514
β	-	0.5
ʦ	ʦ	0.5
ʦ	-	0.5
ɣ	k	0.5
f_ɾ	f_j	0.5
f_ɾ	f	0.5
b	v	0.486
ˈo	ˈɔ	0.478
ɛ	i	0.429
o	-	0.429
t	tː	0.424
ŭ	j	0.4
ˈe	ˈe	0.368
ʤ	-	0.364
ˈo	ˈo	0.348
ʃ	-	0.333
nː	-	0.333
ˈɛ	ˈe	0.323
ɔ	i	0.286
r	r	0.286
o	o	0.286
o	a	0.286
β	p_r	0.25
β	p	0.25
ɣ	ɡ	0.25
ɣ	cː	0.25
ɾ	l	0.237
ˈɔ	ˈo	0.214
ˈu	ˈɔ	0.206
ˈɔ	-	0.143
ɔ	ɔ	0.143
z	z	0.143
z	j	0.143
s	sː	0.135
ð	d	0.133
ð	-	0.133
i_#>	ˈe_#>	0.125
m	mː	0.121
ˈe	-	0.105
ɾ	-	0.105
ˈo	u	0.087
ˈo	-	0.087
s	-	0.081
n	-	0.073
ˈi	i	0.068
i	u	0.068
ˈɛ	ˈa	0.065
ˈɛ	-	0.065
p	pː	0.062
t	-	0.061
m	m_u	0.061
k	kː	0.057
i	ˈi	0.054
u	a	0.052
