Afrikaans	Afrikaans	probability
ˈʊə̯_r	ˈoə̯	1.0
ˈʊə̯_d̥_#>	ˈɪə̯_#>	1.0
ˈɪə̯_r	ˈɪə̯_r	1.0
ˈɪə̯_n	ˈiə̯_n	1.0
ˈɪø̯	-	1.0
ˈɛː	ˈɪ_z	1.0
ˈəɪ̯_#>	ˈɛ_j_#>	1.0
ˈə_n	ˈiː	1.0
ˈɔː	-	1.0
ˈæː	ˈɛ	1.0
ˈyː	j_ˈuə̯	1.0
ˈa_ɫ	ˈɪə̯_l	1.0
ɫ	l	1.0
ɦ_ˈəɪ̯	h	1.0
ɦ	h	1.0
ə_ŋ	n	1.0
ə_n	ə_n	1.0
ə_#>	ə_n_#>	1.0
ŋ	ŋ	1.0
w	-	1.0
v̥_#>	#>	1.0
t_v	t_v	1.0
r_t	t	1.0
p	p	1.0
n_s	s	1.0
m	m	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɫ	<#_l	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
<#_d	<#_t	1.0
n	n	0.949
t	t	0.946
k	k	0.944
s	s	0.923
r	r	0.9
v̥	f	0.897
d	d	0.852
ə	ə	0.75
v	ʋ	0.679
ˈɛ	ˈɪ	0.667
ˈu	ˈuə̯	0.643
ˈœɪ̯	ˈuː	0.636
ˈə	ˈɪ	0.611
ˈɔ	ˈɔ	0.542
ˈa	ˈa	0.542
ˈəɪ̯	ˈiː	0.538
ˈœu̯	ˈɔu̯	0.5
ˈœu̯	-	0.5
ˈæ	ˈɛ	0.5
ˈæ	-	0.5
ˈʊə̯	ˈɪə̯	0.471
ˈɪə̯	-	0.455
χ	χ	0.444
ˈœ	ˈɪ	0.429
d̥	d̥	0.429
d̥	-	0.393
ˈi	ˈiə̯	0.368
ˈɪə̯	ˈaː	0.364
χ	ɡ	0.333
ˈɛ	-	0.333
ˈəɪ̯	ˈi	0.308
ˈœ	ˈɛː	0.286
ˈœ	-	0.286
ˈu	ˈiə̯	0.286
ˈɑː	-	0.28
ˈə	ˈi	0.278
v	v	0.25
ˈɑː	ˈiə̯	0.24
ˈɑː	ˈaː	0.24
ˈɔ	-	0.208
ˈɪə̯	ˈɪ	0.182
ˈœɪ̯	ˈyː	0.182
ˈœɪ̯	-	0.182
ˈʊə̯	ˈuː	0.176
ˈɔ	ˈu	0.167
ˈa	ˈaː	0.167
ˈi	j_ˈɪ	0.158
ˈəɪ̯	-	0.154
ˈa	ˈɔː	0.125
ə	ɪ	0.125
ə	-	0.125
ˈʊə̯	ˈeː	0.118
ˈʊə̯	j	0.118
ˈʊə̯	-	0.118
χ	ɣ	0.111
ˈə	j_ˈɔ	0.111
d̥	n_ə	0.107
ˈi	ˈɛ_j	0.105
ˈi	ˈiː	0.105
ˈi	j	0.105
ˈi	-	0.105
v̥	v_ə	0.103
ˈɔ	ˈuː	0.083
ˈa	ˈɛː	0.083
ˈa	-	0.083
ˈɑː	ˈɪə̯	0.08
ˈɑː	ˈø	0.08
ˈɑː	ˈoə̯	0.08
d	ʦ	0.074
d	-	0.074
ˈu	ˈu̯o	0.071
v	f	0.071
d̥	d_ə	0.071
χ	ɣ_j	0.056
χ	j	0.056
k	-	0.056
t	ʦ	0.054
ˈi	ˈøə̯	0.053
n	-	0.051
