Auvergnat	Auvergnat	probability
ˈɔ̃	ˈo	1.0
ˈɔ_s	ˈe_s	1.0
ˈœ	w	1.0
ˈỹ	ˈu	1.0
ˈy	ˈu	1.0
ˈũ_ŋ	n	1.0
ˈũ	ˈo	1.0
ˈã	ˈa	1.0
ˈa_w	ˈo	1.0
ˈa_l	ˈe_l	1.0
ʀ_ˈa	ɾ_ˈa	1.0
ʀ_ɔ	ɾ_a	1.0
ɲ	ɲ	1.0
ɪ	e_s	1.0
ɥ	-	1.0
ə_#>	#>	1.0
vʲ	b	1.0
t	t	1.0
s_ˈɪ	s_ˈe	1.0
s_#>	θ_#>	1.0
pʲ	p	1.0
p_l	ʎ	1.0
p	p	1.0
mʲ	m	1.0
lː	s_ʎ	1.0
k_ʀ	k_ɾ	1.0
k_#>	u_#>	1.0
j_#>	#>	1.0
ĩ	i	1.0
i	-	1.0
fʲ	f	1.0
f	f	1.0
e	ˈe	1.0
b_ʀ	β_ɾ	1.0
b_w	b	1.0
ã	a	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_r	1.0
<#_ɒ	<#_a	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_d	<#_d	1.0
<#	<#_ɡ	1.0
m	m	0.909
ˈa	ˈa	0.878
ʧ	k	0.84
ɔ	a	0.83
ˈɪ	ˈe	0.824
n	n	0.824
ˈu	ˈo	0.81
ɒ	a	0.8
v	b	0.8
u	o	0.8
s	θ	0.786
d	ð	0.75
ˈɔ	ˈe	0.727
ˈi	ˈi	0.706
ʀ	ɾ	0.686
ˈĩ	ˈi	0.667
ˈẽ	j_ˈe	0.667
ʤ	ʃ	0.636
k	k	0.625
z	θ	0.6
#>	u_#>	0.566
ə	e	0.559
ɡ	ɡ	0.556
ˈɪ̃	j	0.5
ˈɪ̃	-	0.5
ˈe_j	ˈe	0.5
ˈe_j	ˈa_ð	0.5
ʀ_ə	ˈe_ɾ	0.5
ʀ_ə	ɾ	0.5
ˈe	j_ˈe	0.481
b	b	0.467
l	l	0.458
ʎ	ʝ	0.444
ɡ	ɣ	0.444
ŋ	ŋ	0.419
z	-	0.4
b	β	0.4
ʎ	ʎ	0.389
w	w	0.386
l	ʎ	0.375
ˈe	ˈe	0.37
ʤ	-	0.364
ˈĩ	-	0.333
ˈẽ	ˈe	0.333
j	j	0.286
d	-	0.25
#>	ɾ_#>	0.25
s	s	0.214
ə	u	0.206
ɒ	-	0.2
v	β	0.2
u	-	0.2
ŋ	n_u	0.194
ŋ	n_t	0.194
ˈu	-	0.19
#>	e_#>	0.184
ˈɔ	-	0.182
w	ˈo	0.182
ˈɪ	-	0.176
ˈi	ˈi_ɾ	0.176
n	-	0.176
ʎ	ˈe_ʝ	0.167
ʧ	t	0.16
j	ˈe	0.143
j	ʧ_e	0.143
j	w	0.143
j	e	0.143
j	-	0.143
w	β	0.136
b	f	0.133
ŋ	n	0.129
k	ɡ	0.125
ˈi	ɾ	0.118
ɔ	u	0.094
ˈɔ	ˈe_s	0.091
w	l	0.091
w	-	0.091
m	l_m	0.091
ʀ	β	0.086
ʀ	ɾ_t	0.086
ʀ	r	0.086
l	ɾ_m	0.083
l	ɾ	0.083
k	ɣ_u	0.083
k	k_w	0.083
k	-	0.083
ˈe	j	0.074
ˈe	e	0.074
ˈa	ɾ	0.073
w	β_e	0.068
ŋ	n_d	0.065
ə	ɾ_u	0.059
ə	ɾ_o	0.059
ə	o	0.059
ə	-	0.059
ʀ	ɾ_n	0.057
