Latin	Romanian	probability
ae̯	ə	1.0
e	-	1.0
eː	ə	1.0
f	f	1.0
iː	ə	1.0
j	ʒ	1.0
kː	k	1.0
nː	n	1.0
rː	r	1.0
sː	s	1.0
tː	t	1.0
u	-	1.0
uː	-	1.0
ɛ̃	e	1.0
ʊ	-	1.0
ˈau̯	ˈau̯	1.0
ˈiː	ˈi	1.0
ˈo	ˈo	1.0
ˈuː	ˈu	1.0
d	-	0.061
kʷ	p	0.351
p	-	0.211
ŋ	n	0.751
ɛ	-	0.11
ɪ	-	0.281
ʊ̃ː	ə	0.311
ˈeː	e̯ˈa	0.261
ˈoː	ˈo	0.131
ˈɔ	o̯ˈa	0.271
ˈɪ	ˈi	0.171
a	-	0.082
ãː	ə	0.682
k	k	0.442
ɔ	o	0.512
ɛ	e	0.802
ɡ	ʤ	0.452
ɫ	r	0.22
ɫ	l	0.52
ʊ̃ː	u	0.362
ˈaː	ˈɨ	0.282
ˈoː	o̯ˈa	0.362
ˈɛ	ˈɨ	0.082
ˈʊ	ˈu	0.832
aː	-	0.243
ãː	a	0.053
b	b	0.573
i	e	0.083
i	w	0.113
oː	r_u	0.143
oː	-	0.483
ŋ	ŋ	0.083
ɡ	-	0.23
ˈɪ	-	0.163
a	ˈə	0.194
aː	ə	0.14
kʷ	ʧ	0.624
m	m	0.954
oː	u	0.374
ɪ	i	0.394
ˈa	ˈɨ	0.24
ˈeː	ˈi	0.274
ˈu	ˈo	0.394
ˈɔ	ˈo	0.444
ˈɛ	j_ˈe	0.264
ˈɛ	ˈi	0.284
ˈʊ	o̯ˈa	0.124
d	z	0.235
d	d	0.705
l	r	0.175
l	l	0.825
lʲː	l	0.555
n	n	0.845
r	-	0.055
r	r	0.945
s	-	0.085
t	t	0.795
ˈaː	ˈa	0.705
ˈɔ	ˈu	0.285
a	ə	0.346
aː	e	0.616
i	j	0.326
k	p	0.096
lʲː	r	0.136
n	-	0.116
ɛ̃ː	-	0.106
ɫ	-	0.26
ˈa	ˈa	0.76
ˈeː	ˈe	0.466
ˈoː	-	0.146
ˈoː	ˈu	0.36
ˈu	ˈu	0.606
ˈɛ	ˈe	0.126
ˈɪ	ˈe	0.666
a	a	0.347
ãː	e	0.117
b	-	0.427
i	-	0.477
w	j	0.07
ŋ	m	0.167
ɛ̃ː	ə	0.077
ɛ̃ː	e	0.817
ʊ̃ː	e	0.327
ãː	-	0.148
lʲː	-	0.308
w	v	0.528
ɔ	u	0.488
ɡ	ɡ	0.318
k	-	0.169
k	ʧ	0.259
p	p	0.789
s	ʃ	0.219
s	s	0.659
t	ʦ	0.159
w	-	0.359
ɪ	e	0.289
ˈɛ	ˈa	0.169
