Bavarian	Eastphalian	probability
a	ɐ	0.527
a	-	0.212
a	ə	0.145
a	m	0.117
b̥	b	0.673
b̥	-	0.121
b̥	v	0.111
b̥	f	0.094
d̥	d	0.772
d̥	t	0.159
d̥	-	0.069
eɐ̯	ɒː	1.0
f	f	0.759
f	p	0.162
f	b	0.052
h	h	0.919
h	k	0.081
i	l	0.5
i	ɪ	0.5
j	l	0.84
j	j	0.16
k	k	0.734
k	ɣ	0.247
kʰ	k	1.0
l	l	0.976
m	m	0.797
m	v	0.181
n	n	0.91
n	-	0.07
p	p	1.0
p͡f	p	1.0
r	r	0.784
r	-	0.145
r	ɐ	0.07
s	z	0.424
s	t	0.387
s	s	0.141
t	t	0.525
t	d	0.294
t	-	0.181
x	k	0.501
x	x	0.315
x	ç	0.184
ç	k	1.0
ŋ	ŋ	0.818
ŋ	n	0.098
ɐ	ɐ	0.752
ɐ	ə	0.148
ɐ	-	0.1
ə	ə	0.648
ə	l	0.213
ə	-	0.139
ɡ̊	ɣ	0.283
ɡ̊	j	0.22
ɡ̊	ɡ	0.203
ɡ̊	-	0.093
ɡ̊	ç	0.078
ɡ̊	k	0.066
ʃ	ʃ	0.651
ʃ	s	0.349
ʋ	v	0.921
ʋ	w	0.079
ʦ	t	1.0
ˈa	ˈa	0.625
ˈa	ˈɛː	0.144
ˈa	ˈɪ	0.144
ˈai̯	ˈiː	0.446
ˈai̯	ˈʏ	0.181
ˈai̯	ˈyː	0.103
ˈai̯	ˈɛɪ̯	0.096
ˈai̯	ˈeː	0.089
ˈai̯	ˈɪ	0.085
ˈau̯	ˈuː	0.904
ˈau̯	ˈeo̯	0.096
ˈaː	ˈeo̯	0.56
ˈaː	ˈɒː	0.199
ˈaː	ˈɔ	0.099
ˈaː	ˈʊ	0.086
ˈaː	ˈa	0.055
ˈe	ˈɛ	0.315
ˈe	ˈeː	0.215
ˈe	ˈɛː	0.11
ˈe	ˈa	0.102
ˈe	ˈɛɪ̯	0.069
ˈe	ˈʏ	0.069
ˈe	ˈɔʏ̯	0.059
ˈeɐ̯	ˈɛɪ̯	0.29
ˈeɐ̯	ˈaʊ̯	0.282
ˈeɐ̯	ˈɪ	0.282
ˈeɐ̯	ˈɔʏ̯	0.146
ˈeː	ˈɛɪ̯	0.293
ˈeː	ˈɛː	0.204
ˈeː	ˈeː	0.203
ˈeː	ˈøː	0.202
ˈeː	ˈoː	0.099
ˈi	ˈɪ	0.721
ˈi	ˈiː	0.151
ˈiɐ̯	ˈɛɪ̯	0.603
ˈiɐ̯	ˈɔʏ̯	0.241
ˈiɐ̯	ˈɪ	0.156
ˈiː	ˈɛɪ̯	0.42
ˈiː	ˈeː	0.324
ˈiː	ˈɪ	0.256
ˈo	ˈɔ	0.368
ˈo	ˈa	0.23
ˈo	ˈʊ	0.199
ˈo	ˈɛ	0.104
ˈo	ˈoː	0.09
ˈou̯	ˈeo̯	1.0
ˈoɐ̯	ˈɛɪ̯	0.485
ˈoɐ̯	ˈeo̯	0.191
ˈoɐ̯	ˈa_ɐ	0.182
ˈoɐ̯	ˈiː	0.074
ˈoɐ̯	ɐ	0.068
ˈoː	ˈɒː	0.533
ˈoː	ˈaː	0.127
ˈoː	ˈuː	0.127
ˈoː	ˈɛ	0.109
ˈoː	ˈoː	0.061
ˈu	ˈʊ	0.309
ˈu	ˈʏ	0.223
ˈu	ˈɛ	0.095
ˈu	ˈɛɪ̯	0.095
ˈu	ˈɔ	0.082
ˈu	ˈɔʏ̯	0.062
ˈu	ˈœ	0.06
ˈu	ˈoː	0.06
ˈuɐ̯	ˈaʊ̯	0.546
ˈuɐ̯	ˈɔʏ̯	0.215
ˈuɐ̯	ˈʊ	0.182
ˈuɐ̯	ˈœ	0.056
ˈy	ˈoː	1.0
ˈɑː	ˈɛɪ̯	1.0
ˈɒ	ˈa	0.585
ˈɒ	ˈɒː	0.279
ˈɒ	ˈaː	0.136
ˈɒː	ˈɒː	0.521
ˈɒː	ˈaː	0.264
ˈɒː	ˈa	0.215
ˈɔ	ˈɒː	0.48
ˈɔ	ˈa	0.389
ˈɔ	ˈɔ	0.131
ˈɛ	ˈɛ	0.259
ˈɛ	ˈɛː	0.215
ˈɛ	ˈœ	0.185
ˈɛ	ˈɪ	0.14
ˈɛ	ˈeː	0.077
ˈɛ	ˈɔ	0.072
ˈɛ	ˈa	0.052
ˈɛː	ˈɛɪ̯	0.852
ˈɛː	ˈɒː	0.148
ˈʏ	ˈʏ	1.0
