Bavarian	Eastphalian	probability
a	ɐ	0.593
a	ə	0.158
a	-	0.111
a	m	0.111
b̥	b	0.734
b̥	f	0.106
b̥	-	0.081
b̥	v	0.07
d̥	d	0.706
d̥	t	0.157
d̥	-	0.128
d̥_a	ɐ	1.0
f	f	0.735
f	p	0.096
f	p_ə	0.066
f	b	0.05
f	v	0.035
h	h	0.938
h	k	0.062
i	ɪ	0.574
i	l	0.284
j	l	0.847
j	j	0.142
k	k	0.699
k	-	0.149
kʰ	k	1.0
l	l	0.897
l	-	0.068
l	n	0.045
m	m	0.834
m	v	0.073
m	-	0.05
m	n	0.048
n	n	0.854
n	-	0.115
n	m	0.03
p	p	1.0
p͡f	p	1.0
r	r	0.82
r	ɐ	0.109
r	-	0.043
r	z	0.036
s	t	0.324
s	z	0.259
s	s	0.193
s	t_ə	0.122
s	z_ə	0.063
t	t	0.686
t	-	0.222
t	d	0.083
x	x	0.486
x	k	0.214
x	k_ə	0.187
x	ç	0.09
ç	k	1.0
ŋ	ŋ	0.711
ŋ	n	0.111
ŋ	j	0.086
ŋ	ɪ	0.084
ɐ	ɐ	0.827
ɐ	-	0.084
ɐ	ə	0.08
ə	ə	0.644
ə	-	0.196
ə	l	0.128
ɡ̊	ɣ	0.36
ɡ̊	j	0.165
ɡ̊	x	0.112
ɡ̊	ç	0.112
ɡ̊	ɣ_ə	0.098
ʃ	ʃ	0.555
ʃ	s	0.443
ʋ	v	0.837
ʋ	w	0.152
ʦ	t	1.0
ˈa	ˈa	0.412
ˈa	ˈɛː	0.141
ˈa	ˈɛə̯	0.103
ˈa	ˈoː	0.1
ˈa	ˈɒː	0.1
ˈai̯	ˈiː	0.486
ˈai̯	ˈyː	0.135
ˈai̯	ˈɪ	0.118
ˈai̯	ˈʏ	0.102
ˈai̯	ˈɛɪ̯	0.086
ˈau̯	ˈuː	0.818
ˈau̯	ˈeo̯	0.112
ˈau̯	ˈʊ	0.054
ˈaː	ˈeo̯	0.627
ˈaː	ˈɒː	0.209
ˈaː	ˈɔ	0.137
ˈe	ˈeː	0.168
ˈe	ˈɛɪ̯	0.157
ˈe	ˈɛː	0.157
ˈe	ˈɛ	0.128
ˈe	ˈa	0.097
ˈeɐ̯	ˈɔʏ̯	0.361
ˈeɐ̯	ˈɪ	0.361
ˈeɐ̯	ˈaʊ̯	0.206
ˈeː	ˈeː	0.418
ˈeː	ˈøː	0.209
ˈeː	ˈɛː	0.209
ˈeː	ˈɛɪ̯	0.137
ˈi	ˈɪ	0.645
ˈi	ˈiː	0.224
ˈi	ˈɛ	0.067
ˈi	ˈɛɪ̯	0.054
ˈi	ˈɛː	0.033
ˈiɐ̯	ˈɛɪ̯	0.474
ˈiɐ̯	ˈɔʏ̯	0.351
ˈiɐ̯	ˈɪ	0.132
ˈiː	ˈɪ	0.242
ˈiː	ˈɛɪ̯	0.192
ˈiː	ˈeː	0.149
ˈo	ˈɔ	0.422
ˈo	ˈa	0.248
ˈo	ˈʊ	0.223
ˈo	ˈɛ	0.086
ˈou̯	ˈeo̯	1.0
ˈoɐ̯	ˈɛɪ̯	0.48
ˈoɐ̯	ˈeo̯	0.172
ˈoɐ̯	ˈa	0.099
ˈoɐ̯	ˈa_ɐ	0.099
ˈoɐ̯	ɐ	0.074
ˈoː	ˈɒː	0.404
ˈoː	ˈa	0.112
ˈoː	ˈaː	0.112
ˈoː	ˈuː	0.112
ˈoː	ˈɛ	0.108
ˈu	ˈʊ	0.271
ˈu	ˈɔ	0.256
ˈu	ˈʏ	0.147
ˈu	ˈɛ	0.086
ˈu	ˈɛɪ̯	0.068
ˈuɐ̯	ˈaʊ̯	0.831
ˈuɐ̯	ˈʊ	0.136
ˈy	ˈoː	0.495
ˈɑː	ˈɛɪ̯	0.495
ˈɒ	ˈɒː	0.582
ˈɒ	ˈa	0.19
ˈɒ	ˈaː	0.102
ˈɒː	ˈɒː	0.242
ˈɒː	ˈa	0.137
ˈɒː	ˈaː	0.137
ˈɔ	ˈa	0.381
ˈɔ	ˈɔ	0.36
ˈɔ	ˈɒː	0.226
ˈɛ	ˈɛː	0.226
ˈɛ	ˈa	0.149
ˈɛ	ˈeː	0.149
ˈɛ	ˈœ	0.109
ˈɛ	ˈɪ	0.109
ˈɛː	ˈɒː	0.213
ˈɛː	ˈɛɪ̯	0.213
ˈʏ	ˈʏ	0.121
