American English	Saterland Frisian	probability
b	b	1.0
d	d	0.896
d	-	0.104
f	f	0.866
f	x	0.111
h	h	1.0
i	ə	0.426
i	ɪ	0.323
i	-	0.155
i	i	0.097
j	j	1.0
k	k	0.939
kʰ	k	1.0
m	m	0.974
n	n	1.0
oʊ̯	-	0.365
oʊ̯	j	0.318
oʊ̯	ɪ	0.318
p	p	1.0
pʰ	p	1.0
s	s	0.937
t	t	1.0
tʰ	t	0.935
tʰ	b	0.065
tː	t	1.0
v	w	0.413
v	v	0.231
v	b	0.145
v	ɣ	0.108
v	-	0.088
w	v	0.903
w	w	0.055
z	s	0.605
z	z	0.395
ð	d	1.0
ŋ	ŋ	0.902
ŋ	ɪ	0.098
ə	ə	0.88
ə	ˈa	0.087
ɚ	r	0.616
ɚ	ə_r	0.359
ɡ	ɣ	0.656
ɡ	-	0.226
ɡ	ɡ	0.069
ɪ	ə	1.0
ɫ	l	0.892
ɫ	ə_l	0.09
ɹ	r	0.796
ɹ	-	0.087
ɹ	d_ə	0.086
ɾ	t	1.0
ʃ	s	1.0
ʔ	t	0.804
ʔ	x_t	0.196
ʤ	x	0.774
ʤ	ɣ	0.226
ʧ	k	0.521
ʧ	s	0.479
ˈaɪ̯	ˈiː	0.312
ˈaɪ̯	j	0.267
ˈaɪ̯	ˈi	0.263
ˈaɪ̯	ˈuː	0.061
ˈaʊ̯	ˈuː	0.793
ˈaʊ̯	ˈu	0.167
ˈeɪ̯	ˈɔː	0.322
ˈeɪ̯	ˈaːi̯	0.25
ˈeɪ̯	ˈoː	0.218
ˈeɪ̯	ˈɔ	0.105
ˈeɪ̯	ˈi	0.068
ˈi	ˈɛɪ̯	0.269
ˈi	ˈoː	0.232
ˈi	ˈiː	0.153
ˈi	ˈeː	0.139
ˈi	ˈi	0.082
ˈoʊ̯	ˈeː	0.539
ˈoʊ̯	ˈoː	0.225
ˈoʊ̯	ˈoːu̯	0.102
ˈoʊ̯	ˈuː	0.056
ˈu	ˈoːu̯	0.691
ˈu	ˈoː	0.139
ˈu	ˈi	0.1
ˈu	ˈɛɪ̯	0.07
ˈæ	ˈoːu̯	0.422
ˈæ	ˈɛː	0.128
ˈæ	ˈɔ	0.124
ˈæ	ˈaː	0.09
ˈæ	ˈa	0.067
ˈæ	ˈiː	0.066
ˈæ	ˈɛ	0.059
ˈɑ	ˈɔː	0.276
ˈɑ	ˈiː	0.23
ˈɑ	-	0.123
ˈɑ	ˈɛː	0.09
ˈɑ	ˈaː	0.086
ˈɑ	ˈɔ	0.079
ˈɔ	ˈoːu̯	0.331
ˈɔ	ˈɔː	0.208
ˈɔ	ˈɛɪ̯	0.12
ˈɔ	ˈoː	0.094
ˈɔ	ˈaːu̯	0.09
ˈɔ	ˈɔ	0.09
ˈɔ	ˈɛ	0.067
ˈɛ	ˈoː	0.171
ˈɛ	ˈeː	0.145
ˈɛ	ˈa	0.113
ˈɛ	ˈyː	0.086
ˈɛ	ˈɪ	0.084
ˈɛ	ˈɔː	0.075
ˈɛ	ˈɛɪ̯	0.064
ˈɝ	ˈʊ	0.373
ˈɝ	ˈɛɪ̯	0.172
ˈɝ	ˈoːu̯	0.128
ˈɝ	ˈɛ	0.121
ˈɝ	ˈɛː	0.121
ˈɝ	ˈɔː	0.086
ˈɪ	ˈɪ	0.447
ˈɪ	ˈɛː	0.111
ˈɪ	ˈiː	0.075
ˈɪ	j_ˈʊ	0.064
ˈɪ	ˈœː	0.053
ˈʊ	ˈoːu̯	0.5
ˈʊ	ˈʊ	0.5
ˈʌ	ˈuː	0.407
ˈʌ	ˈʊ	0.321
ˈʌ	ˈoːu̯	0.084
ˈʌ	ˈɔ	0.066
ˈʌ	ˈaː	0.055
ˈʌɪ̯	ˈʊ	0.272
ˈʌɪ̯	ˈɪ	0.237
ˈʌɪ̯	ˈi	0.224
ˈʌɪ̯	ˈɔː	0.177
ˈʌɪ̯	ˈa	0.091
θ	d	0.598
θ	t	0.402
