American English	Saterland Frisian	probability
b	b	1.0
d	d	0.893
d	-	0.056
d	t	0.047
f	f	0.89
f	x	0.102
h	h	1.0
i	ɪ	0.561
i	-	0.177
i	ə	0.177
j	j	1.0
k	k	1.0
kʰ	k	1.0
l	l	1.0
m	m	0.802
m	m_ə	0.197
n	n	1.0
oʊ̯	-	0.53
oʊ̯	j	0.269
oʊ̯	ɪ	0.053
p	p	1.0
pʰ	p	1.0
s	s	0.976
t	t	0.613
t	x_t	0.192
t	t_ə	0.186
tʰ	t	0.636
tʰ	t_v	0.234
tʰ	b	0.108
v	w	0.238
v	v	0.238
v	ɣ	0.207
v	-	0.136
v	b	0.077
w	v	0.879
w	w	0.046
w	-	0.044
w	j	0.043
z	z_ə	0.699
z	s	0.297
ð	d	1.0
ð_ɚ	r	1.0
ŋ	ŋ	0.891
ŋ	ɪ	0.102
ŋ_ɡ	ŋ	0.508
ə	ə	0.605
ə	ˈa	0.219
ə	-	0.147
ɚ	r	0.532
ɚ	ə_r	0.329
ɚ	r_ə	0.077
ɚ	ə	0.055
ɡ	ɣ	0.569
ɡ	-	0.259
ɡ	ɡ	0.149
ɪ	ə	1.0
ɫ	l	0.732
ɫ	ə_l	0.127
ɫ	l_ə	0.102
ɫ	ɫ	0.047
ɹ	r	0.79
ɹ	-	0.133
ɹ	d_ə	0.058
ɹ	r_j	0.034
ɾ	t_ə	1.0
ʃ	s_k	1.0
ʤ	x	0.66
ʤ	ɣ	0.17
ʧ	s	0.514
ʧ	k	0.474
ˈaɪ̯	ˈi	0.254
ˈaɪ̯	ˈiː	0.191
ˈaɪ̯	ˈɪ	0.092
ˈaɪ̯	j_ˈuː	0.081
ˈaɪ̯	ˈuː	0.073
ˈaʊ̯	ˈuː	0.83
ˈaʊ̯	ˈu	0.155
ˈeɪ̯	ˈɔː	0.296
ˈeɪ̯	ˈoː	0.244
ˈeɪ̯	ˈaːi̯	0.244
ˈeɪ̯	ˈɔ	0.071
ˈeɪ̯	ˈi	0.071
ˈi	ˈɛɪ̯	0.28
ˈi	ˈoː	0.242
ˈi	ˈi	0.122
ˈi	ˈeː	0.12
ˈi	ˈiː	0.088
ˈoʊ̯	ˈeː	0.443
ˈoʊ̯	ˈoː	0.213
ˈoʊ̯	ˈoːu̯	0.154
ˈoʊ̯	ˈɛ	0.077
ˈoʊ̯	ˈuː	0.077
ˈu	ˈoːu̯	0.585
ˈu	ˈɛɪ̯	0.249
ˈu	ˈoː	0.132
ˈæ	ˈoːu̯	0.345
ˈæ	ˈɛː	0.169
ˈæ	ˈɛ	0.128
ˈæ	ˈa	0.097
ˈæ	ˈaː	0.076
ˈɑ	ˈɔː	0.288
ˈɑ	ˈɔ	0.158
ˈɑ	ˈiː	0.158
ˈɑ	ˈaː	0.098
ˈɑ	ˈeː	0.091
ˈɔ	ˈoːu̯	0.376
ˈɔ	ˈɔː	0.136
ˈɔ	ˈoː	0.136
ˈɔ	ˈɛ	0.105
ˈɔ	ˈɔ	0.078
ˈɛ	ˈoː	0.286
ˈɛ	ˈeː	0.144
ˈɛ	ˈɪ	0.106
ˈɛ	ˈɔː	0.091
ˈɛ	ˈʊ	0.053
ˈɝ	ˈoːu̯	0.265
ˈɝ	ˈʊ	0.265
ˈɝ	ˈɛː	0.265
ˈɝ	ˈɛɪ̯	0.168
ˈɪ	ˈɪ	0.352
ˈɪ	ˈɛː	0.109
ˈɪ	ˈi	0.083
ˈɪ	j_ˈʊ	0.081
ˈɪ	ˈiː	0.072
ˈʊ	ˈoːu̯	0.525
ˈʊ	ˈʊ	0.457
ˈʌ	ˈuː	0.383
ˈʌ	ˈʊ	0.254
ˈʌ	ˈoːu̯	0.135
ˈʌ	ˈɔ	0.077
ˈʌ	ˈɛ	0.077
θ	t	0.638
θ	d	0.341
