English	Northern Low Saxon	probability
b	b	0.906
b	-	0.094
d	d	0.881
d	t	0.073
f	f	0.982
h	h	0.962
j	ʒ	0.437
j	ˈiː	0.297
j	ɡ	0.266
k	ɡ	0.782
k	k	0.218
kʰ	kʰ	0.83
kʰ	f	0.17
l	l	1.0
m	m	1.0
n	n	0.96
p	b	0.819
p	p	0.181
s	s	0.44
s	z	0.385
s	ʃ	0.175
t	d	0.587
t	t	0.182
t	x_d	0.094
t	ç	0.077
tʰ	tʰ	1.0
v	m	0.664
v	v	0.171
v	f	0.166
w	v	0.864
w	-	0.079
w	r	0.057
z	s	0.511
z	z	0.25
z	n	0.239
ð	l	0.478
ð	d	0.461
ð	n	0.06
ŋ	ŋ	0.905
ŋ	ɪ	0.095
ə	ɐ	0.907
ə	-	0.05
əʊ̯	-	0.569
əʊ̯	n	0.431
ɡ	ɡ	0.692
ɡ	-	0.308
ɪ	ɪ	0.455
ɪ	-	0.345
ɪ	i	0.125
ɪ	ˈœː	0.075
ɫ	l	0.799
ɫ	ɡ_l	0.139
ɫ	n	0.062
ɹ	r	0.922
ɹ	-	0.078
ʃ	ʃ	1.0
ʤ	ɡ	0.752
ʤ	ç	0.248
ʧ	kʰ	0.578
ʧ	ɡ	0.422
ˈaɪ̯	ˈiː	0.282
ˈaɪ̯	ˈɪ	0.228
ˈaɪ̯	ˈeː	0.096
ˈaɪ̯	ˈaʊ̯	0.079
ˈaɪ̯	ˈyː	0.076
ˈaɪ̯	ˈaɪ̯	0.074
ˈaɪ̯	ˈa	0.066
ˈaʊ̯	ˈuː	0.641
ˈaʊ̯	ˈʊ	0.159
ˈaʊ̯	ˈøː	0.118
ˈe	ˈeː	0.173
ˈe	ˈaʊ̯	0.136
ˈe	ˈaɪ̯	0.134
ˈe	ˈɛ	0.112
ˈe	ˈɪ	0.109
ˈe	ˈʏ	0.062
ˈe	ˈɔ	0.056
ˈeɪ̯	ˈoː	0.371
ˈeɪ̯	ˈɛ	0.219
ˈeɪ̯	ˈa	0.214
ˈeɪ̯	ˈeɪ̯	0.128
ˈeɪ̯	ˈaʊ̯	0.068
ˈiː	ˈɔʏ̯	0.211
ˈiː	ˈaɪ̯	0.192
ˈiː	ˈaʊ̯	0.176
ˈiː	ˈiː	0.149
ˈiː	ˈoː	0.119
ˈiː	ˈuː	0.079
ˈuː	ˈaʊ̯	0.493
ˈuː	-	0.177
ˈuː	ˈoː	0.165
ˈuː	ˈeː	0.127
ˈæ	ˈa	0.96
ˈɐ	ˈʊ	0.559
ˈɐ	ˈʏ	0.106
ˈɐ	ˈaʊ̯	0.101
ˈɐ	ˈɛɪ̯	0.098
ˈɐ	ˈøː	0.067
ˈɑː	ˈa	0.443
ˈɑː	ˈaː	0.325
ˈɑː	ˈoː	0.129
ˈɑː	ˈɛɪ̯	0.103
ˈɒ	ˈɔ	0.502
ˈɒ	ˈa	0.403
ˈɒ	ˈɪ	0.094
ˈɔː	ˈaʊ̯_ɐ	0.394
ˈɔː	ˈɔ	0.171
ˈɔː	ˈa	0.138
ˈɔː	ɐ	0.13
ˈɔː	ˈaː	0.126
ˈəʊ̯	ˈaɪ̯	0.381
ˈəʊ̯	ˈaʊ̯	0.193
ˈəʊ̯	ˈøː	0.15
ˈəʊ̯	ˈʊ	0.122
ˈəʊ̯	j	0.06
ˈəʊ̯	ˈeː	0.06
ˈɛ	ˈoː	1.0
ˈɜː	ɐ	0.409
ˈɜː	ˈɔː	0.391
ˈɜː	ˈaː	0.201
ˈɪ	ˈɪ	0.449
ˈɪ	ˈʏ	0.138
ˈɪ	ˈiː	0.081
ˈɪ	ˈɔʏ̯	0.064
ˈɪ	ˈø	0.064
ˈʊ	ˈaʊ̯	0.45
ˈʊ	ˈʊ	0.401
ˈʊ	ˈuː	0.149
θ	d	0.855
θ	-	0.145
