 	Labels	Cantonese	Fuzhounese	Gan	Hoisanese	Jin	Meixian	Middle Chinese	Min Bei	Old Chinese	Shanghainese	Sichuanese	Sixian	Standard Mandarin	Taiwanese Hokkien	Teochew	Xiang
 	Cantonese	0.00000	0.37981	0.33938	0.30951	0.39827	0.35515	0.39788	0.39561	0.47733	0.38892	0.37762	0.34780	0.38866	0.38630	0.39540	0.39915
 	Fuzhounese	0.37981	0.00000	0.38987	0.42749	0.45647	0.38727	0.39314	0.37644	0.46253	0.42776	0.42032	0.38213	0.40987	0.36315	0.35236	0.43119
 	Gan	0.33938	0.38987	0.00000	0.38412	0.35028	0.31127	0.38343	0.38704	0.49660	0.35757	0.32315	0.31603	0.32815	0.41445	0.42061	0.31704
 	Hoisanese	0.30951	0.42749	0.38412	0.00000	0.42867	0.37105	0.38355	0.45538	0.46899	0.43858	0.44686	0.37106	0.41287	0.45231	0.40420	0.43532
 	Jin	0.39827	0.45647	0.35028	0.42867	0.00000	0.37285	0.41963	0.44448	0.53847	0.35228	0.29491	0.38401	0.31023	0.44778	0.41552	0.34144
 	Meixian	0.35515	0.38727	0.31127	0.37105	0.37285	0.00000	0.38111	0.39781	0.44553	0.37358	0.34901	0.24737	0.37008	0.41583	0.39607	0.36169
 	Middle Chinese	0.39788	0.39314	0.38343	0.38355	0.41963	0.38111	0.00000	0.43403	0.40762	0.42064	0.42745	0.36771	0.39997	0.42434	0.41738	0.44812
 	Min Bei	0.39561	0.37644	0.38704	0.45538	0.44448	0.39781	0.43403	0.00000	0.47503	0.41493	0.37663	0.38412	0.38486	0.39816	0.38873	0.38215
 	Old Chinese	0.47733	0.46253	0.49660	0.46899	0.53847	0.44553	0.40762	0.47503	0.00000	0.50132	0.56118	0.47458	0.52230	0.51934	0.53367	0.55868
 	Shanghainese	0.38892	0.42776	0.35757	0.43858	0.35228	0.37358	0.42064	0.41493	0.50132	0.00000	0.38616	0.37316	0.38593	0.41729	0.42797	0.37723
 	Sichuanese	0.37762	0.42032	0.32315	0.44686	0.29491	0.34901	0.42745	0.37663	0.56118	0.38616	0.00000	0.36062	0.25798	0.45613	0.45556	0.28811
 	Sixian	0.34780	0.38213	0.31603	0.37106	0.38401	0.24737	0.36771	0.38412	0.47458	0.37316	0.36062	0.00000	0.37673	0.38286	0.38551	0.38230
 	Standard Mandarin	0.38866	0.40987	0.32815	0.41287	0.31023	0.37008	0.39997	0.38486	0.52230	0.38593	0.25798	0.37673	0.00000	0.43490	0.43198	0.29501
 	Taiwanese Hokkien	0.38630	0.36315	0.41445	0.45231	0.44778	0.41583	0.42434	0.39816	0.51934	0.41729	0.45613	0.38286	0.43490	0.00000	0.31992	0.44136
 	Teochew	0.39540	0.35236	0.42061	0.40420	0.41552	0.39607	0.41738	0.38873	0.53367	0.42797	0.45556	0.38551	0.43198	0.31992	0.00000	0.43526
 	Xiang	0.39915	0.43119	0.31704	0.43532	0.34144	0.36169	0.44812	0.38215	0.55868	0.37723	0.28811	0.38230	0.29501	0.44136	0.43526	0.00000
