Aragonese	Aragonese	probability
β_ɾ	w_ɾ	1.0
ˈu_ʎ	ˈu_l	1.0
ˈu_ɾ	ˈy	1.0
ˈo_n_#>	ˈu_#>	1.0
ˈi_n	ˈi	1.0
ˈe_ɾ	e	1.0
ˈe_ɣ	ˈɔ_k	1.0
ˈa_ɾ_#>	ˈa_#>	1.0
ˈa_n	ˈa	1.0
ˈa_j	ˈa	1.0
ˈa	ˈa	1.0
ʧ	ʤ	1.0
ʎ_o_#>	l_#>	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_o	w_ʀ	1.0
ɾ_n_o_#>	ʀ_#>	1.0
ɾ_a	ɾ_ɔ	1.0
ɾ_#>	#>	1.0
ɲ	ɲ	1.0
ɣ_w	ɣ	1.0
ɣ	ɣ	1.0
ŋ	ŋ	1.0
z	lː	1.0
w_#>	w_#>	1.0
t_o_#>	#>	1.0
t_o	ʧ	1.0
t_a	t_ɔ	1.0
t_#>	t_#>	1.0
s_a	s_a	1.0
s_#>	s_#>	1.0
r	ʀ	1.0
o_l	u_l	1.0
n_#>	#>	1.0
m_b	nː	1.0
l_ˈe	l	1.0
k_ɾ	k_ɾ	1.0
k_w	k	1.0
k	k	1.0
j_ˈe	ˈɛ	1.0
j_t	ʧ	1.0
f	f	1.0
e_ʝ	ˈe	1.0
e_n	e_n	1.0
e_#>	#>	1.0
b_ɾ_e_#>	#>	1.0
b	b	1.0
<#_θ	<#_s	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_ɥ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_o	<#_u	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
<#_a	<#_a	1.0
<#	<#_e	1.0
m	m	0.971
o_#>	#>	0.945
ˈi	ˈi	0.935
n	n	0.906
p	p	0.895
e	e	0.88
d	d	0.875
u	u	0.857
β	β	0.85
l	l	0.838
t	t	0.833
s	s	0.833
#>	e_#>	0.778
a	ɔ	0.776
ʝ	-	0.714
w_ˈe	ˈɔ	0.714
ˈu	ˈy	0.696
ʃ	s	0.667
ʎ	ʎ	0.643
ˈo	ˈu	0.594
ɡ	ɡ	0.571
w	ɥ	0.556
ɾ	ɾ	0.512
j	j	0.5
ð	ð	0.474
ˈe	ˈe	0.468
θ	ʦ	0.467
w	-	0.444
i	e	0.444
o	e	0.36
ʎ	l	0.357
ɾ	ʀ	0.349
θ	s	0.333
ʃ	j_s	0.333
i	i	0.333
o	u	0.32
ˈu	ˈu	0.304
j	ˈɛ	0.3
ˈe	ˈɛ	0.298
ʝ	ð	0.286
ɡ	k	0.286
w_ˈe	ˈu	0.286
i	-	0.222
#>	t_#>	0.222
ð	t	0.211
θ	z	0.2
o	w	0.2
a	a	0.197
t	w_t	0.167
s	z	0.167
l	-	0.162
β	-	0.15
ɡ	-	0.143
u	y	0.143
ˈe	j	0.128
ˈo	ˈɔ	0.125
ˈo	ˈa	0.125
d	-	0.125
o	-	0.12
e	-	0.12
ð	ʤ	0.105
ð	z	0.105
ð	-	0.105
j	i	0.1
j	-	0.1
ˈo	ˈa_w	0.094
n	-	0.094
ɾ	-	0.093
ˈi	-	0.065
ˈe	-	0.064
ˈo	ˈe_w	0.062
o_#>	i_#>	0.055
p	β	0.053
p	s	0.053
