Logudorese	Logudorese	probability
ˈɛ_ɾ	ˈe_ʁ	1.0
ˈɛ_n	ˈɛ̃	1.0
ˈɔ_n	ˈɔ̃	1.0
ˈɔ_j	ˈo	1.0
ˈu_β	ˈy	1.0
ˈi_ɛ	ˈi	1.0
ˈi_t	ˈɛː	1.0
ˈi_n	ˈĩ	1.0
ˈi_k	ˈɛ_t	1.0
ˈe_n	ˈɛ̃	1.0
ˈa_ð	ˈaː	1.0
ˈa_t	ˈa	1.0
ˈa_n	ˈɑ̃	1.0
ˈa_m	ˈɑ̃	1.0
ʦ	s	1.0
ʃ	-	1.0
ɾ_ɛ_#>	#>	1.0
ɾ_u	o	1.0
ɾ_t	ʁ	1.0
ɾ_a	ʁ_a	1.0
ɣ_ɛ	ʃ	1.0
ɣ_u	ˈa	1.0
ɣ	-	1.0
ɛ_ɾ	ð	1.0
ɖː	l	1.0
ɔ̆	-	1.0
ɔ_#>	#>	1.0
ɔ	-	1.0
ŋ	-	1.0
ð	-	1.0
ŭ	-	1.0
u_#>	#>	1.0
s_t	t	1.0
r_u	ʁ	1.0
r	ð	1.0
o	-	1.0
nː_u	ˈɑ̃	1.0
j	-	1.0
i_s	e	1.0
f_ɾ	f_l	1.0
f	f	1.0
ă	-	1.0
a_ɾ	a_ð	1.0
a_s	ɑː	1.0
a_n	ɑ̃	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈi	<#_ˈi	1.0
<#_ʣ	<#_ð	1.0
<#_ɾ	<#_ʁ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_b	<#	1.0
<#	<#_k	1.0
ɛ_#>	#>	0.947
l	l	0.889
p	p	0.875
z	-	0.818
m	m	0.8
s	s	0.769
ɾ_ɛ	ʁ	0.75
β	v	0.714
ʣ	ʎ	0.714
e	-	0.714
i	-	0.706
<#_ˈa	<#	0.667
ɾ	ʁ	0.653
a	a	0.639
d	d	0.615
ɡ	ɡ	0.571
t	t	0.538
n	n	0.484
ˈo	w	0.455
ˈa	ˈa	0.442
ɛ	ə	0.438
ɡ	-	0.429
b	v	0.425
t	-	0.423
k	k	0.415
u	o	0.391
k	ʃ	0.39
b	b	0.35
ˈe	ˈɛː	0.333
ˈe	ˈɛ	0.333
ˈe	ˈe	0.333
<#_ˈa	<#_ˈaː	0.333
β	-	0.286
ʣ	-	0.286
e	ʁ	0.286
ˈɛ	ˈe	0.278
ˈo	ˈoː	0.273
ˈo	-	0.273
ˈi	ˈɛː	0.267
ɾ_ɛ	ˈe	0.25
ɛ	-	0.25
ˈu	w	0.241
ˈi	ˈi	0.233
ˈi	ˈe	0.233
s	-	0.231
d	-	0.231
ˈɛ	ˈi	0.222
ˈɔ	-	0.222
u	-	0.217
ˈu	ˈu	0.207
m	-	0.2
a	ə	0.197
ɛ	o	0.188
ˈa	-	0.186
z	ʃ	0.182
i	i	0.176
ˈu	ˈo	0.172
ˈɛ	ˈɛː	0.167
ˈɛ	ˈɛ	0.167
ˈɛ	j_ˈe	0.167
ˈi	ˈɛ	0.167
ˈa	ˈe	0.163
d	ʒ	0.154
ˈɔ	ˈɔ	0.148
ˈɔ	ˈoː	0.148
ˈɔ	w_ˈe	0.148
k	s	0.146
u	ə	0.13
n	ˈɔ̃	0.129
n	-	0.129
p	-	0.125
i	ɛ	0.118
a	-	0.115
ˈɔ	ˈø	0.111
ˈɔ	ˈu	0.111
ˈɔ	w	0.111
l	-	0.111
ˈu	ˈø	0.103
ˈu	j	0.103
ˈu	-	0.103
ɾ	ð	0.102
ɾ	l	0.102
ˈi	-	0.1
n	ˈɛ̃	0.097
n	ɲ	0.097
ˈa	ˈaː	0.093
u	ʎ	0.087
u	ʁ	0.087
u	l	0.087
b	ɡ	0.075
b	ð	0.075
b	-	0.075
ˈa	j	0.07
ˈu	ˈoː	0.069
n	ˈĩ	0.065
ɛ	ˈe	0.062
ɛ	ˈa	0.062
ɾ	j	0.061
ɛ_#>	f_#>	0.053
