Portuguese	Portuguese	probability
ˈɨ	ˈe	1.0
ˈɐ_j	ˈe	1.0
ˈũ	ˈu_n	1.0
ˈo_ð	ˈu_tː	1.0
ˈo_w	ˈɔ	1.0
ˈi_ɾ	ˈi_r	1.0
ˈi_ɲ	ˈi_n	1.0
ˈi_ɣ	ˈi_k	1.0
ˈe_w	ˈi_o	1.0
ˈa_ð	ˈa	1.0
ʃ_#>	#>	1.0
ɾ_ɐ	r_a	1.0
ɾ_t	r_t	1.0
ɾ_n	r_n	1.0
ɾ_k	r_k	1.0
ɣ_ɐ	ɡ_a	1.0
ɡ	ɡ	1.0
ɐ_β	a_p	1.0
v_ˈa	v_ˈa	1.0
v_ɐ	b_a	1.0
ũ	o_m	1.0
u_ʃ	i	1.0
u_ɾ	r	1.0
t_ɨ	t_e	1.0
s_u	ʦː_o	1.0
p	p	1.0
õ	o_n	1.0
k_ɾ	k_r	1.0
k_ɐ	kː_a	1.0
j_β	pː	1.0
j_ʃ	sː	1.0
j_ɐ	n_a	1.0
j_t	tː	1.0
j_#>	e_#>	1.0
ĩ	-	1.0
i_ʃ	s	1.0
i	i	1.0
ẽ	e	1.0
d	d	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_p_j	1.0
<#_ɔ	<#_o	1.0
<#_ɐ	<#_a	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#	1.0
<#	<#_a	1.0
f	f	0.957
ˈa	ˈa	0.952
k	k	0.95
m	m	0.946
u	o	0.923
ɾ	r	0.893
v	v	0.879
ʒ	ʤ	0.875
ɐ	a	0.827
t	t	0.808
ˈɛ	ˈɛ	0.8
ð	t	0.8
<#_ʁ	<#_r	0.778
ˈi	ˈi	0.773
ˈẽ	ˈɛ_n	0.75
z	-	0.75
b	b	0.733
ˈu	ˈu	0.727
#>	e_#>	0.722
l	lː	0.706
ˈõ	ˈo_n	0.667
ɲ	ɲː	0.667
ˈe	ˈe	0.645
w	w	0.625
ɫ	l	0.6
s	s	0.588
ɨ	e	0.571
n	nː	0.571
j̃	e	0.571
ʎ	ʎː	0.545
w̃	n_o	0.545
ˈo	ˈɔ	0.5
ˈĩ	ˈi_ŋ	0.5
ˈĩ	ˈe_n	0.5
ʁ	rː	0.5
ʁ	r	0.5
ɐ̃	o	0.5
ɐ̃	a_n	0.5
ˈɐ̃	ˈa	0.455
ˈɐ	ˈa	0.455
w̃	n_e	0.455
β	p	0.444
n	n	0.429
j̃	-	0.429
ˈɔ	ˈɔ	0.417
ˈɔ	ˈo	0.417
ˈo	ˈo	0.417
ɣ	ɡ	0.417
ɣ	k	0.417
ɫ	l_e	0.4
w	l	0.375
j	j	0.357
β	-	0.333
ˈõ	ˈɔ_n	0.333
ˈɐ̃	ˈa_n	0.318
ˈɐ	ˈɛ	0.318
ʎ	j	0.273
b	b_w	0.267
ˈẽ	n	0.25
ʃ	ʧ_e	0.25
z	z	0.25
s	ʧ	0.235
ˈɐ	ˈe	0.227
ˈi	-	0.227
β	p_e	0.222
<#_ʁ	<#	0.222
j	kː	0.214
j	-	0.214
ˈɛ	j_ˈɛ	0.2
ð	d	0.2
t	tː	0.192
ɨ	i	0.184
ʎ	kː_j	0.182
ʃ	s	0.179
ʃ	j	0.179
l	l	0.176
ˈɔ	w_ˈɔ	0.167
ɲ	n	0.167
ɲ	-	0.167
ɣ	-	0.167
#>	o_#>	0.167
ɨ	-	0.163
ˈe	e	0.161
j	e	0.143
ˈɐ̃	ˈo	0.136
ˈu	ˈɔ	0.136
ˈu	ˈo	0.136
ˈe	ˈi	0.129
ʒ	j	0.125
l	-	0.118
ʃ	ʃː	0.107
ˈɐ̃	ˈa_ŋ	0.091
ˈo	ˈu	0.083
ɨ	o	0.082
#>	a_#>	0.074
ʃ	sː	0.071
ʃ	k_j	0.071
ʃ	i	0.071
ʃ	e	0.071
j	ʣː	0.071
ɐ	-	0.067
ˈe	-	0.065
v	b_e	0.061
v	-	0.061
s	ʧː	0.059
s	sː	0.059
s	-	0.059
m	mː	0.054
