Ladin	Ladin	probability
ˈɛ_f	ˈɔ_v	1.0
ˈu	ˈu	1.0
ˈo_s	ˈo_j	1.0
ˈi_#>	ˈi_r_e_#>	1.0
ʨ_ˈɛ	k_ˈa	1.0
ʧ	ʧː	1.0
ʤ	ʤː	1.0
ʒ_ɡ	v	1.0
ʃ_#>	ʧ_i_#>	1.0
ɲ	ɲː	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ˈɛ	ˈɔ	1.0
w_ʃ	ʧ	1.0
w_r	p_r	1.0
u	u	1.0
t_a	t_a	1.0
s_e	s_e	1.0
r_t	r_t	1.0
r_a	r_a	1.0
p_#>	p_o_#>	1.0
o_l	o_l	1.0
o	o	1.0
k_l	k_j	1.0
j_ˈɛ	ˈɛ	1.0
j_t	dː	1.0
j_a	a	1.0
i	i	1.0
e_r	r_o	1.0
d_a	d_a	1.0
<#_ˈɛ	<#_ˈa	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_ʧ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
a	a	0.944
n	n	0.943
m	m	0.935
s	s	0.933
p	p	0.933
ˈa	ˈa	0.921
ˈi	ˈi	0.92
k	k	0.9
ˈe_#>	ˈa_r_e_#>	0.857
r	r	0.846
l_#>	lː_o_#>	0.818
ˈo	ˈo	0.815
f	f	0.815
v	v	0.769
b	b	0.765
ˈɔ	ˈɔ	0.762
ʒ	ʤ	0.733
ˈe_j	ˈe	0.692
ɡ	ɡ	0.692
ʃ	s	0.667
ˈɛ	ˈɛ	0.647
ˈe	ˈe	0.63
s_#>	sː_o_#>	0.625
r_#>	r_o_#>	0.615
t	t	0.594
ʨ	k	0.545
n_#>	n_o_#>	0.524
ʥ	ʤ	0.5
ʥ	-	0.5
#>	o_#>	0.489
l	j	0.457
e	e	0.455
#>	e_#>	0.435
d	t	0.429
t	tː	0.406
r_#>	e_#>	0.385
n_#>	n_e_#>	0.381
s_#>	#>	0.375
l	l	0.371
w	w	0.333
ˈe_j	ˈe_r	0.308
j	ʎː	0.294
j	j	0.294
ʦ	ʧ	0.286
ʦ	ʦː	0.286
ʦ	ʦ	0.286
w	ˈɔ	0.267
e	i	0.242
d	kː	0.238
b	b_w	0.235
ʨ	ʧ	0.227
ʃ	ʃː	0.2
w	r	0.2
w	l	0.2
d	d	0.19
ˈo	ˈu	0.185
ˈe	-	0.185
l_#>	#>	0.182
e	e_r	0.182
j	ˈi	0.176
l	lː	0.171
ɡ	k	0.154
ɡ	-	0.154
v	p	0.154
ˈɔ	ˈo	0.143
ˈe_#>	#>	0.143
ʦ	ʣː	0.143
d	-	0.143
ˈɛ	ˈa	0.137
ʨ	kː	0.136
ʒ	ʧ	0.133
ʒ	-	0.133
ʃ	ʧ	0.133
j	ˈɛ	0.118
j	d	0.118
ˈe	ˈɛ	0.111
f	v_e	0.111
k	ɡ_o	0.1
ˈɔ	-	0.095
n_#>	#>	0.095
ʨ	-	0.091
ˈi	ˈe	0.08
ˈa	w_ˈa	0.079
ˈɛ	ˈɔ	0.078
v	-	0.077
ˈe	ˈa	0.074
f	p_o	0.074
s	z	0.067
p	p_j	0.067
m	mː	0.065
e	r	0.061
e	o	0.061
ˈɛ	o	0.059
n	-	0.057
a	-	0.056
r	rː	0.051
r	r_a	0.051
r	-	0.051
