Elfdalian	Saterland Frisian	probability
ˈʏ	ˈɛː	1.0
ˈʉːə̯_r	r	1.0
ˈɪ̃ː	ˈi	1.0
ˈɛ_ɡː	ˈɔːɪ̯	1.0
ˈɔ̃ː	-	1.0
ˈɔ	-	1.0
ˈɑː_ɣ	ˈaːi̯	1.0
ˈɑ_n	ˈoːu̯_n	1.0
ˈœ	ˈiː	1.0
ˈæː	-	1.0
ˈyːœ̯	ˈɛɪ̯	1.0
ˈyœ̯	-	1.0
ʨː	t	1.0
ʥː	x	1.0
ʥ_ˈæ	ˈeːu̯	1.0
ʏ	-	1.0
ɽ	l	1.0
ɪ	-	1.0
ɡː	-	1.0
ɡ	-	1.0
ɛ_ɽ	l	1.0
ɔ̃	i	1.0
ɔ	ə	1.0
ɑ̃	ˈɛɪ̯_t	1.0
w	v	1.0
tʰ	d	1.0
t	t	1.0
s_j	s	1.0
rː	ˈuː_x	1.0
r_d	ˈoːu̯_d	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l̥	s_l	1.0
lː	l	1.0
l	l	1.0
j_ˈʉːə̯	ˈyː	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a	ə	1.0
s	s	0.911
ð	d	0.898
ɛ	ə	0.891
ɑ	ə	0.855
v	-	0.851
r	r	0.83
ˈɑːi̯	ˈi	0.792
k	k	0.791
nː	n	0.733
ʨ	k	0.727
ˈo	-	0.696
ŋ	ŋ	0.684
ˈiːe̯	ˈeː	0.683
ˈæ	-	0.669
ˈʏː	j_ˈuː	0.667
ˈoː	-	0.667
ɣ	ɣ	0.658
ˈœː	ˈoː	0.65
ˈʉə̯	-	0.64
tː	t	0.635
ˈɑː	ˈɔː	0.615
ˈɪ	ˈɪ	0.595
ˈɑːu̯	ˈuː	0.59
ʉ	ə	0.582
kː	k	0.581
ˈɪː	ˈi	0.555
ˈʉ	ˈʊ	0.547
ˈʉː	ˈuː	0.507
ˈɛː	ˈoː	0.5
ˈɛː	-	0.5
ˈʉːə̯	ˈoː	0.457
ˈɔː	-	0.454
j	j	0.438
kː	ŋ_k	0.419
ʉ	-	0.418
ˈɑː	-	0.385
tː	x_t	0.365
ˈʉə̯	v	0.36
ˈɑ	-	0.35
ˈœː	ˈeː	0.35
ˈʉː	-	0.345
ɣ	-	0.342
ˈɔː	ˈiː	0.339
ˈɑːu̯	-	0.335
ˈɑ	ˈoː	0.335
ˈʏː	ˈiːu̯	0.333
ˈoː	ˈoː	0.333
ˈæ	ˈaː	0.331
ˈiːe̯	-	0.317
ˈʉːə̯	ˈoːu̯	0.316
ŋ	-	0.316
ˈo	ˈɔː	0.304
ˈɪ	ˈiː	0.294
ʨ	-	0.273
ˈɪː	ˈiː	0.272
nː	r	0.267
ˈɛ	ˈa	0.259
ˈʉ	-	0.244
j	-	0.229
k	x	0.209
ˈɑːi̯	ˈiː	0.208
ˈɔː	ˈoː	0.207
ˈɛ	ˈɔː	0.201
ˈɑ	ˈɔ	0.18
j	ˈɛ	0.179
ˈɪː	j	0.173
ˈʉːə̯	-	0.167
j	h	0.154
ˈɛ	ˈeː	0.153
v	x	0.149
ˈʉː	ˈœː	0.148
ˈʉ	ˈoːu̯	0.146
ˈɛ	ˈɛ	0.144
ˈɛ	-	0.144
ˈɑ	ˈa	0.135
ɑ	j_ə	0.114
ˈɪ	-	0.111
ɛ	-	0.109
ð	-	0.102
ˈɛ	ˈʊ	0.1
r	ˈɛɪ̯	0.098
ˈɑːu̯	ˈøː	0.075
r	-	0.072
ˈʉ	ˈu	0.063
ˈʉːə̯	j_ˈoː	0.06
s	s_v	0.057
