Dutch	Dutch	probability
χ_#>	#>	1.0
ˈɑu̯	ˈo_l	1.0
ˈɑ_ɫ	ˈɔː	1.0
ˈɑ_d̥	ˈɑː_ð	1.0
ˈøː	ˈɛː_v	1.0
ˈyː	ˈʏː	1.0
ˈoː_χ	rː	1.0
ʋ_ˈɔ	ˈʉ	1.0
ɪ	ʉ	1.0
ɦ_ˈoː	ˈoː	1.0
ə_ɾ	r	1.0
ə_ɫ	ɛ_ɽ	1.0
ə_n	ɑ	1.0
ŋ_k	kː	1.0
ŋ	ŋ_ɡ	1.0
z̥_#>	s_#>	1.0
z	s	1.0
w	-	1.0
v̥	v	1.0
s_ɫ	l̥	1.0
n_z̥	sː	1.0
n_d̥_#>	nː_#>	1.0
n_#>	#>	1.0
m	m	1.0
k_n	kʰ_n	1.0
i	ɔ̃	1.0
d̥	ð	1.0
d_ə	ɑ	1.0
b	b	1.0
<#_χ	<#_ɡ	1.0
<#_ˈɑ	<#_ˈɔ	1.0
<#_ʋ	<#	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
s	s	0.917
ʋ	w	0.913
ɾ	r	0.895
<#_ɦ	<#	0.867
d̥_#>	d_#>	0.8
ˈœy̯	ˈɑːu̯	0.778
ɫ	ɽ	0.771
v	f	0.75
t	t	0.744
ˈɪ	ˈɪ	0.727
ˈu	ˈʉːə̯	0.692
n	n	0.684
χ_t	tː	0.667
p	p	0.667
ˈʏ	ˈʏ	0.571
d	d	0.514
ˈɑ	ˈɑ	0.5
ˈoː_ɾ	ˈʉə̯	0.5
ˈoː_ɾ	r	0.5
ˈi	j_ˈʉːə̯	0.5
ˈɔ	ˈʉ	0.471
#>	ʉ_#>	0.444
k	k	0.435
ˈʏ	ˈʉ	0.429
ˈoː	ˈœː	0.429
χ	ɣ	0.424
ə	ɛ	0.419
ˈɛi̯	ˈɑːi̯	0.4
ˈɛ	ˈɛ	0.4
ˈeː	-	0.391
ˈaː	-	0.35
k	kʰ	0.348
χ_t	k_t	0.333
ˈɛi̯	ˈɪː	0.333
#>	k_#>	0.333
d	tʰ	0.314
ˈu	ˈyːœ̯	0.308
ˈɛ	j	0.3
ˈɔ	-	0.294
ə	-	0.258
ˈaː	ˈɔː	0.25
ˈaː	ˈɑː	0.25
ˈɔ	ˈʉə̯	0.235
ˈɑ	-	0.227
ə	ɔ	0.226
ˈœy̯	-	0.222
#>	s_#>	0.222
ˈeː	ˈiːe̯	0.217
ˈɛi̯	ˈiːe̯	0.2
ˈɛ	-	0.2
d̥_#>	#>	0.2
n	nː	0.184
ˈɑ	ˈɑː	0.182
ˈeː	j	0.174
ˈi	-	0.167
p	pʰ	0.167
p	-	0.167
χ	ʨ	0.152
ˈaː	ˈɑ	0.15
ˈoː	ˈʉː	0.143
ˈoː	-	0.143
ˈɪ	j	0.136
<#_ɦ	<#_j	0.133
ˈeː	ˈɛ	0.13
k	ʨ	0.13
t	tː	0.128
t	-	0.128
v	v	0.125
v	-	0.125
χ	ɡː	0.121
χ	-	0.121
ɫ	lː	0.114
d	ð	0.114
ˈi	ˈʉːə̯	0.111
ˈi	ˈɪː	0.111
ˈi	j	0.111
ˈɛ	ˈyœ̯	0.1
ˈoː	ˈʉ	0.095
ˈoː	ˈæː	0.095
ˈoː	ˈoː	0.095
χ	ʥ	0.091
ˈɪ	-	0.091
ˈɑ	ˈæ	0.091
ˈeː	ð_ɛ	0.087
ʋ	-	0.087
k	kː	0.087
s	s_ʨ	0.083
n	-	0.079
ɾ	-	0.07
ˈɛi̯	ˈɪ̃ː	0.067
χ	k	0.061
ɫ	ˈʉːə̯	0.057
ɫ	l	0.057
d	-	0.057
n	ˈʉː	0.053
