American English	Danish	probability
b	b̥	0.979
d	ð̞ˠ	0.499
d	d̥	0.312
d	-	0.124
d	ə_ð̞ˠ	0.052
f	f	0.728
f	lˀ	0.12
f	-	0.083
f	w	0.069
h	h	0.899
h	j	0.101
i	i	0.332
i	e	0.287
i	-	0.213
i	ɐ	0.167
j	-	0.43
j	ɡ̊	0.321
j	ˈɔˀ	0.178
j	ˈi	0.071
k	j	0.433
k	-	0.302
k	k	0.165
k	w	0.099
kʰ	kʰ	1.0
l	l	0.931
l	ˈɒː	0.069
m	m	0.825
m	wˀ	0.081
m	mˀ	0.077
n	n	0.689
n	nˀ	0.234
oʊ̯	w	0.395
oʊ̯	ə	0.395
oʊ̯	-	0.211
p	b̥	0.875
p	p	0.125
pʰ	pʰ	1.0
s	s	1.0
t	t	0.82
t	-	0.136
tʰ	ʦʰ	1.0
tː	t	1.0
v	w	0.669
v	mˀ	0.142
v	-	0.077
v	ʋ	0.063
w	ʋ	0.664
w	-	0.225
w	ˈo	0.084
z	s	1.0
ð	n	0.589
ð	-	0.272
ð	d̥	0.139
ŋ	ŋˀ	0.688
ŋ	ŋ	0.312
ə	jˀ	0.337
ə	m	0.328
ə	ə	0.209
ə	ˈɛ	0.068
ə	-	0.059
ɚ	ɐ	0.867
ɚ	ə	0.065
ɡ	ɡ̊	0.921
ɡ	-	0.079
ɪ	e	0.822
ɪ	ə	0.178
ɫ	l	0.555
ɫ	lˀ	0.445
ɹ	ʁ	0.62
ɹ	ɐˀ	0.204
ɹ	ɐ	0.097
ɹ	-	0.08
ɾ	nˀ	0.441
ɾ	t	0.441
ɾ	ð̞ˠ	0.118
ʃ	k	0.963
ʔ	ð̞ˠ	0.707
ʔ	t	0.263
ʤ	ɡ̊	1.0
ʧ	kʰ	0.488
ʧ	k	0.257
ʧ	-	0.255
ˈaɪ̯	ˈiˀ	0.279
ˈaɪ̯	ˈe	0.243
ˈaɪ̯	ˈi	0.109
ˈaɪ̯	ˈuˀ	0.075
ˈaɪ̯	ˈuː	0.065
ˈaɪ̯	ˈyː	0.062
ˈaʊ̯	ˈuˀ	0.566
ˈaʊ̯	ˈoˀ	0.134
ˈaʊ̯	ˈu	0.108
ˈaʊ̯	ˈɒˀ	0.102
ˈeɪ̯	ˈɑ	0.339
ˈeɪ̯	ˈa	0.256
ˈeɪ̯	ˈiː	0.071
ˈeɪ̯	ˈæː	0.058
ˈeɪ̯	ˈɛˀ	0.054
ˈeɪ̯	ˈaː	0.051
ˈeɪ̯	ˈoː	0.051
ˈi	ˈœˀ	0.149
ˈi	ˈøː	0.113
ˈi	ˈyˀ	0.102
ˈi	ˈeˀ	0.098
ˈi	ˈœ	0.096
ˈi	j	0.067
ˈoʊ̯	ˈeˀ	0.354
ˈoʊ̯	ˈɔˀ	0.195
ˈoʊ̯	ˈɛˀ	0.085
ˈoʊ̯	ˈu	0.069
ˈoʊ̯	ˈɛː	0.069
ˈoʊ̯	ˈɑˀ	0.054
ˈoʊ̯	ˈɑ	0.05
ˈu	ˈɔˀ	0.264
ˈu	ˈoˀ	0.23
ˈu	ˈɔː	0.126
ˈu	ˈʌ	0.121
ˈu	ˈyː	0.093
ˈu	ˈyˀ	0.066
ˈu	ˈœ	0.063
ˈæ	ˈa	0.357
ˈæ	ˈɛ	0.27
ˈæ	ˈɑ	0.098
ˈæ	ˈʌ	0.098
ˈæ	ˈɛː	0.057
ˈɑ	ˈa	0.247
ˈɑ	ˈɛ	0.233
ˈɑ	ˈɑˀ	0.167
ˈɑ	ˈæ	0.115
ˈɑ	ˈɑ	0.069
ˈɔ	ˈo	0.25
ˈɔ	ʋ	0.1
ˈɔ	ˈiː	0.1
ˈɔ	ˈœ	0.1
ˈɔ	ˈɑˀ	0.1
ˈɔ	ˈɒː	0.1
ˈɔ	ˈɔˀ	0.1
ˈɔ	ˈæ	0.075
ˈɔ	ˈoˀ	0.072
ˈɛ	ˈɛ	0.136
ˈɛ	ˈœˀ	0.111
ˈɛ	ˈe	0.11
ˈɛ	ˈiˀ	0.081
ˈɛ	ˈeˀ	0.065
ˈɛ	-	0.061
ˈɛ	ˈɑ	0.058
ˈɛ	ˈœː	0.058
ˈɝ	ɐˀ	0.432
ˈɝ	ɐ	0.352
ˈɝ	ˈi	0.175
ˈɪ	ˈe	0.378
ˈɪ	ˈœ	0.147
ˈɪ	ˈø	0.143
ˈɪ	ˈiˀ	0.078
ˈɪ	ˈy	0.063
ˈɪ	ˈeˀ	0.051
ˈʊ	ˈoˀ	0.9
ˈʊ	ˈu	0.1
ˈʌ	ˈɔ	0.3
ˈʌ	ˈʌ	0.216
ˈʌ	ˈœ	0.091
ˈʌ	ˈɒ	0.084
ˈʌ	ˈɔː	0.059
ˈʌ	-	0.057
ˈʌ	ˈa	0.057
ˈʌɪ̯	ˈɛ	0.255
ˈʌɪ̯	ˈa	0.193
ˈʌɪ̯	ˈyˀ	0.193
ˈʌɪ̯	ˈiː	0.124
ˈʌɪ̯	ˈe	0.124
ˈʌɪ̯	ˈiˀ	0.112
θ	ʦʰ	0.696
θ	ð̞ˠ	0.12
θ	nˀ	0.098
θ	-	0.071
