Aragonese	Aragonese	probability
ˈu_j	ˈɔ	1.0
ˈe_w	v_e	1.0
ˈe_r	rː	1.0
ˈe_p	pː	1.0
ˈe_n	n_t	1.0
ˈa_t_ɾ_o_s	ˈo_j	1.0
ʧ	ʤ	1.0
ɾ_ˈe	r_ˈe	1.0
ɾ_o	r_o	1.0
ɾ_n	r_n	1.0
ŋ	ŋ	1.0
z	z_o	1.0
w_ˈa	w_ˈa	1.0
s_o	s_o	1.0
s_a	s_a	1.0
s_#>	#>	1.0
p_ˈe	p_ˈe	1.0
p_l	p_j	1.0
p	p	1.0
o_s	i	1.0
o	o	1.0
n_#>	n_e_#>	1.0
n	n	1.0
m_b	m_e	1.0
l_ˈa	j_ˈa	1.0
l_o	l_o	1.0
k_ɾ	k_r	1.0
j_ˈe	ˈɛ	1.0
e_ɣ	i_k	1.0
d	d	1.0
b_ɾ	e	1.0
b_e	v_i	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
k	k	0.958
f	f	0.958
ˈa	ˈa	0.952
m	m	0.941
a	a	0.922
ˈi	ˈi	0.892
#>	e_#>	0.852
w_ˈe	ˈɔ	0.85
ɾ	r	0.824
θ	ʧ	0.792
s	s	0.791
ɲ	ɲː	0.778
ˈo	ˈo	0.733
t	t	0.733
ˈu	ˈu	0.714
l_#>	l_e_#>	0.714
ʃ	ʃː	0.667
w	w	0.667
j_t	tː	0.667
<#_a	<#_a	0.667
ð	t	0.6
e_n	e_n	0.6
b	v	0.6
<#	<#_l	0.6
ɣ	ɡ	0.583
u	-	0.571
l	l	0.565
ʝ	-	0.5
e_#>	o_#>	0.5
e_#>	#>	0.5
i	i	0.455
e	e	0.447
ɡ	ɡ	0.429
u	o	0.429
e_n	e	0.4
b	b	0.4
<#	<#_ˈa	0.4
β	v	0.375
e	-	0.342
β	p	0.333
ˈe	ˈe	0.333
ʝ	t	0.333
ʎ	lː	0.333
ʃ	sː	0.333
j_t	l_t	0.333
<#_a	<#	0.333
j	j	0.318
ˈe	ˈɛ	0.296
ʎ	ʎː	0.292
ɡ	ɡ_w	0.286
ɡ	k	0.286
l_#>	#>	0.286
j	-	0.273
i	e	0.273
i	-	0.273
ˈo	ˈɔ	0.267
ɣ	k	0.25
ð	d	0.25
ɲ	nː	0.222
θ	-	0.208
ʎ	kː_j	0.208
w	-	0.2
t	tː	0.2
ˈu	ˈo	0.179
l	lː	0.174
l	j	0.174
ˈe	ˈɔ	0.167
ʝ	ʣː	0.167
ɣ	-	0.167
w_ˈe	ˈo	0.15
j	ˈɛ	0.136
w	ˈɔ	0.133
e	i	0.132
β	-	0.125
#>	o_#>	0.115
ˈe	e	0.111
ɾ	e	0.108
ˈu	ˈɔ	0.107
ð	j	0.1
s	-	0.093
j	ˈe	0.091
j	tː_e	0.091
j	d_r	0.091
l	-	0.087
β	r	0.083
β	b	0.083
ʎ	o	0.083
ʎ	-	0.083
e	a	0.079
a	-	0.078
s	z	0.07
t	-	0.067
m	mː	0.059
ˈe	r	0.056
ˈi	e	0.054
ˈi	-	0.054
