Proto-Germanic	English	probability
a	-	1.0
b	b	0.983
d	d	1.0
e	ə	0.916
e	ˈiː	0.084
i	-	0.876
i	ə	0.065
iː	ɪ	0.68
iː	-	0.32
j	-	0.862
j	j	0.07
jː	ɡ	1.0
k	-	0.406
k	k	0.293
k	ʧ	0.201
k	kʰ	0.101
kʷ	kʰ	0.815
kʷ	k	0.185
kː	ʧ	0.672
kː	k	0.328
l	l	0.538
l	ɫ	0.383
l	-	0.079
lː	ɫ	1.0
m	m	0.923
m	-	0.063
mː	m	1.0
n	n	0.567
n	-	0.417
nː	n	1.0
p	p	0.96
pː	p	1.0
r	ɹ	0.438
r	-	0.343
r	ə	0.219
s	s	0.782
s	ʃ	0.153
sː	s	1.0
t	t	0.864
t	tʰ	0.13
tː	t	1.0
u	-	0.908
u	ə	0.069
w	w	0.647
w	-	0.329
wː	ˈuː	0.569
wː	ˈaʊ̯	0.431
x	h	0.634
x	-	0.222
x	k	0.066
xʷ	w	0.56
xʷ	k	0.251
xʷ	-	0.189
z	-	1.0
ð	d	0.713
ð	ð	0.187
ð	-	0.1
ŋ	ŋ	0.861
ŋ	n	0.084
ŋ	-	0.055
ɑ	-	0.963
ɑi̯	ˈe	1.0
ɑː	-	0.672
ɑː	əʊ̯	0.328
ɑ̃	ɪ	0.479
ɑ̃	-	0.279
ɑ̃	ə	0.243
ɔː	-	0.73
ɔː	ə	0.27
ɔːu̯	-	1.0
ɔːː	ə	1.0
ɔ̃ː	-	1.0
ɛː	ə	1.0
ɡ	-	0.757
ɡ	ɡ	0.243
ɡʷ	-	1.0
ɣ	-	0.439
ɣ	ɡ	0.296
ɣ	ʤ	0.17
ɣ	j	0.064
ɸ	f	0.946
ˈe	ˈiː	0.171
ˈe	ˈɔː	0.136
ˈe	ˈe	0.122
ˈe	ˈɪ	0.107
ˈe	ˈɑː	0.093
ˈe	ˈaɪ̯	0.09
ˈe	ˈɛ	0.09
ˈeu̯	ˈaɪ̯	0.327
ˈeu̯	ˈiː	0.308
ˈeu̯	ˈɪ	0.192
ˈeu̯	ˈe	0.086
ˈeu̯	ˈuː	0.086
ˈeː	ˈɪ	1.0
ˈi	ˈɪ	0.56
ˈi	ˈaɪ̯	0.211
ˈi	ˈiː	0.12
ˈi	ˈe	0.06
ˈiu̯	ˈɪ	0.695
ˈiu̯	j	0.305
ˈiː	ˈaɪ̯	0.794
ˈiː	ˈiː	0.16
ˈĩː	ˈaɪ̯	1.0
ˈu	ˈɐ	0.432
ˈu	ˈɔː	0.166
ˈu	ˈɪ	0.111
ˈu	ˈɜː	0.086
ˈu	ˈaʊ̯	0.058
ˈuː	ˈaʊ̯	0.608
ˈuː	ˈaɪ̯	0.153
ˈuː	ˈuː	0.142
ˈuː	ˈɐ	0.097
ˈɑ	ˈæ	0.221
ˈɑ	ˈeɪ̯	0.151
ˈɑ	ˈɑː	0.151
ˈɑ	ˈe	0.118
ˈɑ	ˈuː	0.072
ˈɑ	ˈɔː	0.068
ˈɑi̯	ˈəʊ̯	0.734
ˈɑi̯	-	0.096
ˈɑi̯	ˈe	0.077
ˈɑu̯	ˈiː	0.569
ˈɑu̯	ˈe	0.179
ˈɑu̯	ˈɪ	0.109
ˈɑu̯	ˈaɪ̯	0.08
ˈɑu̯	ˈeɪ̯	0.063
ˈɑː	ˈəʊ̯	1.0
ˈɔ	ˈiː	1.0
ˈɔː	ˈiː	0.354
ˈɔː	ˈuː	0.26
ˈɔː	ˈʊ	0.171
ˈɔː	ˈɐ	0.161
ˈɔː	ˈaɪ̯	0.054
ˈɛː	ˈɐ	0.275
ˈɛː	ˈiː	0.193
ˈɛː	ˈɪ	0.161
ˈɛː	ˈɛ	0.16
ˈɛː	ˈe	0.155
ˈɛː	ˈuː	0.056
β	v	0.664
β	f	0.312
θ	θ	0.639
θ	d	0.229
θ	ð	0.132
