Proto-Germanic	English	probability
a	-	0.489
b	b	0.934
b	-	0.055
b	tʰ	0.032
d	d	1.0
d_ɑ	d	1.0
e	ə	0.489
i	-	0.727
i	ə	0.107
i	əʊ̯	0.056
i	ˈiː	0.056
i	ɪ	0.048
i_r	ə	0.489
i_ð	ə	0.489
iː	ɪ	0.561
iː	-	0.425
j	-	0.875
j	j	0.113
j_ɑ	ˈuː	0.239
jː	ɡ	0.489
k	kʰ	0.333
k	k	0.287
k	ʧ	0.208
k	-	0.087
k	h	0.058
k_s	k	1.0
kʷ	k	0.323
kʷ	kʰ	0.158
kː	k	0.489
l	l	0.5
l	ɫ	0.344
l	-	0.15
l_i	ɫ	1.0
l_u	ɫ	0.342
l_u	l	0.298
l_ɑ	ɫ	1.0
l_ɔː	ɫ	1.0
l_ɣ	l	1.0
lː	ɫ	0.683
lː	ˈʊ	0.22
m	m	0.86
m	n	0.077
m	-	0.059
m_i	m	1.0
m_ɑ	m	1.0
m_ɔːː	m	1.0
mː	m	0.239
n	n	0.538
n	-	0.451
n_x	ŋ	1.0
nː	n	1.0
p	p	1.0
pː	d	0.489
r	ɹ	0.704
r	-	0.263
r	ə	0.031
r_i	ə	0.489
r_ɑ	ə	1.0
r_ɑ̃	ə	1.0
r_ɔː	ə	1.0
r_ˈe	ˈiː	0.239
r_ˈu	ˈɔː	0.489
s	s	0.865
s	z	0.072
s	-	0.053
s_k	ʃ	1.0
s_ɑ̃	s	0.699
s_ɑ̃	t	0.297
s_ɔːː	ə	1.0
sː	s	0.489
t	t	0.533
t	tʰ	0.427
t	b	0.043
t_i	t	1.0
t_s	t	1.0
t_u	t	1.0
t_ɑ	t	1.0
t_ɑ̃	t	1.0
u	-	0.883
u	ə	0.116
u_z	ə	0.393
u_z	ˈaɪ̯	0.082
w	w	0.651
w	-	0.278
w	l	0.036
w	əʊ̯	0.033
w	j	0.032
w_ˈɑi̯	ˈuː	0.489
wː	ˈaʊ̯	1.0
x	h	0.697
x	-	0.149
x	k	0.063
x	v	0.036
x	f	0.034
x_l	l	1.0
x_t	t	1.0
xʷ	w	1.0
z	-	1.0
ð	ð	0.496
ð	d	0.257
ð	-	0.223
ð_i	d	1.0
ð_ɑ	d	1.0
ð_ɑ̃	d	1.0
ŋ	ŋ	0.828
ŋ	-	0.098
ŋ	n	0.071
ɑ	-	0.932
ɑ	ɪ	0.039
ɑ_l	l	1.0
ɑ_z	ˈuː	0.117
ɑ_ɣ	ɪ	1.0
ɑi̯	ˈe	0.489
ɑː	əʊ̯	0.489
ɑ̃	-	0.994
ɔː	-	0.789
ɔː	ə	0.117
ɔː	ɫ	0.087
ɔː_r	ə	0.117
ɔːu̯	-	1.0
ɔːː	-	0.603
ɔːː	ə	0.389
ɔ̃ː	-	1.0
ɛː	ə	1.0
ɡ	-	0.902
ɡ	ɡ	0.091
ɡ_r	ɡ	0.489
ɡʷ	-	0.489
ɣ	ɡ	0.638
ɣ	-	0.306
ɣ	j	0.053
ɣ_j	ʤ	1.0
ɣ_ɑ	f	1.0
ɸ	f	0.856
ɸ	v	0.11
ɸ	p	0.038
ˈe	ˈe	0.277
ˈe	ˈiː	0.226
ˈe	ˈɪ	0.167
ˈe	ˈaɪ̯	0.13
ˈe	ˈɔː	0.067
ˈe_r	ˈɑː	0.389
ˈe_r	ˈɔː	0.389
ˈe_r	ˈɜː	0.166
ˈe_xʷ	ˈiː	1.0
ˈe_ɣ	ˈeɪ̯	1.0
ˈeu̯	ˈiː	0.459
ˈeu̯	ˈaɪ̯	0.195
ˈeu̯	ˈɪ	0.17
ˈeu̯	ˈe	0.148
ˈeu̯_x	ˈaɪ̯	1.0
ˈeː	ˈɪ	1.0
ˈi	ˈɪ	0.651
ˈi	ˈaɪ̯	0.111
ˈi	ˈiː	0.108
ˈi	ˈe	0.071
ˈi	-	0.047
ˈi_j	ˈiː	1.0
ˈiu̯	ˈɪ	0.74
ˈiu̯	j	0.134
ˈiː	ˈaɪ̯	0.919
ˈiː	ˈɪ	0.071
ˈiː_z	ˈiː	1.0
ˈĩː	ˈaɪ̯	1.0
ˈu	ˈɐ	0.321
ˈu	ˈɪ	0.185
ˈu	ˈɒ	0.114
ˈu	ˈəʊ̯	0.083
ˈu	ˈaʊ̯	0.081
ˈu_r	ˈɔː	0.696
ˈu_r	ˈɜː	0.293
ˈuː	ˈaʊ̯	0.742
ˈuː	ˈaɪ̯	0.253
ˈuː_z	ˈaʊ̯	1.0
ˈɑ	ˈæ	0.26
ˈɑ	ˈɑː	0.164
ˈɑ	ˈe	0.158
ˈɑ	ˈeɪ̯	0.151
ˈɑ	ˈəʊ̯	0.081
ˈɑ_n	ˈuː	0.489
ˈɑ_r	ˈɔː	0.441
ˈɑ_r	ˈɑː	0.334
ˈɑ_r	ˈɪ	0.154
ˈɑ_x	ˈaɪ̯	0.608
ˈɑ_x	ˈɪ	0.12
ˈɑ_x	ˈeɪ̯	0.11
ˈɑ_ɣ	ˈeɪ̯	1.0
ˈɑi̯	ˈəʊ̯	0.605
ˈɑi̯	-	0.093
ˈɑi̯	ˈɒ	0.093
ˈɑi̯	ˈe	0.075
ˈɑi̯	ˈaɪ̯	0.072
ˈɑi̯_w	ˈəʊ̯	0.871
ˈɑi̯_w	ˈɪ	0.05
ˈɑu̯	ˈiː	0.389
ˈɑu̯	ˈe	0.309
ˈɑu̯	ˈɪ	0.154
ˈɑu̯	ˈaɪ̯	0.077
ˈɑu̯	ˈeɪ̯	0.063
ˈɑu̯_ɣ	ˈaɪ̯	1.0
ˈɔ	ˈiː	0.239
ˈɔː	ˈiː	0.248
ˈɔː	ˈʊ	0.228
ˈɔː	ˈuː	0.228
ˈɔː	ˈɐ	0.21
ˈɔː	ˈe	0.069
ˈɛː	ˈiː	0.474
ˈɛː	ˈuː	0.175
ˈɛː	ˈɪ	0.123
ˈɛː	ˈɛ	0.107
ˈɛː	ˈe	0.052
β	v	0.801
β	-	0.186
β_ɑ	f	1.0
β_ɑ̃	f	1.0
θ	θ	0.746
θ	ð	0.168
θ	d	0.071
θ_ɑ	d	1.0
θ_ɑ̃	d	1.0
