Phone1	Phone2	Surprisal
b	b̥	0.0
d	d̥	0.46
d	r	1.874
d_r	d̥_r	0.0
d̥	d̥	0.158
d̥	l_d̥	3.268
f	f	0.189
f	f_ˈɛ	3.024
h	h	0.0
j	-	0.921
j	ˈaɪ̯	1.981
j	ˈiː	2.193
j_ə	ə	0.0
j_ˈuə̯	ˈaɪ̯	0.0
j_ˈɛ	ˈɛ	0.0
j_ˈɪ	ˈiː	0.0
k	ɡ̊	1.461
k	x	1.481
k	ʃ	1.844
k_ə	ɡ̊_ə	0.565
k_ə	x	1.626
l	l	0.039
l	ˈɛ_l	5.24
l_ˈɪ	l_ˈaɪ̯	0.0
m	m	0.106
m	ˈu_m	3.824
n	n	0.803
n	-	2.116
n	n_d̥	2.647
n	β_ə	4.771
n_d	n	0.0
p	f	0.587
p	b̥	1.58
p_ə	f_ə	0.0
r	ɐ	0.89
r	r	1.428
r	r_ɐ	3.496
s	s	0.752
s	ʃ	1.299
s_k	ʃ	0.0
s_l	ʃ_l	0.0
s_t	ʃ_d̥	0.0
t	d̥	1.308
t	ʣ̥	1.602
t	s	1.907
t_ə	s_ə	0.0
v	β	0.311
v	-	2.367
v_ə	f	0.0
z	s	0.0
z_ə	ə	0.0
ŋ	ŋ	0.194
ŋ	n	2.993
ə	-	0.964
ə	ə	1.037
ə_r	ɐ	0.0
ɡ	ɡ̊	0.0
ɣ	j	0.903
ɣ	ɣ̊	1.104
ɣ̥	ʃ	0.697
ɣ̥	ɡ̊	1.384
ɪ	ɪ	0.0
ɪ_n	eː	0.0
ʋ	β	0.0
ʦ	-	0.952
ʦ	d̥	2.049
ʦ	kʰ	2.049
ˈa	ˈɑ	0.609
ˈa	ˈɑː	2.178
ˈa	-	3.021
ˈai̯	ˈɑ	0.0
ˈaː	ˈɑ	1.564
ˈaː	ˈɛ	2.132
ˈaː	ˈɑː	2.561
ˈaː	ˈɛː	2.76
ˈaː	-	3.102
ˈaː_j	ˈɑːɪ̯	0.0
ˈeː	ˈeː	0.807
ˈeː	-	1.223
ˈi	ˈɪ	0.883
ˈi	ˈaɪ̯	1.128
ˈi_t	s	0.0
ˈiə̯	ˈoː	1.695
ˈiə̯	ˈeː	2.252
ˈiə̯	ˈɛː	2.287
ˈiə̯	ˈiː	2.398
ˈiə̯	ˈɛ̃ː	3.528
ˈiə̯_n	ˈĩː	0.0
ˈiː	ˈaɪ̯	0.996
ˈiː	-	1.326
ˈiː	ˈi	3.326
ˈiː_n	ˈɪ_n	0.0
ˈoə̯	ˈɔ_ɐ	1.241
ˈoə̯	-	1.837
ˈoə̯	ˈoː	2.322
ˈoə̯	ˈõː	3.367
ˈu	ˈu	0.0
ˈuə̯	ˈuː	0.689
ˈuə̯	-	1.397
ˈuː	ˈau̯	1.53
ˈuː	ˈu	1.743
ˈuː	-	2.598
ˈuː	ˈaɪ̯	2.856
ˈuː	ˈau̯̯	4.271
ˈu̯o	ˈiː	0.0
ˈy	-	0.0
ˈyː	ˈu	0.0
ˈø	-	0.585
ˈø	ˈo	1.585
ˈøə̯	ˈaɪ̯	0.0
ˈɔ	ˈu	1.172
ˈɔ	ˈɔ	1.513
ˈɔ	-	3.28
ˈɔ	ˈɪ	3.28
ˈɔ_ɣ	ˈɑ̃ɪ̯	0.0
ˈɔ_χ	ʃ	0.0
ˈɔu̯	-	0.0
ˈɔː	ˈɑ	0.0
ˈɛ	-	0.983
ˈɛ	ˈɛ	1.018
ˈɛi̯	ˈɛː	1.317
ˈɛi̯	-	1.392
ˈɛi̯	ˈɑː_ɣ̊	2.199
ˈɛː	ˈɑː	0.861
ˈɛː	-	1.154
ˈɪ	ˈɪ	0.582
ˈɪ	-	2.114
ˈɪ	ˈɛ	3.308
ˈɪ_n	ˈɛ_n	0.0
ˈɪə̯	ˈɑː	1.688
ˈɪə̯	-	2.098
ˈɪə̯	ˈeː	2.563
ˈɪə̯	ˈɑ	3.231
ˈɪə̯	ˈɛː	3.469
ˈɪə̯	ˈoː	3.473
χ	x	0.634
χ	ʃ	1.492
