West Frisian	West Frisian	probability
χ_#>	ɡ̊_#>	1.0
ˈɪə̯_#>	ˈoː_d̥_#>	1.0
ˈɛ_j_#>	ˈaɪ̯_#>	1.0
ˈɔː	ˈɑ	1.0
ˈɔu̯	-	1.0
ˈɔ_χ	ʃ	1.0
ˈøə̯	ˈaɪ̯	1.0
ˈø	-	1.0
ˈyː	ˈu	1.0
ˈy	-	1.0
ˈu̯o	ˈiː	1.0
ˈu	ˈu	1.0
ˈoː	ˈuː	1.0
ˈiə̯_n	ˈĩː	1.0
ˈi_t	s	1.0
ˈaː_j	ˈɑːɪ̯	1.0
ɪ_n	eː	1.0
ɣ_ə_#>	ɡ̊_#>	1.0
ɡ	ɡ̊	1.0
ə_χ	ɪ_ʃ	1.0
ə_r	ɐ	1.0
ɕ	s	1.0
z_ə	ə	1.0
z	-	1.0
v_ə	f	1.0
t_r	d̥_r	1.0
s_ˈɪ	s	1.0
s_t	ʃ_d̥	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
r_#>	#>	1.0
p_ə	f_ə	1.0
p_#>	f_#>	1.0
n_d	n	1.0
m	m	1.0
k_ə_#>	#>	1.0
k_ə	x	1.0
j_ˈɪ	ˈiː	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈuə̯	ˈaɪ̯	1.0
j_ə	ə	1.0
h	h	1.0
b	b̥	1.0
<#_ˈaː	<#_ˈɑ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#_j	<#_j	1.0
l	l	0.957
ʋ	β	0.895
d̥	d̥	0.857
v	β	0.846
d	d̥	0.81
ˈuə̯	ˈuː	0.8
f	f	0.793
ŋ	ŋ	0.75
p	b̥	0.75
k	ɡ̊	0.727
ˈa	ˈɑ	0.684
χ	x	0.625
ə	ə	0.625
ˈɪ	ˈɪ	0.615
ˈɛ	ˈɛ	0.6
n	n	0.581
ˈɛi̯	-	0.571
k_#>	ʃ_#>	0.556
ˈi	ˈɪ	0.5
ˈi	ˈaɪ̯	0.5
ˈeː	ˈeː	0.5
ˈeː	-	0.5
ʦ	d̥	0.5
ʦ	-	0.5
ɣ	x	0.5
ɣ	j	0.5
s	ʃ	0.5
s	s	0.5
r	ɐ	0.5
ˈiː	ˈaɪ̯	0.455
r	r	0.447
ˈɔ	ˈɔ	0.444
k_#>	#>	0.444
ˈɛi̯	ˈɛː	0.429
ˈuː	ˈau̯	0.429
ˈaː	-	0.417
t	d̥	0.404
ˈɛ	-	0.4
χ	ʃ	0.375
ˈɛː	ˈɑː	0.375
ˈɛː	-	0.375
ˈoə̯	ˈɔ_ɐ	0.364
j	-	0.364
ˈɪə̯	ˈɑː	0.333
ˈaː	ˈɑ	0.333
ə	-	0.3
t	s	0.298
ˈɔ	ˈu	0.278
ˈiə̯	ˈoː	0.278
ˈiː	-	0.273
k	x	0.273
j	ˈiː	0.273
#>	ʃ_#>	0.273
#>	ə_#>	0.273
#>	ɐ_#>	0.273
t	ʣ̥	0.255
ˈɛː	ˈɛ	0.25
ˈaː	ˈɑː	0.25
ŋ	-	0.25
p	pʰ	0.25
ˈiə̯	ˈiː	0.222
ˈiə̯	ˈeː	0.222
ˈuː	ˈu	0.214
ˈa	ˈɑː	0.211
n	n_d̥	0.209
n	-	0.209
ˈuə̯	-	0.2
ˈɪ	ˈɛ	0.192
d	r	0.19
ˈoə̯	ˈoː	0.182
ˈoə̯	ɐ	0.182
ˈoə̯	-	0.182
ˈiː	ˈɪ	0.182
j	ˈɛ	0.182
j	ˈaɪ̯	0.182
#>	b̥_#>	0.182
ˈɪə̯	ˈɑ	0.167
ˈɪə̯	ˈeː	0.167
ˈɔ	ˈɪ	0.167
ˈiə̯	ˈɛː	0.167
v	-	0.154
ˈuː	ˈaɪ̯	0.143
ˈuː	-	0.143
d̥	l_d̥	0.143
f	b̥	0.138
ˈɪ	ˈaɪ̯	0.115
ˈɪə̯	ˈɛː	0.111
ˈɪə̯	ˈoː	0.111
ˈɪə̯	ˈiː	0.111
ˈɔ	-	0.111
ˈiə̯	-	0.111
ˈa	-	0.105
ʋ	β_ˈɔ	0.105
ˈoə̯	ˈõː	0.091
ˈiː	ˈi	0.091
ˈɪ	-	0.077
ə	n	0.075
ˈuː	ˈau̯̯	0.071
f	f_ˈɛ	0.069
r	r_ˈɪ	0.053
