Lower Sorbian	Lower Sorbian	probability
ʨ	tʲ	1.0
ʒ	ʒ	1.0
ʐ̊	ʒ	1.0
ɡ̊	-	1.0
ɡʲ	-	1.0
ɡ_ɛ	ɦ_ɔ	1.0
ɔ_#>	ɔ_#>	1.0
z̥	z	1.0
x	x	1.0
w_#>	ɫ_#>	1.0
vʲ	ʋʲ	1.0
t͡ʂ	-	1.0
t_a	t_ɐ	1.0
s_#>	s_#>	1.0
p	p	1.0
nʲ	nʲ	1.0
n_#>	n_#>	1.0
m	m	1.0
kʲ	k_e	1.0
j	ɔ	1.0
f	-	1.0
d̥_#>	d_#>	1.0
d_w	ɫ	1.0
d	d	1.0
b̥_#>	b_#>	1.0
bʲ	-	1.0
b	b	1.0
<#_ɕ	<#_t	1.0
<#_vʲ	<#_ʋ	1.0
<#_s	<#	1.0
<#_r	<#_rʲ	1.0
<#_j_a	<#_ɔ	1.0
<#_j	<#_j	1.0
<#	<#_w	1.0
t	t	0.875
z	z	0.867
ʑ	d	0.833
r	r	0.81
k	k	0.783
n	n	0.769
i	ɪ	0.769
w	ɫ	0.765
ʂ	r	0.75
s	s	0.742
v	ʋ	0.733
ɲ	nʲ	0.714
ɪ	i	0.684
ʐ	ʒ	0.667
rʲ	r	0.667
l	lʲ	0.667
ɡ	ɦ	0.636
mʲ	m	0.625
#>	j_#>	0.615
ɔ	ɔ	0.61
pʲ	p	0.6
u	u	0.55
a	ɑ	0.521
<#_v	<#_ʋʲ	0.5
<#_v	<#	0.5
ɕ	tʲ	0.474
ɨ	e_j	0.412
pʲ	pʲ	0.4
ɨ	ɪ	0.382
mʲ	mʲ	0.375
ɕ	t_e	0.368
ɛ	i	0.355
u	ʊ	0.35
ʐ	ʒʲ	0.333
rʲ	rʲ	0.333
l	ɫ	0.333
e	i	0.3
ɲ	n	0.286
ɡ	ɦ_ɔ	0.273
ɔ	i_ˈ	0.268
v	w	0.267
s	sʲ	0.258
ʦ	ʧ	0.25
ʦ	ʦʲ	0.25
ʦ	ʦ	0.25
ʂ	ʃʲ	0.25
e	-	0.25
w	-	0.235
n	nʲ	0.231
i	j	0.231
#>	ɦ_#>	0.231
a	ɐ	0.229
ɛ	ɔ	0.226
e	ɛ_ˈ	0.2
r	ɔ_r	0.19
ʑ	dʲ	0.167
ɛ	ɛ	0.161
ɪ	ɐ	0.158
ɪ	j_ɑ	0.158
ɕ	r	0.158
#>	ɐ_#>	0.154
e	ɛ	0.15
a	ɛ_ˈ	0.146
z	zʲ	0.133
k	x	0.13
ʦ	ʧʲ	0.125
ʦ	ʤ	0.125
t	-	0.125
ɨ	-	0.118
u	-	0.1
e	j_ɐ	0.1
ɡ	ɦʲ	0.091
ɨ	e	0.088
k	kʲ	0.087
ɔ	ɛ	0.073
ɛ	ɦ_ɔ	0.065
ɛ	ɑ	0.065
ɛ	ɐ	0.065
ɛ	-	0.065
a	a_ˈ	0.062
