West Frisian	North Frisian	probability
b	b	1.0
h	h	1.0
ɡ	ɡ	1.0
ʋ	v	1.0
ˈu̯o	ˈɛ	1.0
ˈøə̯	ˈyː	1.0
f	f	0.931
t	tʲ	0.131
t	t	0.671
ɪ	ɛi̯	0.591
ˈa	ˈa	0.081
ˈaː	ˈʊ	0.091
ˈi	ˈɛ	0.081
ˈiə̯	ˈɛ	0.051
ˈiː	ˈɔː	0.051
ˈoː	ˈʏ	0.431
ˈy	ˈʏ	0.101
ˈɛ	ˈɛ	0.061
ˈɛ	ˈi	0.091
ˈɛi̯	ˈai̯	0.051
ˈɛː	ˈa	0.571
ˈɪ	ˈœ	0.071
ˈɪ	ˈeː	0.131
ˈɪə̯	ˈuː	0.341
k	-	0.202
n	n	0.712
t	d	0.072
z	z	0.462
ɕ	s	0.572
ˈaː	ˈœ	0.072
ˈaː	ˈɒː	0.172
ˈaː	ˈyː	0.262
ˈeː	ˈi	0.172
ˈiə̯	ˈɛi̯	0.22
ˈɔ	ˈɒ	0.052
ˈɔ	ˈaː	0.062
ˈɔu̯	ˈɔu̯	0.712
ˈɪ	ˈai̯	0.062
ˈɪə̯	ˈɛː	0.052
χ	x	0.502
d	d	0.73
l	l	0.93
n	-	0.053
v	-	0.093
ə	ə	0.933
ɣ	f	0.083
ɣ	j	0.083
ˈa	ˈɔː	0.203
ˈaː	ˈɛː	0.143
ˈi	ˈi	0.593
ˈiː	ˈɛi̯	0.183
ˈoə̯	ˈɔ	0.493
ˈɔː	ˈɔː	0.173
ˈɛi̯	ˈi	0.153
ˈɪ	-	0.093
ˈɪ	ˈa	0.333
j	lʲ	0.064
m	m	0.974
p	b	0.064
ʦ	ʃ	0.304
ˈeː	ˈiː	0.744
ˈi	ˈœ	0.104
ˈiə̯	ˈɛː	0.074
ˈoə̯	ˈaː	0.124
ˈu	ˈʊ	0.964
ˈuə̯	ˈuː	0.084
ˈuː	ˈɔu̯	0.104
ˈyː	-	0.124
ˈø	ˈa	0.564
ˈɛː	ˈɒː	0.14
ˈɛː	ˈeː	0.184
ˈɪə̯	ˈyː	0.184
χ	j	0.184
d̥	lʲ	0.085
j	j	0.15
s	ʃ	0.215
s	s	0.75
ɣ	w	0.315
ʦ	d	0.105
ʦ	t	0.215
ˈeː	ˈuː	0.085
ˈi	ˈeː	0.15
ˈuə̯	ˈœi̯	0.095
ˈuə̯	ˈœ	0.275
ˈuː	-	0.085
ˈɔ	ˈyː	0.115
ˈɔ	ˈʊ	0.435
ˈɛ	ˈa	0.085
ˈɛ	ˈeː	0.165
ˈɛi̯	ˈɛi̯	0.385
ˈɪə̯	ˈeː	0.055
j	ˈiː	0.296
r	r	0.976
t	r_t	0.056
ˈa	ˈɒ	0.326
ˈaː	-	0.076
ˈiː	ˈiː	0.26
ˈuː	ˈøː	0.136
ˈɛ	ˈai̯	0.086
ˈɛː	ˈʊ	0.106
ˈɪə̯	ˈiː	0.186
χ	w	0.236
d	dʲ	0.137
d̥	z	0.057
d̥	r_d	0.177
d̥	dʲ	0.237
d̥	d	0.417
v	v	0.907
ŋ	ŋ	0.977
ə	-	0.057
ˈa	ˈɒː	0.077
ˈuə̯	lʲ	0.17
ˈuə̯	ˈøː	0.247
ˈuː	ˈuː	0.127
ˈyː	ˈaː	0.227
ˈɔ	ˈɔː	0.137
ˈɛ	-	0.157
d	-	0.098
k	k	0.798
n	r_n	0.068
n	nʲ	0.118
p	v	0.088
p	p	0.848
z	d	0.538
ɕ	ʃ	0.428
ʦ	s	0.188
ʦ	tʲ	0.188
ˈa	ˈʊ	0.188
ˈiː	ˈyː	0.088
ˈoə̯	ˈɔu̯	0.238
ˈuː	ˈyː	0.548
ˈø	ˈʏ	0.158
ˈø	ˈeː	0.278
ˈɔu̯	ˈœ	0.288
ˈɔː	ˈɒ	0.068
ˈɛi̯	ˈeː	0.08
ˈɛi̯	ˈʊ	0.298
j	-	0.49
ɣ	-	0.519
ɪ	i	0.409
ˈaː	ˈeː	0.109
ˈiə̯	ˈiː	0.579
ˈiː	ˈi	0.369
ˈoː	ˈyː	0.569
ˈuə̯	ˈɔu̯	0.129
ˈy	ˈœ	0.899
ˈyː	ˈyː	0.649
ˈɔ	ˈøː	0.089
ˈɔː	ˈœ	0.759
ˈɛ	ˈœ	0.219
ˈɪ	ˈɛ	0.059
ˈɪə̯	ˈʊ	0.079
