West Frisian	North Frisian	probability
b	b	1.0
d	d	0.721
d	dʲ	0.11
d	-	0.071
d	tʲ	0.054
d	t	0.047
f	f	0.931
f	v	0.065
h	h	1.0
j	-	0.663
j	j	0.19
j	ˈiː	0.056
j	ˈœ	0.056
j	ˈeː	0.043
j_ˈɪ	ˈiː	1.0
k	k	0.955
k	-	0.049
l	l	0.893
l	lʲ	0.056
l	-	0.049
m	m	1.0
n	n	0.803
n	nʲ	0.113
n	-	0.062
p	p	0.82
p	b	0.107
p	v	0.066
r	r	1.0
s	s	1.0
s_k	ʃ	1.0
t	t	0.573
t	d	0.143
t	tʲ	0.091
t	dʲ	0.043
t	lʲ	0.041
v	v	0.848
v	-	0.152
z	z	0.784
z	d	0.126
ŋ	ŋ	0.932
ŋ	n	0.065
ɕ	s	0.66
ɕ	ʃ	0.161
ə	ə	0.712
ə	-	0.268
ə_χ	i	1.0
ɡ	ɡ	1.0
ɣ	-	0.425
ɣ	w	0.28
ɣ	j	0.28
ɪ	i	1.0
ʋ	v	1.0
ʋ_ˈɔ	ˈʊ	1.0
ʦ	t	0.381
ʦ	tʲ	0.219
ʦ	ʃ	0.219
ʦ	s	0.143
ˈa	ˈɒ	0.314
ˈa	ˈɒː	0.169
ˈa	ˈɔː	0.136
ˈa	ˈa	0.1
ˈa	ˈʊ	0.087
ˈaː	ˈɒː	0.243
ˈaː	ˈɛː	0.212
ˈaː	ˈyː	0.095
ˈaː	ˈʊ	0.095
ˈaː	ˈɔu̯	0.095
ˈeː	ˈiː_ə	0.437
ˈeː	ˈi	0.248
ˈeː	ˈuː	0.164
ˈi	ˈi	0.541
ˈi	ˈeː	0.191
ˈi	ˈɛː	0.097
ˈi	ˈiː	0.089
ˈi	ˈœ	0.052
ˈiə̯	ˈiː	0.548
ˈiə̯	ˈɛi̯	0.222
ˈiə̯	ˈɒ	0.058
ˈiə̯	ˈɛ	0.051
ˈiə̯	ˈøː	0.05
ˈiː	ˈi	0.533
ˈiː	ˈɛi̯	0.203
ˈiː	ˈiː	0.203
ˈiː	ˈyː	0.05
ˈoə̯	ˈɔ	0.467
ˈoə̯	ˈɔu̯	0.122
ˈoə̯	r	0.108
ˈoə̯	ˈaː	0.108
ˈoə̯	ˈyː	0.083
ˈoː	ˈyː	0.494
ˈu	ˈøː	0.53
ˈu	ˈʊ	0.3
ˈuə̯	ˈœ	0.498
ˈuə̯	ˈɔu̯	0.2
ˈuə̯	ˈuː	0.174
ˈuə̯	ˈøː	0.096
ˈuː	ˈyː	0.527
ˈuː	ˈøː	0.159
ˈuː	ˈuː	0.138
ˈuː	-	0.091
ˈuː	ˈɔu̯	0.073
ˈy	ˈœ	1.0
ˈyː	ˈyː	0.723
ˈyː	ˈʏ	0.205
ˈø	ˈʏ	0.45
ˈø	ˈa	0.222
ˈø	ˈeː	0.126
ˈøə̯	ˈyː	1.0
ˈɔ	ˈʊ	0.41
ˈɔ	ˈɔː	0.256
ˈɔ	ˈyː	0.076
ˈɔ	ˈeː	0.076
ˈɔ	ˈɒ	0.061
ˈɔu̯	ˈœ	0.758
ˈɔu̯	ˈɔu̯	0.091
ˈɔː	ˈœ	0.582
ˈɔː	ˈɔː	0.203
ˈɔː	ˈɒ	0.102
ˈɔː	ˈyː	0.059
ˈɛ	ˈɒː	0.145
ˈɛ	ˈa	0.145
ˈɛ	ˈai̯	0.145
ˈɛ	ˈœ	0.145
ˈɛ	ˈuː	0.099
ˈɛ_j	ˈiː	1.0
ˈɛi̯	ˈɛi̯	0.354
ˈɛi̯	ˈi	0.203
ˈɛi̯	ˈʊ	0.132
ˈɛi̯	ˈeː	0.132
ˈɛi̯	ˈɛː	0.09
ˈɛː	ˈa_r	0.416
ˈɛː	ˈɒː	0.215
ˈɛː	ˈeː	0.187
ˈɛː	ˈʊ	0.122
ˈɪ	ˈa	0.353
ˈɪ	ˈeː	0.113
ˈɪ	ˈai̯	0.079
ˈɪ	ˈi	0.07
ˈɪ	ˈaː	0.069
ˈɪə̯	ˈuː	0.326
ˈɪə̯	ˈyː	0.231
ˈɪə̯	ˈiː	0.218
ˈɪə̯	ˈeː	0.069
ˈɪə̯	ˈɔː	0.059
ˈɵ	ˈɛ	0.244
χ	x	0.614
χ	w	0.153
χ	j	0.133
χ	ŋ	0.088
