Faroese	Old High German	probability
ˈʏ	-	1.0
ˈʊ̯iː_ɹ	ˈiu̯_r	1.0
ˈʊ_ʤ̊ː	ˈɛ_h	1.0
ˈɪ_ɡ̊	ˈuː	1.0
ˈɛːa̯_ɹ	ˈi_r	1.0
ˈɔːu̯_w	ˈuo̯_t	1.0
ˈɔːi̯_ɹ	ˈoː_r	1.0
ˈɔːi̯	ˈou̯	1.0
ˈuː	-	1.0
ˈoː	ˈo	1.0
ˈiː_j	tː	1.0
ˈaːi̯	ˈei̯	1.0
ˈai̯	ˈei̯	1.0
ˈa_ɹ	ˈɑ_r	1.0
ʰʧ	kː	1.0
ʰt͡n̥	s̻ː	1.0
ʰk	ŋ_k	1.0
ʧ	xː	1.0
ʤ̊ː	-	1.0
ʤ̊	ɡ	1.0
ʈ	ʦ	1.0
ɹ_ˈɪ	r_ˈu	1.0
ɲ	ŋ	1.0
ɪ_ɹ	r	1.0
ɡ̊ː	kː	1.0
w	-	1.0
v̥	-	1.0
t͡n̥	r_n	1.0
t_ʊ	s̻	1.0
s_t	s_t	1.0
s	s	1.0
r	-	1.0
pʰ	p͡f	1.0
p	f	1.0
n̥	n	1.0
mː	m	1.0
m_j	mː	1.0
m	m	1.0
l̥	l	1.0
kʰ_v	w	1.0
kʰ	kʰ	1.0
j_ʊ	t	1.0
j	-	1.0
h	h	1.0
f	f	1.0
d̥	t	1.0
b̥	b	1.0
ɹ	r	0.993
ɡ̊	ɡ	0.906
l	l	0.899
ˈa	ˈɑ	0.87
ˈœ	-	0.869
n	n	0.858
ʃ	s_k	0.789
ˈɪ	ˈi	0.784
ˈɛːa̯	ˈɑ	0.782
ŋ	ŋ	0.78
ˈeː	ˈɛ	0.723
ˈʊ	ˈu	0.713
ˈʉːu̯	ˈuː	0.694
ˈʊ̯iː	ˈiː	0.659
ˈɔ̯aː	ˈɑː	0.62
v	w	0.599
nː	nː	0.594
tʰ	d	0.581
ʰp	fː	0.562
ʧʰ	kʰ	0.56
ˈɛːi̯	ˈoː	0.541
ˈɔːu̯	ˈio̯	0.526
k	x	0.525
ʊ	i	0.492
k	k	0.475
ˈɔːu̯	ˈuo̯	0.474
ʧʰ	-	0.44
ʰp	f	0.438
ɪ	ɛ	0.426
tʰ	ʦ	0.419
ˈøː	ˈuo̯	0.409
nː	n_d	0.406
t͡l̥	l	0.403
ʰt	x_t	0.402
ˈɔ	ˈɑ	0.395
t	s̻	0.382
ˈɛːi̯	ˈou̯	0.377
ˈiː	-	0.376
ˈøː	ˈɛ	0.352
t͡l̥	lː	0.344
ˈiː	ˈi	0.336
t	s̻ː	0.328
v	b	0.322
ˈʉːu̯	ˈio̯	0.306
a	ɑ_n	0.304
a	ɑ	0.297
ˈɔ	ˈu	0.296
ˈiː	ˈu	0.288
ʊ	ɑ	0.284
ˈeː	ˈie̯	0.277
ˈɛ	-	0.274
ˈɛ	ˈɑ	0.264
ʰt	s̻	0.261
t͡l̥	l_d	0.253
ˈʊ̯iː	ˈio̯	0.25
ˈɔ̯aː	ˈɑ_h	0.243
ɪ	i	0.241
ˈøː	-	0.239
ʰt	s̻ː	0.23
ˈɛ	ˈe	0.22
ŋ	-	0.22
ʃ	s	0.211
ɪ	u	0.189
ˈɔ	ˈo	0.182
a	e_n	0.175
t	-	0.167
ˈʊ	ˈo	0.151
ˈɛ	ˈei̯	0.149
ɪ	o	0.144
n	-	0.142
ˈɔ̯aː	ˈeː	0.137
ˈʊ	ˈuː	0.136
ˈœ	ˈo	0.131
ˈa	-	0.13
ˈɔ	ˈɛ	0.127
ˈɛːa̯	ˈɑ_t	0.124
t	t	0.124
ʊ	o	0.123
ˈɪ	-	0.12
ʰt	t	0.107
ʊ	-	0.101
ˈɪ	ˈu	0.096
ˈɛːa̯	-	0.094
ɡ̊	-	0.094
ˈɛ	ˈɛ	0.093
a	o	0.093
ˈʊ̯iː	n	0.091
ˈɛːi̯	ou̯	0.082
v	f	0.079
l	l_ˈio̯	0.059
a	eː_n	0.052
