Old High German	Faroese	probability
ˈɛ_h	ˈʊ_ʤ̊ː	1.0
ˈɑ_t	ˈɛːa̯	1.0
ˈɑ_r	ˈa_ɹ	1.0
ˈɑ_h	ˈɔ̯aː	1.0
ˈuo̯_t	ˈɔːu̯_w	1.0
ˈoː_r	ˈɔːi̯_ɹ	1.0
ˈoː	ˈɛːi̯	1.0
ˈiː	ˈʊ̯iː	1.0
ˈiu̯_r	ˈʊ̯iː_ɹ	1.0
ˈiu̯	-	1.0
ˈie̯	ˈeː	1.0
ˈi_r	ˈɛːa̯_ɹ	1.0
ˈeː	ˈɔ̯aː	1.0
ʦː	-	1.0
ɛ	ɪ	1.0
ə	-	1.0
ɑ_n	a	1.0
ŋ_k	ʰk	1.0
x_t	ʰt	1.0
tː	ˈiː_j	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
rː	ɹ	1.0
r_ˈu	ɹ_ˈɪ	1.0
r_n	t͡n̥	1.0
p͡f	pʰ	1.0
oː	a	1.0
ou̯	ˈɛːi̯	1.0
nː	nː	1.0
n_d	nː	1.0
mː	m_j	1.0
lː	t͡l̥	1.0
l_ˈio̯	l	1.0
l_d	t͡l̥	1.0
fː	ʰp	1.0
eː_n	a	1.0
e_n	a	1.0
m	m	0.958
r	ɹ	0.924
s	s	0.906
ŋ	ŋ	0.87
ʦ	tʰ	0.822
l	l	0.764
ˈɑː	ˈɔ̯aː	0.723
kʰ	kʰ	0.718
h	h	0.71
f	f	0.709
b	b̥	0.705
k	k	0.697
x	k	0.662
w	v	0.659
n	n	0.654
xː	-	0.65
u	ɪ	0.65
ˈi	ˈɪ	0.617
ˈu	ˈʊ	0.612
ˈe	-	0.584
s̻	t	0.572
ˈou̯	ˈɛːi̯	0.566
d	tʰ	0.55
o	a	0.538
ˈɛ	-	0.535
ˈuː	ˈʉːu̯	0.533
ɡ	ɡ̊	0.517
kː	ɡ̊ː	0.501
t	d̥	0.482
s̻ː	ʰt	0.478
ˈei̯	ˈai̯	0.476
ɑ	-	0.468
d	-	0.45
ˈou̯	ˈɔːi̯	0.434
s̻ː	t	0.427
ˈuo̯	ˈøː	0.425
i	-	0.421
i	ʊ	0.42
ˈe	ˈɛ	0.416
ˈɑ	ˈa	0.393
ˈio̯	ˈɔːu̯	0.386
ˈuo̯	ˈɔːu̯	0.351
xː	ʧ	0.35
u	-	0.35
x	-	0.338
ˈio̯	ˈʊ̯iː	0.325
ˈei̯	ˈaːi̯	0.325
k	-	0.303
ˈi	-	0.295
ɡ	-	0.293
ˈɑ	ˈɛːa̯	0.292
h	-	0.29
ˈio̯	ˈʉːu̯	0.289
kʰ	ʧʰ	0.282
ˈɑː	-	0.277
ˈo	ˈɔ	0.27
t	-	0.265
kː	-	0.265
ɑ	a	0.264
w	-	0.261
ˈo	-	0.26
b	v	0.241
ɑ	ʊ	0.239
kː	ʰʧ	0.234
s̻	t_ʊ	0.233
o	ʊ	0.231
o	ɪ	0.231
ˈuː	ˈʊ	0.226
ˈuo̯	-	0.224
ˈu	ˈɔ	0.218
ˈei̯	ˈɛ	0.199
ˈo	ˈʊ	0.197
s̻	ʰt	0.195
ˈɑ	ˈɔ	0.192
ɡ	ʤ̊	0.19
ʦ	ʈ	0.178
ˈo	ˈoː	0.177
ˈɛ	ˈeː	0.16
i	ɪ	0.159
f	p	0.154
ˈɛ	ˈøː	0.145
l	l̥	0.141
ŋ	ɲ	0.13
ˈuː	-	0.123
ˈɑ	ˈɛ	0.122
t	t	0.122
ˈuː	ˈɪ_ɡ̊	0.119
n	-	0.106
f	v	0.102
ˈo	ˈœ	0.097
s̻ː	ʰt͡n̥	0.095
n	ˈʊ̯iː	0.095
s	ʃ	0.094
l	t͡l̥	0.094
ˈi	ˈiː	0.088
ˈu	ˈiː	0.086
ˈu	ˈɪ	0.084
ˈɛ	ˈɛ	0.08
ˈɛ	ˈɔ	0.08
w	kʰ_v	0.08
n	n̥	0.075
n	a	0.07
t	ʰt	0.066
t	j_ʊ	0.065
b	-	0.054
