Ladin	Ladin	probability
ˈɛ_n	ˈe_ŋ	1.0
ˈɛ_k	ɡ_o	1.0
ˈu	ˈu	1.0
ˈo_w	ˈo	1.0
ˈi	ˈi	1.0
ˈe_l	ˈe_l	1.0
ˈe_j	ˈe	1.0
ˈa	ˈa	1.0
ʨ_ˈɛ	k_ˈa	1.0
ʧ	θ	1.0
ʥ	-	1.0
ɡ_l	j	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ˈɛ	ˈo	1.0
v	v	1.0
u	-	1.0
t	t	1.0
s_#>	#>	1.0
s	s	1.0
p	p	1.0
o	o	1.0
n_ˈe	n	1.0
m	m	1.0
l_ˈe	l_ˈe	1.0
k_r	k_r	1.0
k_l	ʧ	1.0
k_#>	k_#>	1.0
k	k	1.0
j_#>	j_#>	1.0
i	i	1.0
f_#>	v_o_#>	1.0
f	f	1.0
e_r	r_o	1.0
d_a	d_a	1.0
b	b	1.0
a_d	a_d	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
<#	<#_ɡ	1.0
a	a	0.935
r	r	0.905
l	l	0.865
e	e	0.862
ˈe_#>	ˈa_r_#>	0.857
ʃ	s	0.846
ˈo	ˈo	0.833
ɡ	ɡ	0.818
d_l	ʧ_o	0.8
d	d	0.75
ˈɔ	ˈɔ	0.706
ʨ	k	0.684
ˈe	ˈe	0.643
ʒ	ð	0.615
ʦ	θ	0.6
ɲ	ɲ	0.6
j_ˈɛ	j_ˈe	0.6
ˈɛ	ˈɛ	0.528
n	ŋ	0.5
n	n	0.5
#>	o_#>	0.455
#>	r_#>	0.409
ʦ	-	0.4
ɲ	-	0.4
j_ˈɛ	ˈɛ	0.4
ʒ	z	0.385
j	j	0.357
ʨ	θ	0.316
ˈɔ	ˈo	0.294
j	r	0.286
ˈɛ	ˈa	0.25
w	ˈɔ	0.25
w	ˈo	0.25
ˈe	ˈa	0.214
j	-	0.214
d_l	ʤ	0.2
ɡ	-	0.182
ˈo	-	0.167
w	v	0.167
w	l	0.167
w	-	0.167
d	-	0.167
ʃ	z_e	0.154
ˈe_#>	#>	0.143
ˈe	e	0.143
j	d	0.143
#>	a_#>	0.136
l	j	0.135
r	r_o	0.095
d	t	0.083
e	r	0.069
e	-	0.069
a	-	0.065
ˈɛ	ˈe	0.056
ˈɛ	o	0.056
ˈɛ	j_ˈe	0.056
ˈɛ	-	0.056
