Italian	Italian	probability
ˈɛ_n	ˈe_n	1.0
ˈɔ_n	ˈo	1.0
ˈu_tː	ˈo_ð	1.0
ˈo_l	ˈo	1.0
ˈi_o	ˈe_w	1.0
ˈi_n	ˈi_ɲ	1.0
ˈi_k	ˈi_ɣ	1.0
ˈa_t	ˈa_ð	1.0
ʧː	-	1.0
ʧ	θ	1.0
ʦː	θ	1.0
ʤː	-	1.0
ʎː	ɟ	1.0
ʃː_e	θ_ˈe	1.0
ʃː	-	1.0
ɲː	ɲ	1.0
z	s	1.0
w_ˈɔ	ˈɔ	1.0
v_ˈa	β_ˈa	1.0
v_e	β	1.0
u	-	1.0
sː_o	s_ʊ	1.0
sː	ʃ	1.0
s	s	1.0
rː	r	1.0
r_m	ɾ_m	1.0
r_d	ɾ_ð	1.0
r_a	ɾ_ɐ	1.0
pː	j_β	1.0
p_r	β_ɾ	1.0
p_o	p_ʊ	1.0
p_j	ʧ	1.0
o_#>	#>	1.0
nː	n	1.0
n_ˈa	n_a	1.0
n_o	ŋ	1.0
n_e	ŋ	1.0
n_a_#>	#>	1.0
m_o	m_ɪ	1.0
m	m	1.0
lː_o	l_ʊ	1.0
lː	l	1.0
l_s	l_s	1.0
l_o	ʊ	1.0
l_e_#>	l_#>	1.0
kː_j	ɟ	1.0
kː	k	1.0
k_w	k	1.0
k_j	ʧ	1.0
j_ˈɛ	ˈɛ	1.0
i_#>	#>	1.0
fː	f	1.0
f_j	ʧ	1.0
f	f	1.0
e_#>	#>	1.0
dː	-	1.0
bː	-	1.0
b_w	b	1.0
a_t	a_ð	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_a	1.0
k	k	0.87
r	ɾ	0.868
r_e_#>	ɾ_#>	0.865
ˈi	ˈi	0.846
p	p	0.842
ˈu	ˈu	0.833
r_o	ɾ_ʊ	0.833
ˈe	ˈe	0.8
ʤ	ʃ	0.8
a	ɐ	0.786
o	ʊ	0.772
ˈa	ˈa	0.771
ŋ	ŋ	0.75
v	b	0.7
t	t	0.7
ˈɛ	ˈɛ	0.667
w	w	0.667
d	d	0.667
n	n	0.639
b	b	0.625
ˈo	ˈo	0.613
l	-	0.579
<#_a	<#_a	0.571
tː	j_t	0.545
ɡ	ɡ	0.5
ˈɔ	ˈɔ	0.467
i	e	0.467
tː	t	0.455
<#_a	<#	0.429
e	ɪ	0.426
ɡ	ɣ	0.4
j	-	0.4
i	i	0.4
#>	s_#>	0.4
b	β	0.375
ˈɛ	ˈe	0.333
ˈɔ	ˈo	0.333
w	-	0.333
d	-	0.333
#>	ɐ_#>	0.333
l	l	0.316
j	j	0.267
ŋ	-	0.25
t	ð	0.25
n	-	0.25
v	β	0.233
ˈo	ˈɔ	0.226
ʤ	-	0.2
j	ɾ	0.2
e	-	0.18
ˈu	ˈo	0.167
r_o	ɪ	0.167
p	β	0.158
ˈa	ˈɑ	0.157
a	a	0.155
ˈi	ˈe	0.154
e	ɾ	0.148
e	e	0.148
ˈe	ˈi	0.143
r_e_#>	#>	0.135
j	o	0.133
i	ɪ	0.133
#>	ʊ_#>	0.133
#>	ð_ɪ_#>	0.133
k	ɣ	0.13
o	o	0.109
l	j	0.105
ˈɔ	ˈo_w	0.1
ˈɔ	-	0.1
ɡ	-	0.1
ˈo	ˈu	0.097
r	r	0.079
v	-	0.067
ˈo	-	0.065
ˈe	ˈɛ	0.057
n	ɲ	0.056
n	ŋ	0.056
o	-	0.054
r	ˈe	0.053
