Romanian	Franco-Provençal	probability
ˈɨ	ˈa	1.0
ˈə	ˈe	1.0
ˈu_r	ˈoː_ʁ	1.0
ˈu_n	ˈɔ̃	1.0
ˈo_s	ˈoː	1.0
ˈo_k	w_ˈa	1.0
ˈo_j	ˈo	1.0
ˈi_r	ˈi	1.0
ˈau̯	-	1.0
ˈa_r	ˈa	1.0
ˈa_l	ˈoː	1.0
ʧʲ	-	1.0
ʦʲ	s	1.0
ʤ	-	1.0
ʒ	ð	1.0
ʃ_t	s	1.0
ɨ_n	ɑ̃	1.0
ŋ	-	1.0
z	d	1.0
v	v	1.0
r_t	ʁ	1.0
r_e	ˈe	1.0
p_r	ˈy	1.0
p_j	p	1.0
o̯ˈa_p	w	1.0
o	-	1.0
nʲ	ˈɔ̃	1.0
kʲ	ʎ	1.0
j_ˈe	ˈe	1.0
f	f	1.0
a_ʦ	ɛː	1.0
a	-	1.0
ʦ	-	0.912
i	-	0.874
e_r	ʁ	0.774
b	b	0.745
ˈɨ_n	ˈɑ̃	0.74
m	m	0.713
e	ə	0.704
l	l	0.695
ə	a	0.674
w	-	0.651
d	-	0.611
p	p	0.585
s	s	0.577
r	ʁ	0.556
ˈi_n	ˈĩ	0.539
u	o	0.534
ɡ	ɡ	0.525
e̯ˈa	ˈi	0.52
ʃ	-	0.509
k_ə	ə	0.508
o̯ˈa	-	0.502
k_ə	ʃ	0.492
ʃ	s	0.491
e̯ˈa	ˈɛ	0.48
ɡ	-	0.475
n	n	0.474
ˈi_n	ˈɛ̃	0.461
k	k	0.442
t	t	0.426
ˈo	ˈo	0.423
ˈe	ˈɛː	0.41
d	d	0.389
n	-	0.384
t	-	0.377
j	ʎ	0.366
ˈe	ˈe	0.365
o̯ˈa	ˈoː	0.353
w	f	0.349
ʧ	s	0.332
j	j	0.326
ˈi	ˈi	0.313
j	-	0.308
l	-	0.305
ˈo	ˈoː	0.291
ˈo	w_ˈe	0.286
ˈɨ_n	ˈɛ̃	0.26
r	ð	0.257
ʧ	ʃ	0.255
b	-	0.255
u	ɔ	0.254
ə	ə	0.243
ˈu	ˈɔ̃	0.238
p	-	0.227
e_r	ə	0.226
s	e	0.219
m	-	0.214
u	-	0.212
ˈa	ˈa	0.209
k	ʃ	0.208
s	ʃ	0.205
ˈu	-	0.197
e	-	0.191
p	v	0.187
ˈi	ˈe	0.182
ˈu	w	0.176
t	ð	0.171
ˈu	w_ˈɛː	0.17
ʧ	ð	0.168
ʧ	-	0.168
ˈe	ˈɛ	0.156
ˈi	ˈɑː	0.149
ˈi	-	0.148
ˈa	ˈɛː	0.145
o̯ˈa	ˈu	0.145
ˈa	ˈaː	0.141
i	ɛ̃	0.126
ˈi	ˈɛ̃	0.119
k	-	0.118
ˈa	ˈe	0.115
ˈa	j	0.114
ˈu	ˈu	0.111
r	l	0.11
ˈu	ˈɔ	0.108
ˈa	v	0.101
k	ˈɛ	0.096
ˈa	ˈɑː	0.095
ˈi	ˈɛ	0.089
ʦ	ʦ	0.088
n	ˈĩ	0.085
ə	-	0.083
ˈa	ˈɛ	0.08
r	-	0.077
ʧ	k	0.076
m	ɡ	0.074
k	j	0.071
ˈe	ˈi	0.069
e	i	0.066
k	ʃ_j	0.063
n	d	0.058
