Faroese	Old Norse	probability
a	ɑ	0.755
a	a	0.146
b̥	b	1.0
d̥	d	0.983
f	f	0.902
f	v	0.055
h	h	1.0
j	j	0.556
j	ð	0.183
j	ç	0.079
j	ʝː	0.07
j	-	0.069
k	k	1.0
kʰ	kʰ	0.684
kʰ	x	0.22
kʰ	cʰ	0.069
l	l	0.925
l̥	l	1.0
m	m	0.853
m	mː	0.106
n	n	0.861
n	nː	0.075
n	-	0.064
nː	nː	0.826
nː	n	0.174
n̥	n	1.0
p	p	1.0
r	ˈɛ	0.888
r	r	0.112
s	s	0.957
sː	sː	1.0
t	t	0.646
t	r	0.327
tʰ	θ	0.523
tʰ	tʰ	0.399
tʰ	-	0.051
tː	v	1.0
v	v	0.775
v	ð	0.078
v	w	0.055
w	ð	0.729
w	ɣ	0.164
w	-	0.058
ŋ	ŋ	1.0
ɑ	ɑ	1.0
ə	i	1.0
ɛ	ɑ	1.0
ɡ̊	ɡ	0.591
ɡ̊	ɣ	0.224
ɡ̊	-	0.146
ɡ̊ː	ɡː	1.0
ɪ	i	0.947
ɪ	u	0.053
ɲ	ŋ	1.0
ɹ	r	0.658
ɹ	-	0.252
ɹː	rː	1.0
ʃ	c	0.715
ʃ	s	0.285
ʈ	t	1.0
ʊ	-	0.867
ʊ̯ˈiː	ˈiː	1.0
ʎ	l	1.0
ʤ̊	ɟ	0.702
ʤ̊	d	0.298
ʤ̊ː	ɟː	0.641
ʤ̊ː	-	0.261
ʤ̊ː	j	0.098
ʧ	c	0.672
ʧ	ɟ	0.328
ʧʰ	cʰ	0.641
ʧʰ	θ	0.249
ʧʰ	tʰ	0.078
ʧː	-	1.0
ʰk	k	1.0
ʰkː	kː	1.0
ʰp	p	1.0
ʰpː	pː	1.0
ʰt	t	1.0
ʰtː	tː	1.0
ʰʧ	kː	0.678
ʰʧ	c	0.322
ʰʧː	cː	1.0
ˈa	ˈɑ	0.803
ˈa	-	0.103
ˈa	ˈa	0.068
ˈai̯	ˈɛi̯	1.0
ˈaːi̯	ˈɛi̯	1.0
ˈeə̯	ˈɛ	1.0
ˈeː	ˈe	0.665
ˈeː	ˈɛ	0.139
ˈeː	ˈi	0.114
ˈeː	ˈeː	0.082
ˈiː	ˈi	0.646
ˈiː	ˈy	0.204
ˈiː	ˈe	0.15
ˈoː	ˈo	1.0
ˈuː	ˈu	1.0
ˈøː	ˈøː	0.538
ˈøː	ˈɔ	0.336
ˈøː	ˈe	0.08
ˈœ	ˈɔ	0.481
ˈœ	ˈo	0.131
ˈœ	ˈe	0.106
ˈœ	ˈɑ	0.099
ˈœ	ˈoː	0.097
ˈœ	ˈɒu̯	0.085
ˈɔ	ˈo	0.542
ˈɔ	ˈɑ	0.175
ˈɔ	ˈɔ	0.174
ˈɔ	ˈɑː	0.109
ˈɔːi̯	ˈøy̯	1.0
ˈɔːu̯	ˈoː	0.789
ˈɔːu̯	ˈɔː	0.125
ˈɔːu̯	ˈyː	0.087
ˈɔ̯aː	ˈɑː	0.898
ˈɔ̯aː	ˈɛː	0.102
ˈɛ	ˈe	0.328
ˈɛ	ˈɑ	0.315
ˈɛ	ˈɛ	0.286
ˈɛːa̯	ˈɑ	0.395
ˈɛːa̯	ˈeː	0.306
ˈɛːa̯	ˈɛː	0.172
ˈɛːa̯	ˈa	0.064
ˈɛːi̯	ˈɑu̯	0.648
ˈɛːi̯	ˈɒu̯	0.179
ˈɛːi̯	ˈɛi̯	0.173
ˈɪ	ˈi	0.601
ˈɪ	ˈy	0.224
ˈɪ	ˈyː	0.087
ˈɪ	ˈoː	0.068
ˈʉːu̯	ˈuː	0.903
ˈʉːu̯	ˈu	0.097
ˈʊ	ˈu	0.895
ˈʊ̯iː	ˈiː	0.635
ˈʊ̯iː	j	0.157
ˈʊ̯iː	ˈyː	0.142
ˈʊ̯iː	ˈuː	0.066
ˈʏ	ˈuː	0.565
ˈʏ	ˈu	0.227
ˈʏ	ˈy	0.208
