Megleno-Romanian	Corsican	probability
a	ˈa	1.0
d	d	1.0
e̯ˈa	ˈɛ	1.0
f	f	1.0
j	-	1.0
kʲ	p	1.0
v	v	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ɲ	-	1.0
ʃ	-	1.0
ʎ	ʎ	1.0
ʒ	ɟ	1.0
ˈɔ	ˈa	1.0
n	n	0.761
o̯ˈa	ˈɔ	0.451
p	p_u	0.171
s	z	0.091
t	t_u	0.11
w	-	0.401
w	v	0.491
ʦ	ʧ	0.661
ˈa	ˈa	0.671
ˈi	ˈi	0.331
k	k_a	0.082
l	-	0.052
n	n_u	0.092
o̯ˈa	ˈo	0.212
r	r	0.82
ˈe	ˈɛ	0.682
i	a	0.123
l	l	0.653
r	-	0.063
t	tː	0.103
t	-	0.223
u	u	0.843
ə	a	0.73
ˈo	ˈu	0.253
ˈo	ˈɔ	0.433
ˈu	ˈu	0.373
k	kː	0.054
m	ɡ	0.064
n	-	0.084
r	l_u	0.054
z	-	0.14
ʦ	t	0.244
ˈa	ˈɛ	0.234
ˈo	ˈo	0.314
b	-	0.255
b	b	0.745
i	e	0.515
z	d	0.065
z	ɟ	0.795
ə	u	0.075
ʦ	k	0.095
l	lː_u	0.206
m	m	0.936
ə	e	0.196
k	k	0.707
o̯ˈa	u_#>	0.337
t	t_ˈe	0.07
t	t	0.47
u	o	0.157
ˈi	-	0.197
ˈu	ˈɔ	0.627
l	j	0.088
w	j	0.108
ˈe	ˈe	0.318
i	i	0.109
i	u	0.209
k	k_u	0.059
k	-	0.099
p	p	0.829
s	s	0.89
ˈi	ˈɛ	0.459
