Phone1	Phone2	Surprisal
a	a	0.0
b	b	1.001
b	bʲ	1.879
b	b̥	2.129
d	d	0.813
d	ʑ	1.705
d	-	3.011
d_ʊ	d̥	0.0
i	-	0.516
i	i	1.733
i_ˈ	i	0.353
i_ˈ	ɨ	2.205
j	j	0.0
k	k	0.253
k	kʲ	2.634
l	w	1.028
l	l	1.191
l	ɛ	3.806
lʲ	-	0.0
m	mʲ	0.982
m	m	1.019
n	n	0.106
n	nʲ	3.821
n_ɪ	ɲ	0.0
p	pʲ	0.625
p	p	1.508
r	rʲ	1.027
r	-	2.233
r	r	2.385
r	ʂ	3.248
r_ɑ	r_ɔ	0.0
r_ɪ	a_r	0.646
r_ɪ	r	1.47
rʲ	rʲ	0.0
s	s	0.0
s_ɑ	s_a	0.0
s_ʊ	s	0.0
t	ɕ	0.969
t	t	1.231
t	-	3.987
t_i	ɕ	0.0
t_ɑ	t_a	0.0
t_ɪ	ʨ	0.0
u	u	0.0
v	vʲ	0.694
v	v	1.389
v_ʊ	f	0.0
x	x	0.41
x	k	2.014
z	z	0.094
z	-	3.98
æ	ɪ	0.825
æ	ɛ	1.646
æ	a	3.11
æ_ˈ	e	0.0
ɑ	a	0.156
ɑ	ɔ	3.287
ɔ	ɔ	0.804
ɔ	ɛ	1.227
ɔ̃	u	0.0
ɛ	e	1.176
ɛ	ɔ	1.292
ɛ	ɛ	2.745
ɛ_ˈ	a	0.0
ɛ̃	e	1.25
ɛ̃	ɪ	1.6
ɛ̃	ɛ	2.002
ɛ̃_ˈ	ɪ	0.0
ɡ	ɡ	0.801
ɡ	-	1.72
ɡ	ɡʲ	3.027
ɡ_ʊ	ɡ̊	0.0
ɪ	-	0.952
ɪ	e	2.234
ɪ	a	2.704
ɪ	l	3.095
ɯ	ɨ	0.0
ʃ	-	0.0
ʊ	ɨ	0.625
ʊ	-	3.018
ʊ	i	3.413
ʊ	w	3.536
ʊ	k	4.383
ʒ	ʐ	0.382
ʒ	ʒ	2.104
ʦ	ʦ	0.0
ʧ	ʦ	0.0
ˈ	-	0.0
