Aromanian	French	probability
a	-	1.0
f	f	1.0
v	v	1.0
w	-	1.0
ç	f	1.0
ŋ	-	1.0
ɨ	-	1.0
ɲ	m	1.0
d	d	0.481
i	e	0.231
n	ɑ̃	0.121
o̯ˈa	ɥ	0.831
s	-	0.351
u	ɔ	0.371
ɡ	-	0.841
ʣ	d	0.71
ˈi	a	0.11
ˈu	y	0.441
b	b	0.862
e̯ˈa	w	0.062
i	a	0.292
k	ʃ	0.172
n	-	0.482
p	-	0.342
p	p	0.582
ʎ	j	0.212
ʣ	-	0.212
ʦ	-	0.472
ˈu	-	0.12
ˈu	ɔ̃	0.142
ˈɨ	ɛ̃	0.202
b	v	0.063
i	ɛ̃	0.123
l	o	0.243
r	-	0.293
ʎ	l	0.753
ʦ	s	0.483
e̯ˈa	w_a	0.124
e̯ˈa	ɛ	0.54
l	l	0.724
m	m	0.714
ə	ɛ	0.344
ʃ	s	0.584
ʤ	-	0.574
ˈa	-	0.404
ˈe	ɛ	0.134
ˈo	ø	0.214
ˈo	œ	0.264
b	-	0.075
e̯ˈa	-	0.275
j	-	0.105
j	v	0.895
k	p	0.085
t	t	0.305
t	-	0.695
ˈi	-	0.245
ˈi	i	0.645
ˈo	u	0.065
i	-	0.196
m	-	0.286
p	v	0.076
ə	a	0.656
ʃ	-	0.416
ʤ	ʒ	0.426
k	-	0.307
k	k	0.437
n	n	0.397
r	l	0.257
ˈe	w_a	0.337
ˈo	ɔ	0.457
ˈu	u	0.297
i	i	0.158
ʣ	ʒ	0.078
ˈa	a	0.098
ˈa	ɛ	0.498
ˈɨ	-	0.798
d	-	0.519
o̯ˈa	-	0.169
r	ʁ	0.449
s	s	0.649
u	-	0.629
ɡ	ɡ	0.159
ˈe	j_ɛ	0.529
