Northern Low Saxon	Westphalian	probability
aɪ̯	aɪ̯	1.0
b	b	0.7
b	p	0.3
d	d	0.551
d	t	0.422
f	f	0.769
f	v	0.132
f	l_v	0.075
h	h	1.0
i	ɪ	1.0
k	k	1.0
kʰ	k	1.0
l	l	0.968
m	m	0.767
m	v	0.118
n	n	0.975
p	p	1.0
pʰ	p	1.0
r	r	1.0
s	s	0.778
s	ʃ	0.126
s	z	0.096
t	t	1.0
tʰ	t	1.0
v	w	0.873
v	v	0.127
x	x	0.912
x	ɣ	0.088
z	s	0.994
ç	ç	0.832
ç	ɡ	0.168
ŋ	ŋ	0.898
ŋ	ɡ	0.102
ɐ	ɐ	0.753
ɐ	-	0.185
ɐ	ˈœː	0.062
ə	ɐ	1.0
ɡ	k	0.628
ɡ	x	0.361
ɪ	ɪ	1.0
ʃ	ʃ	1.0
ʒ	j	0.837
ʒ	-	0.163
ˈa	ˈa	0.925
ˈaɪ̯	ˈaɪ̯	0.634
ˈaɪ̯	ˈeː	0.297
ˈaʊ̯	ˈaʊ̯	0.459
ˈaʊ̯	ˈoː	0.318
ˈaʊ̯	-	0.092
ˈaʊ̯	ˈɔ	0.054
ˈaː	ˈa	0.508
ˈaː	ˈɪɛ̯	0.299
ˈaː	ˈaː	0.194
ˈeɪ̯	ˈeː	0.468
ˈeɪ̯	ˈɪɛ̯	0.459
ˈeɪ̯	ˈaɪ̯	0.073
ˈeː	ˈɪə̯	0.434
ˈeː	ˈɪɛ̯	0.273
ˈeː	ˈɛ	0.15
ˈeː	ˈiɛ̯	0.06
ˈiː	ˈiː	0.976
ˈoː	ˈɔː	0.61
ˈoː	ˈaː	0.105
ˈoː	ˈuə̯	0.087
ˈoː	ˈuːə̯	0.077
ˈoː	ˈœː	0.064
ˈuː	ˈuː	0.61
ˈuː	ˈʊ	0.268
ˈuː	ˈuə̯	0.073
ˈyː	ˈyː	1.0
ˈø	ˈɛ	1.0
ˈøː	ˈɪə̯	0.608
ˈøː	ˈuːə̯	0.222
ˈøː	ˈøː	0.106
ˈøː	ˈyːœ̯	0.065
ˈœ	ˈiɛ̯	0.701
ˈœ	ˈɛ	0.299
ˈœː	ˈɛ	0.64
ˈœː	ˈyə̯	0.36
ˈɔ	ˈɔ	0.569
ˈɔ	ˈuːə̯	0.374
ˈɔ	ˈʊ	0.057
ˈɔʏ̯	ˈøː	0.678
ˈɔʏ̯	ˈaɪ̯	0.193
ˈɔʏ̯	ˈœː	0.076
ˈɔʏ̯	ˈyː	0.054
ˈɔː	ˈuːə̯	1.0
ˈɛ	ˈɛ	0.706
ˈɛ	ˈɪɛ̯	0.294
ˈɛɪ̯	ˈeː	0.354
ˈɛɪ̯	ˈaɪ̯	0.323
ˈɛɪ̯	ˈɛː	0.323
ˈɛː	ˈiɛ̯	1.0
ˈɪ	ˈɪ	0.89
ˈɪ	ˈɛ	0.082
ˈʊ	ˈʊ	0.886
ˈʊ	ˈuː	0.071
ˈʏ	ˈʏ	0.384
ˈʏ	ˈa	0.248
ˈʏ	ˈø	0.211
ˈʏ	ˈʊ	0.091
ˈʏ	ɐ	0.066
