Hessian	Old West Norse	probability
ˈɛ̃ː	ˈɑ_ŋ	1.0
ˈɛː	-	1.0
ˈɑ̃i̯	ˈiː_n	1.0
ˈɑ_x	ˈɑː	1.0
ˈæ	j_ˈɑ	1.0
ˈõː	ˈo_n	1.0
ˈoĩ̯	ˈiː_u	1.0
ˈo	ˈu	1.0
ˈĩː	ˈøː_nː	1.0
ˈiː_ɐ	ˈeː_r̥	1.0
ˈẽː	ˈɑː	1.0
ˈe_n	nː	1.0
ˈãː	ˈɛi̯	1.0
ʣ̥	-	1.0
ʒ̊	ɣ	1.0
ʃ_t	tː_r̥	1.0
ʃ_d̥	s_t	1.0
ʀ	r	1.0
ɛː	ɑː	1.0
ɑ	ɑ_ð	1.0
ɐ	r	1.0
ŋ_ɡ̊	kː	1.0
ŋ	ŋ_ɡ	1.0
æ̆_t	ɾ	1.0
z̥	t	1.0
v̥	p	1.0
p	b	1.0
oː	ˈɑu̯	1.0
l_ˈi	l_j	1.0
i	ŋ	1.0
v	v	0.865
h	h	0.843
m	m	0.83
ˈuː	ˈoː	0.8
ˈɑ	ˈɑ	0.792
kʰ	kʰ	0.78
f	f	0.762
s	s	0.741
l	l	0.735
ɡ̊	ɟ	0.734
ˈɔ	ˈo	0.721
ˈeː	-	0.713
ˈai̯	ˈiː	0.694
b̥	b	0.686
ə	ɑ	0.683
ˈau̯	ˈuː	0.673
x	k	0.665
ˈu	ˈu	0.664
ˈoi̯	ˈyː	0.646
ˈa	ˈɑ	0.634
j	-	0.622
ˈi	ˈi	0.57
k	-	0.557
n	n	0.541
ˈe	-	0.523
ˈæː	j_ˈɔ	0.5
ˈæː	-	0.5
ˈe	ˈɛ	0.477
ɣ̊	-	0.473
ʦ	tʰ	0.467
d̥	ð	0.447
ˈɛ	ˈe	0.417
ɣ̊	ɣ	0.393
j	ˈɑː	0.378
ˈoː	ˈɑː	0.375
t	d	0.365
ˈaː	ˈɛi̯	0.364
ˈiː	j_ˈoː	0.358
ˈoi̯	-	0.354
x	-	0.335
ˈɛ	-	0.333
ˈiː	-	0.327
ˈau̯	-	0.327
ˈɑː	ˈɑ_r	0.322
ˈiː	j_ˈuː	0.316
ˈai̯	-	0.306
ˈoː	-	0.304
æ̆	r̥	0.299
ˈeː	ˈɛː	0.287
ˈɔ	-	0.279
ʦ	tː	0.276
t	θ	0.274
d̥	d	0.267
ɡ̊	cː	0.266
ˈɑː	ˈɑ	0.263
ʦ	t	0.257
ˈɛ	ˈɑ	0.25
ˈaː	ˈɑ	0.245
k	ɡ	0.24
æ̆	i_r	0.239
ˈɑː	r	0.226
ˈaː	ˈɑu̯	0.225
æ̆	r̥ː	0.224
kʰ	cʰ	0.22
b̥	v	0.22
d̥	θ	0.216
ˈɑ	ˈa	0.208
ʃ	k	0.208
l	lː	0.205
s	t	0.203
k	kʰ	0.203
ʃ	s	0.202
ˈuː	-	0.2
ʃ	s_k	0.192
t	tː	0.19
ˈɑː	-	0.189
ˈa	ˈɛ	0.188
ˈi	ˈy	0.182
ˈa	ˈɔ	0.178
n	n_d	0.167
ˈaː	ˈøy̯	0.166
ˈoː	ˈɑu̯	0.162
ˈoː	ˈo	0.158
h	ç	0.157
ʃ	s_c	0.142
ˈu	ˈo	0.141
ʃ	ɡ	0.138
n	nː	0.138
ɣ̊	ʝː	0.134
t	t	0.127
f	p	0.126
ˈi	ˈe	0.125
ʃ	ɣ	0.119
æ̆	r_i	0.119
æ̆	i	0.119
ˈu	ˈoː	0.108
ə	a	0.108
b̥	f_r̥	0.094
m	mː	0.089
ˈu	ˈɔː	0.087
m	-	0.081
ə	n	0.079
ə	j_ɑ	0.079
v	-	0.076
ˈi	-	0.074
f	v	0.074
d̥	t	0.069
n	-	0.063
l	l̥	0.06
v	x_w	0.059
s	s_j	0.057
ə	-	0.052
