Asturian	Neapolitan	probability
f	f	1.0
p	p	1.0
w	w	1.0
ð	t	1.0
ɡ	ɡ	1.0
ʧ	tː	1.0
ˈa	ˈa	1.0
e	e	0.131
i	i	0.81
k	k	0.821
t	tː	0.211
t	t	0.721
ɲ	ɲː	0.521
ɾ	ɾ	0.511
ʎ	lː	0.091
ˈe	-	0.061
ˈe	ə	0.101
ˈo	ˈu	0.381
a	ə	0.722
j	-	0.322
m	m	0.742
ŋ	-	0.102
ɲ	nː	0.312
ʃ	ʤ	0.892
ˈe	ˈi	0.152
ˈo	ˈɔ	0.392
ˈu	ˈo	0.072
ˈu	ˈu	0.902
β	-	0.202
d	d	0.823
e	i	0.153
s	s	0.573
ŋ	ŋ	0.353
ˈe	ˈe	0.203
r	r	0.804
ɣ	ɡ	0.164
ɾ	ɾ_ə	0.244
ˈi	-	0.054
β	p	0.264
β	v	0.534
θ	-	0.314
b	v	0.925
l	lː_ə	0.095
l	l_ə	0.125
ŋ	n_ə	0.545
ʝ	-	0.505
ˈe	ˈɔ	0.085
ˈi	ˈe	0.075
θ	ʃː	0.15
l	ɾ	0.196
l	l	0.506
s	-	0.226
ɾ	-	0.066
ʝ	kː_j	0.276
ˈe	ˈa	0.076
a	ˈa	0.067
d	-	0.177
l	lː	0.057
o	-	0.07
o	w	0.137
o	ə	0.287
u	ə	0.967
ɲ	n	0.167
ʎ	l	0.697
a	a	0.198
j	j	0.678
m	mː	0.258
o	u	0.458
r	-	0.158
s	ʃ	0.178
t	ʦ	0.068
ɣ	k	0.718
ɾ	r	0.088
ʃ	-	0.108
ʝ	j	0.08
ʝ	ʎː	0.138
θ	ʃ_ə	0.098
θ	ʃ	0.438
e	ə	0.689
i	-	0.19
k	kː	0.179
n	n	0.969
ɣ	-	0.119
ʎ	k_j	0.149
ˈe	ˈɛ	0.309
ˈi	ˈi	0.839
ˈo	ˈo	0.179
