Slovak	Upper Sorbian	probability
a	a	1.0
c	ʧ	1.0
d	d	1.0
f	p	1.0
j	j	1.0
n	n	1.0
s	s	1.0
v	β	1.0
z	z	1.0
ɟ	ʤ	1.0
ɦ	ɦ	1.0
ɲ	ɲ	1.0
ʃ	ʃ	1.0
ʎ	l	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ˈaː	ˈa	1.0
ˈr̩	ˈe_ʀ	1.0
ˈu	ˈu	1.0
ˈuː	ˈu	1.0
p	p	0.621
x	xʲ	0.261
ɔ	-	0.231
ɛ	ɛ	0.391
ɪ̯ˈɛ	ˈɔ	0.241
ɫ	w	0.871
ˈa	ˈa	0.551
b	bʲ	0.2
l	w	0.23
m	mʲ	0.553
ˈa	ˈɔ	0.213
ʋ	ɥ	0.624
ˈi	ˈɪ	0.384
ˈɔ	ˈo	0.24
ˈɔ	ˈɔ	0.714
ˈɛ	e	0.054
i	i	0.105
i	ɪ	0.895
iː	i	0.325
iː	ɪ	0.675
k	kʲ	0.065
k	k	0.935
r	-	0.095
ɛ	ˈɔ	0.155
ˈɛ	ˈɛ	0.315
ˈɫ̩	<#_β	0.285
ˈɫ̩	ˈɔ_w	0.715
ɛ	ˈɛ	0.206
ʋ	β	0.376
ˈa	ˈo	0.236
ˈi	ˈi	0.616
ˈɛ	ˈɔ	0.236
l	l	0.77
m	m	0.447
r	ʀʲ	0.277
ˈɛ	ɛ	0.057
b	b	0.8
t	t	0.968
ɛ	ɔ	0.248
ˈɛ	ˈe	0.338
p	pʲ	0.379
r	ʀ	0.629
x	x	0.739
ɔ	ɔ	0.769
ɪ̯ˈɛ	ˈe	0.759
ɫ	l	0.129
