Luxembourgish	West Frisian	probability
b	b	1.0
d	d	0.738
d	t	0.23
e	ɪ	1.0
f	f	0.697
f	p	0.28
h	h	1.0
j	j	1.0
k	ɣ	0.281
k	k	0.257
k	χ	0.213
k	ŋ	0.162
k	-	0.087
kʰ	k	0.783
kʰ	ʦ	0.17
l	l	0.91
l	-	0.09
m	m	0.871
m	-	0.129
n	n	0.935
n	-	0.055
p	p	0.707
p	t	0.293
s	t	0.537
s	s	0.41
t	t	0.835
t	-	0.083
t	d	0.082
tʰ	t	1.0
v	v	0.451
v	ʋ	0.383
v	-	0.151
w	v	0.873
w	-	0.127
z	s	0.912
ŋ	ŋ	0.669
ŋ	n	0.31
ɐ	r	0.473
ɐ	ə_r	0.279
ɐ	-	0.248
ɕ	χ	0.644
ɕ	k	0.327
ə	ə	0.649
ə	-	0.219
ə	j_ə	0.123
ɡ	ɡ	0.791
ɡ	j	0.185
ʀ	r	0.755
ʀ	-	0.201
ʃ	s	1.0
ʑ	ɣ	1.0
ʦ	t	0.907
ʦ	ʦ	0.093
ˈaː	ˈa	0.275
ˈaː	ˈɪə̯	0.258
ˈaː	ˈɛː	0.206
ˈaː	ˈɛ	0.082
ˈaː	ˈaː	0.081
ˈaː	ˈɔː	0.059
ˈe	ˈɪ	0.432
ˈe	ˈiə̯	0.213
ˈe	ˈɔ	0.159
ˈe	ˈɛː	0.14
ˈe	ˈy	0.056
ˈeː	ˈiə̯	0.486
ˈeː	ˈɛi̯	0.229
ˈeː	ˈaː	0.08
ˈi	ˈeː	0.446
ˈi	ˈaː	0.155
ˈi	ˈiə̯	0.133
ˈi	ˈuə̯	0.122
ˈi	ˈɪ	0.097
ˈiə̯	ˈeː	0.263
ˈiə̯	ˈi	0.182
ˈiə̯	ˈɔ	0.175
ˈiə̯	ˈiə̯	0.166
ˈiə̯	ˈaː	0.11
ˈiə̯	ˈɪə̯	0.104
ˈiː	j	0.15
ˈiː	ˈi	0.135
ˈiː	ˈɪə̯	0.135
ˈiː	ˈɛ	0.119
ˈiː	-	0.094
ˈiː	ˈɛi̯	0.09
ˈiː	ˈɪ	0.077
ˈiː	ˈeː	0.056
ˈo	ˈɔ	0.488
ˈo	ˈu	0.104
ˈo	ˈuə̯	0.104
ˈo	ˈuː	0.104
ˈo	-	0.098
ˈoː	ˈiə̯	0.43
ˈoː	ˈaː	0.147
ˈoː	ˈø	0.14
ˈoː	ˈɪ	0.14
ˈoː	ˈɪə̯	0.073
ˈoː	ˈɛi̯	0.07
ˈu	ˈa	0.282
ˈu	ˈoː	0.227
ˈu	ˈy	0.186
ˈu	ˈɪ	0.123
ˈu	ˈuə̯	0.101
ˈu	ˈiə̯	0.058
ˈuə̯	ˈa	0.561
ˈuə̯	ˈoə̯	0.216
ˈuə̯	ˈɔ	0.136
ˈuə̯	ˈuː	0.088
ˈuː	ˈɔ	0.369
ˈuː	ˈoə̯	0.257
ˈuː	ˈɪ	0.243
ˈuː	ˈuə̯	0.132
ˈæ	ˈuə̯	0.893
ˈæ	ˈɪ	0.107
ˈæːɪ̯	ˈi	0.474
ˈæːɪ̯	ˈiː	0.291
ˈæːɪ̯	ˈɛ	0.185
ˈæːɪ̯	ˈyː	0.051
ˈæːʊ̯	ˈuː	0.971
ˈɑ	ˈɪ	0.271
ˈɑ	ˈɔː	0.175
ˈɑ	ˈi	0.123
ˈɑ	ˈiː	0.11
ˈɑ	ˈa	0.102
ˈɑ	ˈaː	0.084
ˈɑ	ˈɛi̯	0.072
ˈɑɪ̯	ˈuː	0.395
ˈɑɪ̯	j	0.333
ˈɑɪ̯	ˈɛ_j	0.198
ˈɑɪ̯	ˈyː	0.056
ˈɑʊ̯	ˈɔu̯	0.423
ˈɑʊ̯	ˈuː	0.249
ˈɑʊ̯	ˈuə̯	0.19
ˈɑʊ̯	ˈoː	0.139
ˈɔ	ˈu	0.602
ˈɔ	ˈuː	0.398
ˈə	ˈɪ	0.513
ˈə	ˈi	0.101
ˈə	ˈu	0.083
ˈə	ˈiː	0.075
ˈə	ˈøə̯	0.075
ˈəʊ̯	ˈoə̯	0.433
ˈəʊ̯	ˈɪə̯	0.366
ˈəʊ̯	ˈuə̯	0.071
ˈəʊ̯	ˈuː	0.071
ˈəʊ̯	ˈoː	0.059
ˈɛ	ˈɪ	0.398
ˈɛ	ˈɛ	0.382
ˈɛ	ˈɛi̯	0.22
ˈɛː	ˈø	0.328
ˈɛː	ˈiə̯	0.285
ˈɛː	ˈɛ	0.194
ˈɛː	ˈɛː	0.194
ˈɜɪ̯	ˈiə̯	0.3
ˈɜɪ̯	ˈɪə̯	0.243
ˈɜɪ̯	j	0.188
ˈɜɪ̯	ˈiː	0.082
ˈɜɪ̯	ˈeː	0.065
ˈʊ	ˈuə̯	0.649
ˈʊ	ˈɔ	0.351
χ	k	0.841
χ	-	0.133
