Catalan	Catalan	probability
ˈɛ_k	ˈe_k	1.0
ˈɔ_n	ˈo_n	1.0
ˈo_t	ˈu_t	1.0
ˈo_#>	o_#>	1.0
ˈi_#>	ˈi_r_#>	1.0
ˈa	ˈa	1.0
ʎː	j	1.0
ʎ_ə	a	1.0
ʎ_#>	o_#>	1.0
ʃ	s	1.0
ɾ_ˈa	r_ˈa	1.0
ɣ	ɡ	1.0
ə_β	a_v	1.0
t_ə	t_a	1.0
r_n	r_n	1.0
r_#>	r_o_#>	1.0
r	r	1.0
mː	e_m	1.0
m_#>	m_e_#>	1.0
k_ɾ	k_r	1.0
k_l	ʧ	1.0
j_t	t_o	1.0
j	-	1.0
f	f	1.0
d_ɾ	a_r	1.0
a	a	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_ə	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
p	p	0.944
s	s	0.927
m	m	0.897
t	t	0.885
k	k	0.872
ˈi	ˈi	0.828
ʒ	z	0.8
u	o	0.778
ˈe_ʎ	ˈɛ_o	0.75
ɲ	ɲ	0.75
ˈo	ˈo	0.737
ə	a	0.713
ɾ	r	0.696
n	n	0.684
<#_ʎ	<#_ɰ	0.667
ˈɔ	ˈɔ	0.649
n_#>	ŋ_t_o_#>	0.625
β	v	0.6
z	z	0.6
l_#>	ɰ_o_#>	0.6
ɾ_ə	r_o	0.583
ɡ	ɡ	0.571
s_#>	i_#>	0.571
b	v	0.515
#>	o_#>	0.513
ð	d	0.5
ð	-	0.5
ˈɛ	ˈe	0.486
ʎ	ʧ	0.455
ˈe	ˈɛ	0.44
ˈe	ˈe	0.44
ɡ	ʤ	0.429
ŋ	ŋ	0.429
s_#>	#>	0.429
b	b	0.424
ɾ_ə	r	0.417
β	-	0.4
z	-	0.4
l_#>	l_#>	0.4
i	i	0.4
i	-	0.4
ˈu	ˈu	0.393
n_#>	ŋ_t_e_#>	0.375
ˈɔ	ˈo	0.351
<#_ʎ	<#	0.333
n	ŋ	0.316
l	j	0.308
ŋ	ŋ_ɡ	0.286
ŋ	ŋ_k	0.286
ʎ	ˈɛ	0.273
ʎ	ɰ	0.273
ˈɛ	ˈɛ	0.27
l	ɰ	0.269
l	l	0.269
ˈe_ʎ	ˈɛ	0.25
ɲ	n	0.25
#>	r_#>	0.237
w	w	0.222
w	e	0.222
u	-	0.222
ˈu	ˈɔ	0.214
ʒ	-	0.2
i	j	0.2
#>	ŋ_#>	0.197
w	v_e	0.185
ˈu	ˈo	0.179
ɾ	a_r	0.174
ˈi	-	0.172
ə	e	0.168
ˈo	ˈo_r	0.158
w	-	0.148
ɾ	-	0.13
k	ɡ	0.128
ˈe	ˈa	0.12
t	d_o	0.115
ˈo	ˈɔ_ʧ	0.105
m	ŋ	0.103
ˈɛ	-	0.081
l	o	0.077
l	-	0.077
w	z_e	0.074
w	v_o	0.074
w	s_o	0.074
ˈu	ˈu_r	0.071
ˈu	ˈu_n	0.071
ˈu	ˈi	0.071
b	z_v	0.061
ə	o	0.059
p	-	0.056
ˈɛ	ˈo_z	0.054
ˈɛ	ˈe_d	0.054
ˈɛ	j_ˈe	0.054
