Gothic	Gothic	probability
θ_#>	ð_#>	1.0
θ	ð	1.0
β	v	1.0
ˈɔː_s	ˈɛːi̯_r	1.0
ˈuː	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈi_s	ˈɪ_s	1.0
ˈi_j	ˈai̯	1.0
ʍ	kʰ_v	1.0
ɡʷː	ɡ̊	1.0
ɡʷ	ɟ̊	1.0
ɔː	a	1.0
ŋ_k	sː	1.0
z	-	1.0
x	-	1.0
w_ˈa	ˈou̯	1.0
t_oː	ʰt͡n̥	1.0
s_#>	#>	1.0
r_n	r_t͡n̥	1.0
nː	nː	1.0
n_θ	nː	1.0
n_s	t͡n̥	1.0
n_#>	#>	1.0
m	m	1.0
lː	t͡l̥	1.0
l_θ	t͡l̥	1.0
k_#>	x_#>	1.0
j	-	1.0
h_t	ʰt	1.0
e	-	1.0
d_a	ɡ̊ː	1.0
d	d̥	1.0
aː	-	1.0
a_r	ɪ_r̥	1.0
a_n	a	1.0
<#_θ	<#_θ	1.0
<#_ˈu	<#	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_w	<#	1.0
<#_t	<#_tʰ	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
t	t	0.905
b	b̥	0.882
ŋ	ŋ	0.857
i	-	0.818
w	v	0.8
f	f	0.789
ˈoː	ˈoːu̯	0.75
n	n	0.739
ˈɔ	ˈɔ	0.714
ɣ	-	0.667
oː	a	0.643
a	-	0.636
ˈɔː	ˈœːy̯	0.625
ɡ	ɡ̊	0.625
p	p	0.625
k	k	0.615
u	ʏ	0.6
#>	ð_#>	0.6
l	l	0.591
ˈu	ˈʏ	0.588
h	h	0.542
r	r	0.538
ˈɛ	j	0.5
ˈeː	ˈɑːu̯	0.5
ˈeː	-	0.5
ð	ð	0.5
ð	-	0.5
iː	ʏ	0.5
iː	-	0.5
s	ʏ_r̥	0.483
u	-	0.4
#>	ˈɛː_#>	0.4
s	r̥	0.379
ˈɔː	-	0.375
p	ʰp	0.375
oː	-	0.357
ˈa	ˈa	0.344
ˈiu̯	j_ˈuː	0.333
ˈiu̯	j	0.333
ɣ	ɟ̊ː	0.333
r	r̥	0.308
k	c	0.308
ˈɔ	ˈœːy̯	0.286
ˈɛː	ˈɛi̯	0.273
ˈɛː	-	0.273
l	l̥	0.273
ˈɛ	ˈɛ	0.25
ˈɛ	j_ˈœ	0.25
ˈoː	-	0.25
h	-	0.25
ˈi	ˈɪ	0.241
ˈu	-	0.235
f	v_ʏ	0.211
w	ˈoːu̯	0.2
ˈa	ˈaː	0.188
ɡ	ɟ̊	0.188
ɡ	-	0.188
ˈɛː	ˈɛːi̯	0.182
ˈɛː	j	0.182
i	ɛ	0.182
a	ʏ_r̥	0.182
a	ɪ	0.182
ˈu	ˈu	0.176
n	-	0.174
ˈi	ˈɪː	0.172
ˈiu̯	ˈiː	0.167
ˈiu̯	-	0.167
ŋ	ɲ	0.143
ˈi	j	0.138
s	s	0.138
l	t͡l̥	0.136
ˈa	ˈɛ	0.125
h	ç	0.125
b	v	0.118
ˈi	ˈɛː	0.103
ˈi	ˈi	0.103
ˈi	-	0.103
t	ʰt	0.095
ˈa	ˈɑu̯	0.094
ˈɛː	ˈeːi̯	0.091
n	a	0.087
h	ˈɔu̯	0.083
r	ɪ_r̥	0.077
r	-	0.077
k	cʰ	0.077
ˈi	ˈɛ	0.069
ˈi	j_ˈɛː	0.069
ˈa	ˈɛː	0.062
ˈa	ˈœ	0.062
ˈa	ˈau̯	0.062
ˈa	-	0.062
