North Frisian	German	probability
b	b	0.946
d	t	0.415
d	tʰ	0.343
d	d	0.152
d	s	0.058
dʲ	t	0.848
dʲ	d	0.152
f	f	0.864
f	p	0.136
h	h	1.0
i	ɪ	0.862
i	-	0.138
j	ɡ	0.384
j	-	0.257
j	k	0.118
j	ˈiː	0.109
j	ˈeː	0.07
k	kʰ	0.316
k	ç	0.284
k	x	0.231
k	k	0.159
l	l	0.977
lʲ	l_t	0.812
lʲ	l	0.111
lʲ	ɐ	0.077
m	m	0.925
m	-	0.075
n	n	0.882
n	n_t	0.071
nʲ	n	0.543
nʲ	n_t	0.457
p	f	0.845
p	p͡f	0.117
r	ɐ	0.641
r	ʁ	0.359
s	z	0.432
s	s	0.212
s	ʃ	0.162
s	-	0.065
t	ʦ	0.32
t	t	0.286
t	s	0.188
t	d	0.166
tʲ	s	0.724
tʲ	d	0.169
tʲ	t	0.107
v	v	0.631
v	b	0.206
v	f	0.143
w	ə	0.853
w	ˈɔʏ̯	0.147
x	ç	0.606
x	x	0.394
z	s	0.491
z	z	0.238
z	ʁ	0.234
ŋ	ŋ	0.614
ŋ	ç	0.254
ŋ	-	0.132
ə	ə	0.392
ə	-	0.377
ə	n	0.177
ɛi̯	eː	1.0
ɡ	ɡ	1.0
ʃ	ʃ	0.928
ʃ	kʰ	0.066
ˈa	ˈɛ	0.276
ˈa	ˈa	0.174
ˈa	-	0.171
ˈa	ɐ	0.137
ˈa	ˈɪ	0.101
ˈa	ˈʏ	0.076
ˈa	ˈaɪ̯	0.058
ˈai̯	ˈɪ	0.697
ˈai̯	ˈɔʏ̯	0.244
ˈai̯	ˈaɪ̯	0.059
ˈaː	ˈoː	0.398
ˈaː	ˈɔ	0.395
ˈaː	ˈɪ	0.207
ˈeː	ˈɛ	0.214
ˈeː	ˈiː	0.18
ˈeː	ˈʏ	0.154
ˈeː	ˈa	0.137
ˈeː	ˈaː	0.12
ˈeː	ˈeː	0.078
ˈeː	ˈɪ	0.073
ˈi	ˈaɪ̯	0.511
ˈi	ˈɪ	0.315
ˈi	ˈeː	0.091
ˈi	ˈøː	0.082
ˈiː	ˈiː	0.285
ˈiː	ˈaɪ̯	0.245
ˈiː	ˈeː	0.149
ˈiː	ˈøː	0.11
ˈiː	ˈɔʏ̯	0.069
ˈiː	ˈɪ	0.062
ˈuː	ˈaʊ̯	0.326
ˈuː	ˈa	0.225
ˈuː	ˈɛː	0.125
ˈuː	ˈoː	0.119
ˈuː	ˈɔ	0.118
ˈuː	ˈeː	0.087
ˈyː	ˈoː	0.199
ˈyː	ˈaʊ̯	0.195
ˈyː	ˈɔʏ̯	0.183
ˈyː	ˈuː	0.095
ˈyː	ˈaː	0.081
ˈyː	ˈʊ	0.063
ˈyː	ˈaɪ̯	0.051
ˈyː	ˈøː	0.051
ˈøː	ˈaʊ̯	0.398
ˈøː	ˈoː	0.227
ˈøː	ˈɔʏ̯	0.164
ˈøː	ˈɔ	0.142
ˈœ	ˈa	0.456
ˈœ	ˈuː	0.152
ˈœ	ˈɪ	0.152
ˈœ	ˈoː	0.118
ˈœ	ˈʊ	0.079
ˈɒ	ˈa	0.522
ˈɒ	ˈaː	0.225
ˈɒ	ˈaɪ̯	0.152
ˈɒ	ˈɪ	0.1
ˈɒː	ˈa	0.693
ˈɒː	ˈaː	0.148
ˈɒː	ˈaɪ̯	0.112
ˈɔ	ˈɔ	0.736
ˈɔ	ˈyː	0.16
ˈɔ	ˈʊ	0.104
ˈɔi̯	ˈaɪ̯	1.0
ˈɔu̯	ˈoː	0.662
ˈɔu̯	ˈaɪ̯	0.139
ˈɔu̯	ˈyː	0.07
ˈɔu̯	-	0.056
ˈɔː	ˈa	0.334
ˈɔː	ˈaː	0.185
ˈɔː	ˈɔ	0.111
ˈɔː	ˈœ	0.086
ˈɔː	ˈiː	0.073
ˈɔː	ˈɪ	0.073
ˈɔː	ˈɛː	0.052
ˈɛ	ˈuː	0.302
ˈɛ	ˈyː	0.263
ˈɛ	ˈɪ	0.22
ˈɛ	ˈɛ	0.215
ˈɛi̯	ˈaː	0.52
ˈɛi̯	ˈyː	0.174
ˈɛi̯	ˈiː	0.131
ˈɛi̯	ˈɛː	0.092
ˈɛi̯	ˈeː	0.083
ˈɛː	ˈaː	0.698
ˈɛː	ˈɛ	0.221
ˈɛː	ˈeː	0.081
ˈʊ	ˈʊ	0.361
ˈʊ	ˈa	0.252
ˈʊ	ˈɔ	0.147
ˈʊ	ˈɪ	0.136
ˈʏ	ˈɛ	0.411
ˈʏ	ˈɔʏ̯	0.233
ˈʏ	ˈaʊ̯	0.143
ˈʏ	ˈʏ	0.132
ˈʏ	ˈɔ	0.081
