Northern Low Saxon	Nynorsk Norwegian	probability
b	b	0.705
b	p	0.249
b	-	0.046
d	d	0.342
d	t	0.273
d	-	0.209
d	tʰ	0.14
d	çː	0.025
d_ɐ	ɾ	0.479
f	f	0.737
f	ʋ	0.159
f	-	0.094
h	h	1.0
i	e	0.479
j	j	0.229
k	ʰkː	0.66
k	ç	0.151
kʰ	kʰ	1.0
l	l	0.786
l	lː	0.124
l	-	0.064
l	nː	0.029
m	m	0.74
m	-	0.122
m	ʋ_ɑ	0.077
m	ʋ	0.037
m	mː	0.033
n	n	0.48
n	ɑ	0.212
n	-	0.164
n	nː	0.137
n_d	nː	1.0
p	p	0.479
r	ɾ	1.0
s	s	0.81
s	s_e	0.096
s	-	0.052
s	sː	0.043
t	t	0.457
t	-	0.339
t	ç	0.122
t	n	0.064
tʰ	tʰ	0.855
tʰ	ç	0.119
v	ʋ	0.517
v	-	0.343
v	kʰ_ʋ	0.082
v	v	0.053
v_ˈʊ	ˈʉ	1.0
x	ɡ	0.646
x	ʰtː	0.22
x	-	0.088
x_d	ʰtː	1.0
z	s	0.777
z	ʃ	0.215
ç	ɡ	0.315
ç	-	0.305
ç	ʰtː	0.253
ç	ɡː	0.092
ŋ	ŋː	0.589
ŋ	-	0.214
ŋ	ɑ	0.107
ŋ	ɡ	0.079
ɐ	ɾ	0.555
ɐ	e_ɾ	0.125
ɐ	-	0.093
ɐ	ɾ_e	0.081
ɐ	ɑ	0.062
ɐ_d	ɾ	1.0
ə	ˈøː	0.229
ɡ	ɡ	0.456
ɡ	k	0.251
ɡ	j	0.124
ɡ	ɡː	0.087
ɡ	ʰkː	0.061
ɪ	e	0.269
ɪ	ŋ	0.234
ɪ	ɑ	0.129
ʃ	s	0.516
ʃ	ʃ	0.25
ʃ	s_k	0.217
ʒ	-	1.0
ˈa	ˈɑ	0.511
ˈa	ˈɑː	0.182
ˈa	ˈɔ	0.102
ˈa	ˈɛ	0.102
ˈa	ˈɑ_ɾ	0.058
ˈaɪ̯	ˈyː	0.176
ˈaɪ̯	ˈʉː	0.142
ˈaɪ̯	ˈiː	0.131
ˈaɪ̯	ˈæɪ̯	0.114
ˈaɪ̯	ˈeː	0.114
ˈaʊ̯	ˈuː	0.338
ˈaʊ̯	ˈæʉ̯	0.293
ˈaʊ̯	ˈʊ	0.09
ˈaʊ̯	ˈoː	0.075
ˈaʊ̯	ˈœʏ̯	0.073
ˈaʊ̯_d	ˈuː	1.0
ˈaː	ˈɑ_ɾ	0.364
ˈaː	ˈæ	0.095
ˈaː	ˈɑ	0.06
ˈeɪ̯	ˈɛ	0.316
ˈeɪ̯	ˈøː	0.174
ˈeɪ̯	ˈyː	0.046
ˈeː	ˈeː	0.333
ˈeː	ˈɛː	0.141
ˈeː	ˈoː	0.1
ˈeː	ˈʉː	0.093
ˈeː	ˈiː	0.087
ˈiː	ˈiː	0.641
ˈiː	ˈeː	0.139
ˈiː	ˈyː	0.105
ˈiː	ˈɛ	0.105
ˈiː_d	ˈiː	1.0
ˈoː	ˈoː	0.384
ˈoː	ˈɑː	0.212
ˈoː	ˈɑ	0.152
ˈoː	ˈɔ	0.074
ˈoː	ˈœ	0.057
ˈuː	ˈʉː	0.775
ˈuː	ˈuː	0.096
ˈuː	ˈʉ	0.074
ˈuː	ˈʊ	0.035
ˈyː	ˈyː	0.549
ˈyː	ˈʏ	0.173
ˈyː	ˈɛ	0.16
ˈø	ˈɛ	0.363
ˈø	ˈʏ	0.174
ˈøː	ˈʉː	0.484
ˈøː	ˈɔ	0.153
ˈøː	ˈoː	0.105
ˈøː	ˈɑː	0.091
ˈœ	ˈɔ	1.0
ˈœː	ˈʉ	0.316
ˈœː	ˈɛ	0.316
ˈɔ	ˈʏ	0.317
ˈɔ	ˈɔ	0.276
ˈɔ	ˈʉː	0.209
ˈɔ	ˈɑ	0.132
ˈɔʏ̯	ˈøː	0.45
ˈɔʏ̯	ˈœʏ̯	0.267
ˈɔʏ̯	-	0.153
ˈɔʏ̯	ˈʊ	0.101
ˈɔː	ˈɔ	1.0
ˈɛ	ˈɛ	0.267
ˈɛ	j	0.233
ˈɛ	ˈɑː	0.153
ˈɛ	ˈɛː	0.105
ˈɛ	ˈœ	0.105
ˈɛɪ̯	ˈɛ	0.574
ˈɛɪ̯	ˈæɪ̯	0.275
ˈɪ	ˈɪ	0.454
ˈɪ	ˈiː	0.131
ˈɪ	ˈæɪ̯	0.12
ˈɪ	ˈeː	0.111
ˈɪ	ˈɛ	0.111
ˈʊ	ˈʉ	0.509
ˈʊ	ˈʊ	0.395
ˈʊ	ˈɔ	0.071
ˈʏ	ˈʏ	0.796
ˈʏ	ˈɛ	0.202
