Northern Low Saxon	Nynorsk Norwegian	probability
#>	#>	0.761
#>	e_#>	0.106
#>	ɑ_#>	0.069
<#	<#	1.0
<#_v	<#	1.0
<#_ʒ	<#	1.0
b	b	0.689
b	p	0.273
d	d	0.368
d	t	0.272
d	tʰ	0.152
d	-	0.13
d_#>	#>	1.0
d_ɐ	ɾ	1.0
f	f	0.738
f	ʋ	0.177
f	-	0.078
h	h	1.0
i	e	0.479
j	j	0.229
k	ʰkː	0.66
k	ç	0.151
kʰ	kʰ	1.0
l	l	0.795
l	lː	0.123
l	-	0.055
m	m	0.808
m	ʋ	0.108
m_#>	#>	1.0
n	n	0.451
n	ɑ	0.216
n	nː	0.189
n	-	0.139
p	p	0.479
r	ɾ	1.0
s	s	0.815
s	s_e	0.1
t	t	0.584
t	-	0.157
t	ç	0.157
t	n	0.076
t_#>	#>	1.0
tʰ	tʰ	0.855
tʰ	ç	0.119
v	ʋ	0.617
v	-	0.213
v	kʰ_ʋ	0.098
v	v	0.06
x	ɡ	0.646
x	ʰtː	0.22
x	-	0.088
x_d	ʰtː	1.0
z	s	0.777
z	ʃ	0.215
ç	ɡ	0.433
ç	ʰtː	0.348
ç	ɡː	0.115
ç	s	0.054
ç_#>	#>	1.0
ŋ	ŋː	0.589
ŋ	-	0.214
ŋ	j	0.107
ŋ	ɡ	0.079
ɐ	ɾ	0.609
ɐ	-	0.158
ɐ	e_ɾ	0.134
ɐ_d	ɾ	1.0
ə	ˈøː	0.229
ɡ	ɡ	0.456
ɡ	k	0.251
ɡ	j	0.108
ɡ	ɡː	0.087
ɡ	ʰkː	0.07
ɪ	e	0.269
ɪ	ŋ	0.234
ɪ	ɑ	0.129
ʃ	s	0.494
ʃ	s_k	0.247
ʃ	ʃ	0.239
ˈa	ˈɑ	0.541
ˈa	ˈɑː	0.183
ˈa	ˈɔ	0.103
ˈa	ˈɛ	0.089
ˈaɪ̯	ˈyː	0.166
ˈaɪ̯	ˈʉː	0.153
ˈaɪ̯	ˈiː	0.123
ˈaɪ̯	ˈeː	0.107
ˈaɪ̯	ˈæɪ̯	0.107
ˈaɪ̯	ˈuː	0.086
ˈaɪ̯	ˈæːɪ̯	0.071
ˈaɪ̯	ˈøː	0.059
ˈaɪ̯	ˈoː	0.056
ˈaʊ̯	ˈuː	0.415
ˈaʊ̯	ˈæʉ̯	0.26
ˈaʊ̯	ˈʊ	0.079
ˈaʊ̯	ˈoː	0.068
ˈaʊ̯	ˈœʏ̯	0.066
ˈaʊ̯	ˈʉː	0.052
ˈaː	ˈɑ_ɾ	0.364
ˈaː	ˈæ	0.095
ˈaː	ˈɑ	0.06
ˈeɪ̯	ˈɛ	0.316
ˈeɪ̯	ˈøː	0.174
ˈeː	ˈeː	0.333
ˈeː	ˈɛː	0.141
ˈeː	ˈoː	0.1
ˈeː	ˈʉː	0.093
ˈeː	ˈiː	0.087
ˈeː	ˈɑ	0.073
ˈeː	ˈøː	0.069
ˈiː	ˈiː	0.691
ˈiː	ˈeː	0.12
ˈiː	ˈyː	0.091
ˈiː	ˈɛ	0.091
ˈoː	ˈoː	0.397
ˈoː	ˈɑː	0.216
ˈoː	ˈɑ	0.164
ˈoː	ˈɔ	0.08
ˈuː	ˈʉː	0.751
ˈuː	ˈʊ	0.098
ˈuː	ˈuː	0.096
ˈyː	ˈyː	0.488
ˈyː	ˈʏ	0.204
ˈyː	ˈɛ	0.119
ˈø	ˈɛ	0.363
ˈø	ˈʏ	0.174
ˈøː	ˈʉː	0.484
ˈøː	ˈɔ	0.153
ˈøː	ˈoː	0.105
ˈøː	ˈɑː	0.091
ˈœ	ˈɔ	1.0
ˈœː	ˈɛ	0.316
ˈœː	ˈʉ	0.316
ˈɔ	ˈʏ	0.317
ˈɔ	ˈɔ	0.276
ˈɔ	ˈʉː	0.209
ˈɔ	ˈɑ	0.132
ˈɔʏ̯	ˈøː	0.45
ˈɔʏ̯	ˈœʏ̯	0.267
ˈɔʏ̯	-	0.153
ˈɔʏ̯	ˈʊ	0.101
ˈɔː	ˈɔ	1.0
ˈɛ	ˈɛ	0.267
ˈɛ	ˈæɪ̯	0.153
ˈɛ	ˈɑː	0.153
ˈɛ	ˈœ	0.105
ˈɛ	ˈɛː	0.105
ˈɛ	j	0.072
ˈɛ	ˈeː	0.072
ˈɛɪ̯	ˈɛ	0.574
ˈɛɪ̯	ˈæɪ̯	0.275
ˈɪ	ˈɪ	0.436
ˈɪ	ˈiː	0.126
ˈɪ	ˈæɪ̯	0.116
ˈɪ	ˈeː	0.107
ˈɪ	ˈɛ	0.107
ˈɪ	ˈʉː	0.052
ˈʊ	ˈʉ	0.607
ˈʊ	ˈʊ	0.315
ˈʊ	ˈɔ	0.063
ˈʏ	ˈʏ	0.796
ˈʏ	ˈɛ	0.202
