Eastphalian	Swiss German	probability
b	b̥	0.944
b	-	0.058
b_m	f	1.0
d	t	0.433
d	d̥	0.421
d	-	0.072
d	tː	0.047
d	ɡ̊	0.032
f	f	0.908
f	b̥	0.087
h	h	1.0
j	ɡ̊	0.767
j	j	0.224
k	χ	0.727
k	k	0.176
k	ɡ̊	0.069
k	h	0.036
l	l	0.966
l	-	0.033
m	m	0.896
m	-	0.052
m	mː	0.046
m	f	0.032
n	n	0.482
n	ə	0.356
n	-	0.11
n_d	ŋ	1.0
p	f	0.391
p	p͡f	0.233
p	p	0.155
p	fː	0.114
r	r	1.0
s	ʃ	0.638
s	s	0.358
t	t	0.423
t	ʦ	0.236
t	sː	0.217
t	s	0.106
v	ʋ	0.802
v	b̥	0.136
v	f	0.055
w	ʋ	1.0
x	χ	0.774
x	ɡ̊	0.167
z	s	0.939
z	-	0.062
ç	χ	0.512
ç	ɡ̊	0.411
ŋ	ŋ	0.873
ŋ	ɡ̊	0.126
ɐ	r	0.94
ɐ	rː	0.038
ɐ	ˈiə̯	0.033
ə	-	0.673
ə	ə	0.29
ə	i	0.035
ɡ	ɡ̊	1.0
ɣ	ɡ̊	0.839
ɣ	-	0.09
ɣ	χ	0.07
ɪ	i	1.0
ʃ	ʃ	0.863
ʃ	s	0.075
ʃ	ʃː	0.058
ˈa	ˈɒ	0.479
ˈa	ˈa	0.183
ˈa	ˈɒː	0.128
ˈa	ˈæ	0.118
ˈa	ˈæː	0.057
ˈaʊ̯	ˈuə̯	0.711
ˈaʊ̯	ˈyə̯	0.143
ˈaʊ̯	ˈɒ	0.143
ˈaː	ˈɒː	0.776
ˈaː	ˈɒ	0.171
ˈeo̯	ˈoː	0.677
ˈeo̯	ˈou̯	0.215
ˈeo̯	ˈau̯	0.087
ˈeː	ˈæ	0.336
ˈeː	ˈi	0.143
ˈeː	ˈyː	0.143
ˈeː	ˈæː	0.143
ˈeː	ˈe	0.103
ˈiː	ˈiː	0.614
ˈiː	ˈei̯	0.1
ˈiː	ˈyː	0.1
ˈiː	ˈi	0.08
ˈiː	-	0.059
ˈoː	ˈoː	0.441
ˈoː	ˈy	0.164
ˈoː	ˈau̯	0.1
ˈoː	ˈu	0.1
ˈuː	ˈuː	0.674
ˈuː	ˈo	0.116
ˈuː	ˈu	0.116
ˈuː	ˈau̯	0.087
ˈyː	ˈyː	1.0
ˈøː	ˈøː	0.45
ˈøː	ˈo	0.221
ˈøː	ˈøi̯	0.125
ˈœ	ˈø	0.683
ˈœ	ˈe	0.221
ˈɒː	ˈɒː	0.448
ˈɒː	ˈɒ	0.332
ˈɒː	ˈoː	0.162
ˈɒː	ˈo	0.048
ˈɔ	ˈo	0.541
ˈɔ	ˈu	0.182
ˈɔ	ˈɒ	0.158
ˈɔ	ˈa	0.062
ˈɔ	ˈou̯	0.047
ˈɔʏ̯	ˈyə̯	0.605
ˈɔʏ̯	ˈyː	0.219
ˈɔʏ̯	ˈøː	0.142
ˈɛ	ˈæ	0.447
ˈɛ	ˈi	0.194
ˈɛ	ˈø	0.112
ˈɛ	ˈy	0.083
ˈɛ	ˈɒː	0.083
ˈɛə̯	ˈɒ	1.0
ˈɛɪ̯	ˈyː	0.235
ˈɛɪ̯	ˈiə̯	0.148
ˈɛɪ̯	ˈeː	0.136
ˈɛɪ̯	ˈæi̯	0.103
ˈɛɪ̯	ˈæː	0.087
ˈɛɪ̯_n	ˈei̯	1.0
ˈɛː	ˈæ	0.295
ˈɛː	ˈɒ	0.295
ˈɛː	ˈi	0.179
ˈɛː	ˈæː	0.179
ˈɪ	ˈi	0.609
ˈɪ	ˈiə̯	0.101
ˈɪ	ˈy	0.101
ˈɪ	ˈiː	0.058
ˈɪ	ˈæ	0.058
ˈʊ	ˈu	0.5
ˈʊ	ˈuə̯	0.2
ˈʊ	ˈuː	0.132
ˈʊ	ˈo	0.126
ˈʊ_n	ˈuː	1.0
ˈʏ	ˈy	0.468
ˈʏ	ˈu	0.194
ˈʏ	ˈyː	0.132
ˈʏ	ˈøi̯	0.132
