Westphalian	Old Frisian	probability
ˈɪə̯	-	1.0
ˈɛː	ˈe_r	1.0
ˈɒː	ˈa	1.0
ˈyːœ̯	ˈo	1.0
ˈyː	ˈi̯uː	1.0
ˈyə̯	ˈu	1.0
ˈuː	ˈuː	1.0
ˈoː	ˈoː	1.0
ˈiɛ̯	ˈe	1.0
ʋ	w	1.0
ɪ	ə	1.0
v̥	f	1.0
r_ˈaɪ̯	r_ˈeː	1.0
r	r	1.0
n_t	n_t	1.0
n_n	nː_ə	1.0
m_n	m_ə	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d_n	d_ə	1.0
aɪ̯	iː	1.0
l	l	0.981
s	s	0.942
m	m	0.939
p	p	0.918
b	b	0.917
ə	ə	0.889
ˈaɪ̯	ˈi̯aː	0.865
t	t	0.863
ˈɪ	ˈi	0.83
ˈiː	ˈiː	0.789
d̥	d	0.788
ˈaʊ̯	ˈaː	0.775
ˈʊ	ˈu	0.772
z	z	0.754
ˈɪɛ̯	ˈe	0.749
ç	x	0.748
ˈʏ	ˈe	0.712
ˈøː	ˈeː	0.704
n	n	0.699
k	k	0.671
ˈeː	ˈɛː	0.663
v	w	0.655
ˈɛ	ˈe	0.642
ŋ	ŋ_ɡ	0.623
ˈuə̯	-	0.593
ˈɔ	ˈa	0.592
ˈaː	ˈe	0.577
ʃ	s	0.575
ˈuːə̯	ˈo_r	0.5
ˈuːə̯	r	0.5
ɐ	r	0.497
d	d	0.472
ˈa	ˈa	0.469
ˈɔː	ˈeː	0.435
ʃ	s_k	0.425
ˈaː	-	0.423
ˈɔ	ˈo	0.408
ˈuə̯	ˈu	0.407
d	θ	0.404
ɡ	ʣ	0.4
x	ɡ	0.398
ɡ	ɣ	0.379
ɐ	ə_r	0.357
ˈeː	ˈaː	0.337
x	j	0.323
ˈa	ˈɔː	0.315
ˈɔː	ˈɔː	0.306
ˈøː	-	0.296
ˈʏ	-	0.288
x	x	0.278
v	v	0.276
ˈɔː	ˈaː	0.259
ç	-	0.252
ˈɪɛ̯	-	0.251
z	s	0.246
ˈʊ	ˈuː	0.228
ˈaʊ̯	-	0.225
ɡ	-	0.222
ŋ	-	0.221
n	ə	0.221
ˈa	ˈe	0.217
d̥	θ	0.212
k	k_ə	0.194
ˈɛ	-	0.186
ˈɛ	ˈi	0.172
ˈɪ	-	0.17
ŋ	ŋ	0.156
ˈaɪ̯	ˈiː	0.135
d	dː	0.124
ə	e	0.111
ˈiː	ˈi	0.107
ˈiː	ˈeː	0.105
ɐ	ə	0.091
k	ʦ	0.085
b	bː	0.083
p	pː	0.082
v	w_ˈi	0.069
t	t_ə	0.069
t	tː	0.068
m	mː	0.061
s	k_s	0.058
ɐ	r_ə	0.055
k	ə	0.051
