Proto-Germanic	Swabian	probability
b	b	1.0
d	d	1.0
i	-	1.0
l	l	1.0
lː	l	1.0
m	m	1.0
ŋ	ŋ	1.0
ɑː	-	1.0
ɑ̃	a	1.0
ɣ	ɡ	1.0
ɸ	f	1.0
ˈiu̯	ˈəi̯	1.0
ˈuː	ˈao̯	1.0
ˈɛː	ˈɔː	1.0
β	b	1.0
ˈe	ˈi	0.171
ˈeu̯	ˈiə̯	0.721
ˈɑ	ˈɛ	0.1
k	x	0.222
n	n	0.652
w	-	0.182
x	ç	0.092
x	h	0.642
xʷ	-	0.612
ɑ	-	0.962
ˈu	ˈu	0.122
ˈu	ˈo	0.532
ˈɑ	ˈaː	0.102
ˈɑ	ˈa	0.632
ˈɔː	ˈuː	0.122
x	x	0.143
z	ʕ	0.753
ð	-	0.173
ˈe	ˈeə̯	0.073
ˈiː	ˈəi̯	0.843
ˈu	ˈi	0.073
ˈɑu̯	ˈao̯	0.413
k	ɡ	0.114
r	ʕ	0.34
r	ʁ	0.604
t	d	0.364
x	-	0.094
ɔː	e	0.074
ˈi	ˈɪ	0.264
θ	d	0.984
k	ç	0.325
ˈe	ˈɛ	0.605
ˈi	ˈi	0.225
ˈi	ˈe	0.395
ˈu	ˈɔ	0.145
s	ʃ	0.476
t	s	0.166
u	-	0.956
ɔː	-	0.926
ˈɑi̯	ˈae̯	0.186
ˈɑi̯	ˈɔe̯	0.696
ˈɔː	ˈiə̯	0.06
t	ʦ	0.47
z	-	0.247
ð	d	0.827
ˈe	ˈɛː	0.107
ˈiː	ˈae̯	0.157
ˈɑ	ˈɔː	0.087
n	-	0.348
w	ʋ	0.818
xʷ	ʋ	0.388
ˈu	ˈoː	0.128
ˈɑi̯	-	0.118
ˈɑu̯	ˈeː	0.148
ˈɔː	ˈuə̯	0.818
j	-	0.979
k	kʰ	0.339
s	s	0.519
ˈeu̯	ˈiː	0.279
ˈi	-	0.069
ˈɑ	-	0.079
ˈɑu̯	ˈoː	0.439
