East Franconian	Saterland Frisian	probability
β	-	1.0
ˈɛː	-	1.0
ˈɛ_ɐ	ˈɛɪ̯	1.0
ˈɛ_n	n	1.0
ˈɘ	-	1.0
ˈɒː	ˈɔː	1.0
ˈɒ_n	ˈoːu̯_n	1.0
ˈoː_ɐ	ˈiː_r	1.0
ˈiː_ɐ	ˈi	1.0
ˈaː_ŋ	ˈeː_k	1.0
ˈaː_x	ˈoː_k	1.0
ˈaɪ̯_d̥	ˈiː_d	1.0
ˈa	k_ˈɛː	1.0
ʦ	t	1.0
ʃ_d̥	s_t	1.0
ɾ_ɐ	r	1.0
ɪ	-	1.0
ɣ	ˈaːi̯	1.0
ɡ̊_s	k_s	1.0
ɡ̊_n	x	1.0
ə	-	1.0
z̥_n	t_ə	1.0
x_d̥	x_t	1.0
x	k	1.0
v̥	p	1.0
r	r	1.0
l_ˈaː	l_ˈoː	1.0
l_d̥	l_d	1.0
j	j	1.0
h	h	1.0
eː	i	1.0
d̥_ˈuː	d_ˈoː	1.0
d̥_n	d_ə	1.0
b̥͡v̥	p	1.0
a	ə	1.0
l	l	0.942
f	f	0.878
b̥	b	0.873
m	m	0.869
v	v	0.845
ˈaʊ̯	ˈuː	0.831
z̥	z	0.708
s	s	0.7
n	n	0.683
ɡ̊	ɣ	0.674
ç	x	0.617
d̥	d	0.617
ŋ	ŋ	0.599
n_ˈoː	n_ˈoː	0.593
ʃ	s	0.586
ɐ	r	0.547
ɣ̊	ɣ_ə	0.541
ˈeː	ˈoː_n	0.482
ˈaɪ̯	ˈi	0.479
ˈɒ	ˈɔː	0.471
ˈʊ	ˈʊ	0.47
ɣ̊	-	0.459
ˈuː	ˈoːu̯	0.429
ʃ	s_k	0.414
ˈaː	ˈeː	0.412
n_ˈoː	n	0.407
ˈɪ	ˈɪ	0.395
ç	k	0.383
ˈaː	ˈoː	0.358
ˈɪ	ˈiː	0.344
ˈʊ	ˈuː	0.326
ˈeː	ˈœː	0.315
ˈɛ	-	0.312
s	t	0.3
ˈɛ	ˈa	0.298
ˈiː	j_ˈoː	0.298
z̥	t_ə	0.292
d̥	t	0.265
ɐ	ə_r	0.256
ˈuː	ˈoː	0.249
n	ə	0.244
ˈɔ	-	0.238
ˈɔ	ˈʊ	0.236
ˈɔ	ˈoːu̯	0.236
ˈaɪ̯	-	0.236
ˈoː	ˈɔː	0.234
ˈuː	ˈuː	0.23
ɡ̊	k	0.222
ˈoː	ˈoːu̯	0.216
ˈiː	j	0.211
ˈɛ	ˈɛ	0.204
ˈeː	ˈiːu̯	0.203
ˈoː	-	0.189
ˈɒ	ˈoː	0.185
ˈoː	n	0.182
ˈɒ	ˈa	0.181
ˈoː	ˈɛɪ̯	0.18
ˈɔ	ˈɔ	0.176
ˈaɪ̯	j_ˈuː	0.171
ˈaʊ̯	ˈøː	0.169
ˈiː	ˈɛɪ̯	0.168
ŋ	ɣ_j	0.152
ˈʊ	-	0.148
ŋ	ɣ	0.142
b̥	ˈoː_f	0.127
f	p	0.122
ˈaː	-	0.121
ˈɔ	ˈoːu̯_d	0.115
ˈaɪ̯	ˈuː	0.114
ˈiː	ˈi	0.112
ˈaː	ˈaː	0.109
ˈɪ	ˈɛː	0.106
ŋ	-	0.106
ɡ̊	x	0.104
ˈɛ	ˈeː	0.095
ˈɛ	ˈiː	0.092
ˈuː	-	0.092
ˈɒ	ˈɛː	0.083
v	-	0.083
ˈɒ	-	0.08
ɐ	-	0.08
ˈɪ	j_ˈʊ	0.078
ˈɪ	-	0.078
ˈiː	-	0.075
v	v_ˈɔ	0.071
ˈiː	ˈɪ	0.069
m	m_ˈɔː	0.067
ˈiː	ˈeː	0.066
d̥	d_ə	0.066
m	w	0.064
ɐ	ˈiː_r	0.063
ˈʊ	ˈɔː	0.056
ɐ	ə	0.055
d̥	-	0.052
n	n_d	0.05
