Standard Croatian	Lower Sorbian	probability
̌	-	1.0
̂	-	1.0
ʨ	-	1.0
ʧ	ʦ	1.0
ʎ	l	1.0
ʋ_j	vʲ	1.0
ʋ_a	v_a	1.0
ʃ	-	1.0
ɲ	ɲ	1.0
uː_̌	u	1.0
u	u	1.0
t_oː	t_ɔ	1.0
t_i	ɕ	1.0
t_a	t_a	1.0
s	s	1.0
r̩ː	a_r	1.0
r̩_̂	e	1.0
r_iː	ɕ_i	1.0
o_̌	ɛ	1.0
n_j	nʲ	1.0
l_j	l	1.0
l_a	w_a	1.0
k	k	1.0
j_eː	ɪ	1.0
iː_̌	ɨ	1.0
iː	ɨ	1.0
eː_̂	ɔ	1.0
e_̌	e	1.0
e_̂	a	1.0
d_a	d	1.0
a_̂	ɔ	1.0
a_t	ɕ	1.0
a_r	r_ɨ	1.0
a_k	kʲ_i	1.0
z	z	0.885
b	b	0.839
ɡ	ɡ	0.819
x	x	0.8
ʦ	ʦ	0.762
uː	u	0.75
a	a	0.728
n	n	0.72
t	t	0.715
oː	ɔ	0.686
aː	ɔ	0.632
o	ɔ	0.62
p	pʲ	0.608
j	-	0.6
d	d	0.59
i	-	0.562
ʋ	vʲ	0.554
eː	ɪ	0.553
i_̂	ɨ	0.552
m	mʲ	0.524
r	r	0.51
ʒ	ʐ	0.498
l	w	0.496
m	m	0.476
i_̂	i	0.448
d	ʑ	0.41
l	l	0.4
j	ɛ	0.4
ʋ	v	0.396
p	p	0.392
r	rʲ	0.382
ʒ	ʐ̊	0.368
aː	a	0.368
o	ɛ	0.335
oː	ɛ	0.314
e	ɛ	0.292
n	ɲ	0.28
e	ɪ	0.27
i	i	0.265
uː	w	0.25
ʦ	t͡ʂ	0.238
t	ɕ	0.201
x	k	0.2
eː	-	0.187
e	e	0.182
ɡ	-	0.181
i	ɨ	0.173
e	ɔ	0.162
b	bʲ	0.161
eː	e	0.157
ʒ	ʒ	0.134
z	-	0.115
r	ʂ	0.108
l	d_w	0.104
eː	ɔ	0.104
e	-	0.094
t	ʨ	0.084
a	-	0.061
a	ɛ	0.058
a	ɨ	0.057
ʋ	f	0.05
