Westphalian	Nynorsk Norwegian	probability
aɪ̯	e	1.0
b	b	0.862
b	tʰ	0.077
b	-	0.061
d	d	0.466
d	-	0.248
d	tʰ	0.232
d	ɕ	0.054
f	f	0.855
f	kʰ	0.076
f	-	0.07
h	h	0.862
h	j	0.097
j	-	1.0
k	kʰ	0.259
k	k	0.257
k	ɕ	0.223
k	ɡː	0.072
k	ɕː	0.065
l	l	0.772
l	lː	0.148
l	j	0.06
m	m	0.736
m	-	0.102
m	ɾ_m	0.098
n	n	0.445
n	ɑ	0.32
n	nː	0.176
p	p	0.944
r	ɾ	0.902
r	ˈuː	0.061
s	s	0.892
s	ʃ	0.071
t	t	0.572
t	tʰ	0.132
t	-	0.13
t	tː	0.078
v	ʋ	0.763
v	-	0.111
v	v	0.09
w	ʋ	0.546
w	-	0.232
w	kʰ_ʋ	0.172
x	ɡ	0.579
x	ʰtː	0.252
x	j	0.144
z	s	1.0
ç	ɡ	0.309
ç	ʰtː	0.24
ç	ɡː	0.177
ç	-	0.117
ç	ɾ	0.08
ç	s	0.077
ŋ	ŋː	0.693
ŋ	ɡ	0.233
ŋ	ɲ	0.073
ɐ	ɾ	0.749
ɐ	e_ɾ	0.073
ɐ	ə	0.055
ə	e	0.835
ə	-	0.076
ɡ	jː	0.389
ɡ	ɡ	0.369
ɡ	j	0.207
ɣ	-	0.955
ɪ	ɑ	0.677
ɪ	e	0.323
ʃ	s	0.665
ʃ	ʃ	0.335
ˈa	ˈɑ	0.773
ˈa	ˈɔ	0.075
ˈa	ˈɛ	0.068
ˈa	ˈɑː	0.053
ˈaɪ̯	ˈyː	0.3
ˈaɪ̯	ˈʉː	0.237
ˈaɪ̯	ˈiː	0.139
ˈaɪ̯	ˈeː	0.106
ˈaɪ̯	ˈœʏ̯	0.059
ˈaɪ̯	ˈoː	0.057
ˈaɪ̯	ˈɛ	0.057
ˈaʊ̯	ˈæʉ̯	0.505
ˈaʊ̯	ˈeː	0.222
ˈaʊ̯	e	0.11
ˈaʊ̯	ˈoː	0.082
ˈaʊ̯	ˈœʏ̯	0.055
ˈaː	ˈɑ	0.594
ˈaː	ˈɑː	0.406
ˈeː	ˈæɪ̯	0.502
ˈeː	ˈoː	0.281
ˈeː	ˈiː	0.108
ˈeː	ˈuː	0.108
ˈiɛ̯	ˈeː	0.533
ˈiɛ̯	ˈɔ	0.193
ˈiɛ̯	ˈæː	0.161
ˈiɛ̯	ˈɛ	0.113
ˈiː	ˈiː	0.725
ˈiː	ˈyː	0.124
ˈiː	ˈeː	0.112
ˈoː	ˈuː	0.916
ˈoː	ˈoː	0.084
ˈuə̯	ˈoː	0.491
ˈuə̯	ˈœ	0.248
ˈuə̯	ˈuː	0.13
ˈuə̯	ˈʉ	0.13
ˈuː	ˈʉː	0.473
ˈuː	ˈʏ	0.194
ˈuː	ˈʉ	0.188
ˈuː	ˈɔ	0.145
ˈuːə̯	ˈɔ	0.813
ˈuːə̯	ˈœ	0.081
ˈuːə̯	ˈʏ	0.054
ˈuːə̯	ˈʉː	0.051
ˈyə̯	ˈʉ	1.0
ˈyː	ˈyː	0.443
ˈyː	ˈʉ	0.34
ˈyː	ˈʏ	0.149
ˈyː	ˈɛ	0.068
ˈyːœ̯	ˈoː	1.0
ˈø	ˈɛ	0.839
ˈø	ˈœ	0.161
ˈøː	ˈøː	0.946
ˈøː	ˈɔ	0.054
ˈœː	ˈʊ	0.8
ˈœː	ˈœʏ̯	0.2
ˈɒː	ˈɑː	1.0
ˈɔ	ˈɑ	0.702
ˈɔ	ˈɔ	0.221
ˈɔ	ˈoː	0.078
ˈɔː	ˈoː	0.798
ˈɔː	ˈɑ	0.106
ˈɔː	ˈœʏ̯	0.07
ˈɛ	ˈɛ	0.491
ˈɛ	ˈøː	0.157
ˈɛ	ˈʏ	0.097
ˈɛ	ˈɑ	0.074
ˈɛː	ˈɛ	0.502
ˈɛː	ˈɑː	0.235
ˈɛː	j	0.167
ˈɛː	ˈœ	0.096
ˈɪ	ˈɪ	0.57
ˈɪ	ˈiː	0.15
ˈɪ	ˈʏ	0.065
ˈɪ	ˈʉː	0.06
ˈɪ	ˈɛ	0.051
ˈɪə̯	ˈiː	0.505
ˈɪə̯	ˈeː	0.198
ˈɪə̯	ˈɑː	0.182
ˈɪə̯	ˈʉː	0.115
ˈɪɛ̯	j	0.221
ˈɪɛ̯	ˈɛ	0.21
ˈɪɛ̯	ˈeː	0.155
ˈɪɛ̯	ˈæ	0.121
ˈɪɛ̯	ˈoː	0.112
ˈɪɛ̯	ˈʏ	0.077
ˈɪɛ̯	ˈʉː	0.075
ˈʊ	ˈʉ	0.807
ˈʊ	ˈʊ	0.104
ˈʊ	ˈʉː	0.089
ˈʏ	ˈʏ	0.787
ˈʏ	ˈʉ	0.213
