Zeelandic	Zeelandic	probability
ˈɪə̯_ɾ	ˈeː_ʀ	1.0
ˈɒː	-	1.0
ˈøː	-	1.0
ˈæi̯	ˈɛː	1.0
ˈuːə̯	-	1.0
ˈoː	-	1.0
ˈiːə̯	ˈiː	1.0
ˈiː_ɾ	ʀ	1.0
ˈi_ə	ˈɛ_j	1.0
ɫ_ə	ˈaː	1.0
ɪ	-	1.0
ə_ɫ	ə_l	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
z	z	1.0
x_t	x	1.0
x_#>	ɣ̊_#>	1.0
w	-	1.0
v̥	v̥	1.0
v_ə	v̥	1.0
v	v	1.0
t	t	1.0
s_x	ʃ	1.0
s_t	ʀ_s	1.0
s	s	1.0
p	p	1.0
m	m	1.0
l	l	1.0
j	j	1.0
iː	i	1.0
i	ɪ	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
b	b	1.0
<#_ˈʊə̯	<#	1.0
<#_ˈɔ	<#_ɦ_ˈʊː	1.0
<#_ɾ	<#_ʀ	1.0
<#	<#_ɦ	1.0
n	n	0.957
k	k	0.944
ʋ	β	0.92
d	d	0.914
ɾ	ʀ	0.912
ɫ	l	0.861
ˈeː	ˈeː	0.8
ˈʏ	-	0.75
x	ɣ	0.68
ˈiː	ˈeː	0.667
n_ə	n	0.625
ə	ə	0.603
ˈyː	ˈuː	0.6
ˈuː	ˈʊː	0.571
ˈɪə̯	ˈɛː	0.545
ˈi	ˈiː	0.545
ˈɔ	ˈɔ	0.5
ˈɑu̯	ˈaː_j	0.5
ˈɑu̯	-	0.5
ˈu	ˈoː	0.5
ˈɛː	ˈɒː	0.478
ˈɪə̯	ˈi	0.455
ˈi	ˈɪː	0.455
ˈuː	-	0.429
ˈʊə̯	ˈu	0.4
ə	-	0.397
ˈɪ	ˈɪː	0.375
n_ə	n_ə	0.375
ˈɑ	ˈɑ	0.348
ˈu	ˈʊː	0.333
ˈiː	-	0.333
ˈɑ	ˈaː	0.304
ˈæ	ˈæː	0.286
ˈɔ	ˈʊː	0.278
ˈʊə̯	ˈʊː	0.267
ˈɑ	ˈɑː	0.261
ˈʏ	ˈœː	0.25
ˈɪ	ˈɪ	0.25
ˈɛː	ˈaː	0.217
ˈʊə̯	-	0.2
ˈeː	ˈɛː	0.2
ˈɪ	ˈeː	0.188
ˈɪ	-	0.188
ˈu	ˈʊ	0.167
ˈæ	ˈɪ	0.143
ˈæ	ˈɛː	0.143
ˈæ	ˈɛ	0.143
ˈæ	ˈeː	0.143
ˈæ	ˈaː	0.143
ɫ	l_ə	0.139
ˈʊə̯	ˈyː	0.133
ˈyː	ˈɔu̯	0.133
ˈyː	ˈœi̯	0.133
ˈyː	ˈiː	0.133
ˈɛː	ˈeː	0.13
ˈɔ	ˈɔː	0.111
ˈɔ	-	0.111
ɾ	ʀ_ə	0.088
ˈɛː	ˈʊː	0.087
ˈɛː	ˈi	0.087
ˈɑ	-	0.087
d	-	0.086
ʋ	β_ˈæ	0.08
x	ɣ̊	0.08
x	ɡ	0.08
x	x	0.08
x	-	0.08
k	-	0.056
