Gothic	Gothic	probability
θ	d̥	1.0
β_a	m	1.0
β	m	1.0
ˈɛː_w	ˈeː	1.0
ˈɛː	ˈoɐ̯	1.0
ˈiː	ˈai̯	1.0
ˈeː	-	1.0
ʍ	ʋ	1.0
ɣ_a	ŋ	1.0
ɡʷ	-	1.0
ɔː	ə	1.0
ŋ	ŋ	1.0
ð	d̥	1.0
z	-	1.0
x	ɡ̊	1.0
w	ʋ	1.0
u_k	i	1.0
u	-	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
p	f	1.0
nː	n	1.0
n_#>	#>	1.0
m_ˈeː	m	1.0
m	m	1.0
lː	j	1.0
k_iː	ç	1.0
j_a	a	1.0
iː	-	1.0
h_t	x_d̥	1.0
h_l	l	1.0
f_#>	#>	1.0
e	ə	1.0
d	d̥	1.0
b	b̥	1.0
aː	-	1.0
a_r	a	1.0
<#_θ	<#_d̥	1.0
<#_ˈi	<#_ˈi	1.0
<#_ˈa	<#_ˈo	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_t	<#_ʦ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_d	<#_d̥	1.0
<#	<#_kʰ	1.0
ˈoː	ˈuɐ̯	0.857
f	f	0.812
n	n	0.789
ˈɛ	ˈe	0.75
i	-	0.75
<#_s	<#_s	0.643
ɡ	ɡ̊	0.636
s	s	0.625
h	h	0.609
ˈuː	ˈau̯	0.6
ˈiu̯	ˈiɐ̯	0.6
k	x	0.6
l	j	0.588
ˈɔ	ˈo	0.571
ˈi	ˈi	0.556
t	s	0.533
a	-	0.522
r	ɐ	0.452
oː	a	0.444
oː	-	0.444
ˈɔ	-	0.429
ˈu	ˈu	0.429
r	r	0.419
l	l	0.412
ˈuː	ˈu	0.4
k	ɡ̊	0.4
a	a	0.391
s	ɐ	0.375
ɡ	-	0.364
<#_s	<#_ʃ	0.357
j	ˈai̯	0.333
j	j	0.333
j	-	0.333
h	-	0.304
ˈɔː	ˈou̯	0.3
ˈɔː	-	0.3
ˈu	ˈo	0.286
t	ʦ	0.267
ˈɛ	ˈeː	0.25
i	f_ə	0.25
ˈa	ˈɑ	0.226
ˈɔː	ˈo	0.2
ˈɔː	ˈeː	0.2
ˈiu̯	ˈai̯	0.2
ˈiu̯	-	0.2
t	d̥	0.2
ˈa	ˈɒː	0.194
f	b̥	0.188
ˈa	ˈɑː	0.161
n	-	0.158
ˈi	ˈe	0.148
ˈu	ˈoː	0.143
ˈu	ˈa	0.143
ˈoː	ˈeɐ̯	0.143
ˈa	ˈo	0.129
ˈa	ˈe	0.129
r	a	0.129
ˈi	ˈiː	0.111
ˈi	ˈeː	0.111
oː	ɑ	0.111
ˈa	ˈeː	0.097
h	x	0.087
a	ŋ	0.087
ˈi	-	0.074
ˈa	-	0.065
n	n_d̥	0.053
