Nuorese	Nuorese	probability
β_u	f	1.0
ˈɛ_s	ɛɪ̯	1.0
ˈɛ_n	ã	1.0
ˈɛ_k	i	1.0
ˈɔ_ɾ	aœ̯	1.0
ˈɔ_n	ɒ̃ʊ̯̃	1.0
ˈɔ_j	u	1.0
ˈu_k	u	1.0
ˈo_n	ɒ̃ʊ̯̃	1.0
ˈo_k	øʏ̯	1.0
ˈi_ʣ	ɪ	1.0
ˈi_n	ẽɪ̯̃	1.0
ˈe_ɖː	oʊ̯	1.0
ˈa_β	oʊ̯	1.0
ˈa_ɾ	e	1.0
ˈa_ð	e	1.0
ˈa_t	æɛ̯	1.0
ˈa_n	ẽɪ̯̃	1.0
ˈa_m	ã	1.0
ˈa_k	æɛ̯	1.0
ʦ	s	1.0
ʣ_a	j	1.0
ʣ	-	1.0
ɾ_t	ʁ	1.0
ɣ_ɛ	ɛ	1.0
ɣ	-	1.0
ɛ̆	-	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
ɔ̆	-	1.0
ɔ_n	ɒ̃ʊ̯̃	1.0
ð_ɛ	ɛ	1.0
z	-	1.0
ŭ	-	1.0
u_z	øʏ̯	1.0
u_#>	#>	1.0
u	u	1.0
t_u	i	1.0
s_t	t	1.0
r	ʁ	1.0
p_ɾ	p_l	1.0
p_ɛ	v	1.0
n_ʣ	ɲ	1.0
n_ɛ_#>	#>	1.0
n_t	ã	1.0
n_a	n	1.0
m_a_#>	m_#>	1.0
m_a	m	1.0
l_u_#>	#>	1.0
l	l	1.0
k_ˈɔ	k	1.0
k_ɾ	k_l	1.0
k_ɛ	ɛ	1.0
k_a	ʃ	1.0
i_s	e	1.0
i_k	ʒ	1.0
f_ɾ	f_l	1.0
f	f	1.0
e_ɾ	ʁ	1.0
e	-	1.0
<#_ˈo	<#_œ	1.0
<#_ˈi	<#_ɪ	1.0
<#_ʣ	<#_ʒ	1.0
<#_ɾ	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#	1.0
<#	<#_k	1.0
a_#>	#>	0.871
p	p	0.857
ɾ	ʁ	0.836
s	s	0.806
i	-	0.789
a	a	0.786
m	m	0.773
d	d	0.75
ɛ_ɾ	ʁ	0.727
ð	-	0.714
<#_t	<#_t	0.714
ˈu_n	w_ẽɪ̯̃	0.667
t_a_#>	t_#>	0.667
o	-	0.667
ˈo	-	0.625
l_u	l	0.6
j	ʒ	0.6
b	v	0.514
β	v	0.5
β	-	0.5
ŋ	ɒ̃ʊ̯̃	0.5
ŋ	-	0.5
t	t	0.5
t	-	0.5
b	b	0.486
ˈe	-	0.467
ɡ	ɡ	0.462
nː	n	0.429
l_u	ɛ_l	0.4
j	-	0.4
ɡ	ʒ	0.385
ˈo	ɔ	0.375
ɔ	ɔ	0.375
ɔ	-	0.375
n	n	0.364
ˈu_n	œ̃ʏ̯̃	0.333
t_a_#>	#>	0.333
o	ɑɔ̯	0.333
k	k	0.312
ˈu	y	0.296
ð	s	0.286
nː	d	0.286
nː	ã	0.286
<#_t	<#	0.286
k	-	0.281
ˈɔ	œ	0.278
ɛ	ʁ	0.278
ɛ_ɾ	i_ʁ	0.273
n	ẽɪ̯̃	0.273
ˈa	æɛ̯	0.267
ɔ	u	0.25
d	ʣ	0.25
ˈi	ɪ	0.242
ˈɛ	æɛ̯	0.24
ˈa	a	0.233
m	-	0.227
ˈɔ	ɔ	0.222
ˈɔ	ɑɔ̯	0.222
ɛ	œ	0.222
ɛ	-	0.222
k	ʃ	0.219
a	-	0.214
ˈi	i	0.212
i	e	0.211
ˈɛ	ɛ	0.2
ˈɛ	w	0.2
ˈe	ɛ	0.2
ˈe	j	0.2
k	s	0.188
ˈu	u	0.185
ˈu	-	0.185
ˈi	w	0.182
n	ã	0.182
n	-	0.182
ˈɔ	-	0.167
ɛ	ɛ	0.167
ɡ	-	0.154
p	-	0.143
ˈe	æɛ̯	0.133
ˈa	e	0.133
ˈa	-	0.133
s	-	0.129
a_#>	l_#>	0.129
ˈi	ɛ	0.121
ˈi	w_ɛ	0.121
ˈi	-	0.121
ˈɛ	j	0.12
ˈɛ	i	0.12
ˈɛ	-	0.12
ˈɔ	u	0.111
ˈu	ʊ	0.111
ɛ	ɛ_ʁ	0.111
ˈa	oʊ̯	0.1
ɾ	-	0.091
ˈu	ʏ	0.074
ˈu	ɥ	0.074
ˈu	w	0.074
ˈa	ɑ	0.067
ˈa	ẽɪ̯̃	0.067
s	o	0.065
